# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs btn open @ 100bb
# HRC node: id=19, seat=7, sequence=FFFFFRF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.96%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0001
AKs,call,0.0003
AKs,raise,0.9996
AQs,fold,0.0001
AQs,call,0.0859
AQs,raise,0.914
AJs,fold,0.0004
AJs,call,0.0476
AJs,raise,0.9521
ATs,fold,0.0005
ATs,call,0.0184
ATs,raise,0.9811
A9s,call,0.019
A9s,raise,0.981
A8s,fold,0.0006
A8s,call,0.5735
A8s,raise,0.4259
A7s,fold,0.0004
A7s,call,0.9991
A7s,raise,0.0005
A6s,fold,0.0009
A6s,call,0.999
A6s,raise,0.0001
A5s,fold,0.0001
A5s,call,0.9998
A4s,fold,0.0005
A4s,call,0.4281
A4s,raise,0.5714
A3s,fold,0.0003
A3s,call,0.9975
A3s,raise,0.0022
A2s,fold,0.0004
A2s,call,0.9996
A2s,raise,0.0001
AKo,call,0.0079
AKo,raise,0.9921
KK,raise,1.0
KQs,fold,0.0005
KQs,call,0.6792
KQs,raise,0.3202
KJs,fold,0.0003
KJs,call,0.4946
KJs,raise,0.5051
KTs,call,0.4737
KTs,raise,0.5263
K9s,fold,0.0004
K9s,call,0.9986
K9s,raise,0.001
K8s,call,1.0
K7s,fold,0.0001
K7s,call,0.9999
K6s,fold,0.0006
K6s,call,0.9794
K6s,raise,0.02
K5s,fold,0.0003
K5s,call,0.9571
K5s,raise,0.0426
K4s,call,0.9672
K4s,raise,0.0328
K3s,fold,0.0007
K3s,call,0.9938
K3s,raise,0.0055
K2s,fold,0.0001
K2s,call,0.9999
AQo,call,0.0463
AQo,raise,0.9537
KQo,call,0.6256
KQo,raise,0.3744
QQ,raise,1.0
QJs,fold,0.0009
QJs,call,0.999
QJs,raise,0.0001
QTs,fold,0.0001
QTs,call,0.8265
QTs,raise,0.1733
Q9s,fold,0.0004
Q9s,call,0.9995
Q9s,raise,0.0002
Q8s,call,1.0
Q7s,fold,0.0005
Q7s,call,0.9995
Q7s,raise,0.0001
Q6s,call,1.0
Q5s,fold,0.0008
Q5s,call,0.999
Q5s,raise,0.0001
Q4s,fold,0.0008
Q4s,call,0.998
Q4s,raise,0.0012
Q3s,fold,0.0003
Q3s,call,0.9997
Q2s,fold,0.0003
Q2s,call,0.9997
AJo,fold,0.0001
AJo,call,0.0303
AJo,raise,0.9697
KJo,fold,0.0001
KJo,call,0.6708
KJo,raise,0.3291
QJo,call,0.9999
QJo,raise,0.0001
JJ,call,0.1056
JJ,raise,0.8944
JTs,call,0.9995
JTs,raise,0.0005
J9s,fold,0.0012
J9s,call,0.9987
J9s,raise,0.0001
J8s,fold,0.0001
J8s,call,0.9999
J7s,fold,0.0005
J7s,call,0.9994
J7s,raise,0.0001
J6s,fold,0.0008
J6s,call,0.9987
J6s,raise,0.0005
J5s,fold,0.0004
J5s,call,0.9996
J4s,fold,0.0001
J4s,call,0.9999
J3s,fold,0.0007
J3s,call,0.9992
J3s,raise,0.0001
J2s,fold,0.0003
J2s,call,0.9996
J2s,raise,0.0001
ATo,fold,0.0001
ATo,call,0.0286
ATo,raise,0.9714
KTo,call,0.984
KTo,raise,0.0159
QTo,fold,0.0004
QTo,call,0.9994
QTo,raise,0.0002
JTo,fold,0.0004
JTo,call,0.9996
TT,fold,0.0004
TT,call,0.1011
TT,raise,0.8985
T9s,fold,0.0001
T9s,call,0.989
T9s,raise,0.0109
T8s,fold,0.0002
T8s,call,0.9907
T8s,raise,0.0092
T7s,fold,0.0006
T7s,call,0.9993
T7s,raise,0.0001
T6s,fold,0.0014
