# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs hj open @ 100bb
# HRC node: id=411, seat=7, sequence=FFFRFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.87%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,fold,0.0003
AQs,call,0.016
AQs,raise,0.9836
AJs,fold,0.0004
AJs,call,0.4829
AJs,raise,0.5167
ATs,fold,0.0003
ATs,call,0.4333
ATs,raise,0.5664
A9s,fold,0.0006
A9s,call,0.9935
A9s,raise,0.0059
A8s,fold,0.0005
A8s,call,0.8928
A8s,raise,0.1068
A7s,fold,0.0019
A7s,call,0.9972
A7s,raise,0.0009
A6s,fold,0.0003
A6s,call,0.9997
A5s,fold,0.0011
A5s,call,0.9987
A5s,raise,0.0002
A4s,fold,0.0022
A4s,call,0.9879
A4s,raise,0.0099
A3s,fold,0.0001
A3s,call,0.9999
A2s,call,0.9946
A2s,raise,0.0054
AKo,call,0.0024
AKo,raise,0.9976
KK,raise,1.0
KQs,fold,0.0003
KQs,call,0.3945
KQs,raise,0.6052
KJs,fold,0.0014
KJs,call,0.9334
KJs,raise,0.0652
KTs,fold,0.0023
KTs,call,0.9969
KTs,raise,0.0008
K9s,fold,0.0065
K9s,call,0.9723
K9s,raise,0.0212
K8s,fold,0.0019
K8s,call,0.998
K8s,raise,0.0001
K7s,fold,0.001
K7s,call,0.998
K7s,raise,0.001
K6s,fold,0.0006
K6s,call,0.9992
K6s,raise,0.0002
K5s,fold,0.0013
K5s,call,0.9987
K4s,fold,0.0016
K4s,call,0.9974
K4s,raise,0.0011
K3s,fold,0.0004
K3s,call,0.9995
K2s,fold,0.0006
K2s,call,0.9993
K2s,raise,0.0001
AQo,call,0.1283
AQo,raise,0.8717
KQo,fold,0.0003
KQo,call,0.7202
KQo,raise,0.2796
QQ,call,0.0001
QQ,raise,0.9999
QJs,fold,0.0007
QJs,call,0.9323
QJs,raise,0.067
QTs,fold,0.0003
QTs,call,0.8705
QTs,raise,0.1292
Q9s,call,0.9993
Q9s,raise,0.0006
Q8s,fold,0.0001
Q8s,call,0.9999
Q7s,fold,0.0035
Q7s,call,0.9961
Q7s,raise,0.0004
Q6s,fold,0.0005
Q6s,call,0.9995
Q6s,raise,0.0001
Q5s,fold,0.0001
Q5s,call,0.9999
Q4s,fold,0.0002
Q4s,call,0.9998
Q3s,fold,0.0001
Q3s,call,0.9999
Q2s,fold,0.0022
Q2s,call,0.996
Q2s,raise,0.0018
AJo,fold,0.0003
AJo,call,0.1432
AJo,raise,0.8565
KJo,call,0.9991
KJo,raise,0.0009
QJo,fold,0.0003
QJo,call,0.9929
QJo,raise,0.0068
JJ,fold,0.0002
JJ,call,0.1317
JJ,raise,0.8681
JTs,fold,0.0043
JTs,call,0.9949
JTs,raise,0.0008
J9s,fold,0.0003
J9s,call,0.7835
J9s,raise,0.2161
J8s,fold,0.0004
J8s,call,0.9996
J7s,fold,0.0002
J7s,call,0.9998
J6s,fold,0.0034
J6s,call,0.9959
J6s,raise,0.0007
J5s,fold,0.0029
J5s,call,0.9969
J5s,raise,0.0002
J4s,fold,0.0019
J4s,call,0.998
J4s,raise,0.0001
J3s,fold,0.001
J3s,call,0.9989
J3s,raise,0.0001
J2s,fold,0.0014
J2s,call,0.9985
J2s,raise,0.0001
ATo,fold,0.0003
ATo,call,0.9993
ATo,raise,0.0003
KTo,fold,0.0001
KTo,call,0.9999
QTo,fold,0.0001
QTo,call,0.9999
JTo,call,1.0
TT,fold,0.0006
TT,call,0.3387
TT,raise,0.6607
T9s,fold,0.0021
T9s,call,0.9978
T9s,raise,0.0001
T8s,fold,0.0004
T8s,call,0.9996
T7s,fold,0.0031
T7s,call,0.9969
T6s,fold,0.0009
T6s,call,0.9991
T5s,fold,0.0038
T5s,call,0.9962
T4s,fold,0.0002
T4s,call,0.9998
T3s,fold,0.0028
T3s,call,0.9941
T3s,raise,0.0032
T2s,fold,0.0056
T2s,call,0.994
T2s,raise,0.0003
A9o,fold,0.0001
A9o,call,0.9968
A9o,raise,0.0031
K9o,fold,0.0009
K9o,call,0.9986
K9o,raise,0.0006
Q9o,call,0.9999
J9o,fold,0.0001
J9o,call,0.9999
T9o,fold,0.0006
T9o,call,0.9992
T9o,raise,0.0002
99,fold,0.0004
99,call,0.6391
99,raise,0.3605
98s,fold,0.0017
98s,call,0.9977
98s,raise,0.0006
97s,fold,0.001
97s,call,0.9988
97s,raise,0.0002
96s,call,1.0
95s,fold,0.0007
95s,call,0.9992
94s,fold,0.0024
94s,call,0.9975
93s,fold,0.0005
93s,call,0.9995
92s,fold,0.0014
92s,call,0.9985
