# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs utg1 open @ 100bb
# HRC node: id=5720, seat=7, sequence=FRFFFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.76%
notation,action,freq
AA,raise,1.0
AKs,call,0.0086
AKs,raise,0.9914
AQs,call,0.1621
AQs,raise,0.8378
AJs,fold,0.0005
AJs,call,0.9462
AJs,raise,0.0533
ATs,fold,0.0004
ATs,call,0.9995
ATs,raise,0.0001
A9s,fold,0.0007
A9s,call,0.8852
A9s,raise,0.1142
A8s,fold,0.0011
A8s,call,0.9973
A8s,raise,0.0016
A7s,fold,0.0065
A7s,call,0.99
A7s,raise,0.0035
A6s,fold,0.0023
A6s,call,0.9974
A6s,raise,0.0003
A5s,fold,0.0016
A5s,call,0.9971
A5s,raise,0.0012
A4s,call,1.0
A3s,fold,0.0008
A3s,call,0.999
A3s,raise,0.0002
A2s,fold,0.001
A2s,call,0.9989
A2s,raise,0.0001
AKo,call,0.009
AKo,raise,0.991
KK,raise,1.0
KQs,call,1.0
KJs,fold,0.0002
KJs,call,0.9881
KJs,raise,0.0117
KTs,fold,0.0009
KTs,call,0.7649
KTs,raise,0.2342
K9s,fold,0.0003
K9s,call,0.9997
K8s,fold,0.0058
K8s,call,0.992
K8s,raise,0.0022
K7s,fold,0.002
K7s,call,0.9978
K7s,raise,0.0002
K6s,fold,0.0001
K6s,call,0.9999
K5s,fold,0.0001
K5s,call,0.9999
K4s,call,1.0
K3s,fold,0.0044
K3s,call,0.99
K3s,raise,0.0055
K2s,fold,0.0026
K2s,call,0.997
K2s,raise,0.0004
AQo,call,0.9817
AQo,raise,0.0183
KQo,fold,0.0001
KQo,call,0.9999
QQ,fold,0.0001
QQ,call,0.0616
QQ,raise,0.9383
QJs,fold,0.0004
QJs,call,0.9996
QTs,fold,0.0003
QTs,call,0.2586
QTs,raise,0.7411
Q9s,fold,0.0002
Q9s,call,0.9998
Q8s,fold,0.0002
Q8s,call,0.9998
Q7s,fold,0.0052
Q7s,call,0.9935
Q7s,raise,0.0013
Q6s,fold,0.0051
Q6s,call,0.8397
Q6s,raise,0.1552
Q5s,fold,0.0016
Q5s,call,0.9984
Q4s,fold,0.0018
Q4s,call,0.9981
Q4s,raise,0.0001
Q3s,fold,0.0009
Q3s,call,0.9567
Q3s,raise,0.0424
Q2s,fold,0.0003
Q2s,call,0.9997
AJo,fold,0.0001
AJo,call,0.9767
AJo,raise,0.0232
KJo,fold,0.0007
KJo,call,0.9989
KJo,raise,0.0003
QJo,fold,0.0002
QJo,call,0.9997
JJ,fold,0.0003
JJ,call,0.3795
JJ,raise,0.6202
JTs,fold,0.0012
JTs,call,0.9987
JTs,raise,0.0001
J9s,call,1.0
J8s,fold,0.0035
J8s,call,0.9949
J8s,raise,0.0016
J7s,fold,0.0022
J7s,call,0.9978
J6s,fold,0.0002
J6s,call,0.9998
J5s,fold,0.0012
J5s,call,0.9984
J5s,raise,0.0003
J4s,fold,0.0002
J4s,call,0.9997
J3s,fold,0.0019
J3s,call,0.998
J3s,raise,0.0001
J2s,fold,0.0004
J2s,call,0.9996
ATo,fold,0.0006
ATo,call,0.9985
ATo,raise,0.0009
KTo,call,1.0
QTo,call,1.0
JTo,fold,0.0011
JTo,call,0.9987
JTo,raise,0.0002
TT,call,0.8277
TT,raise,0.1723
T9s,fold,0.0003
T9s,call,0.9996
T8s,fold,0.0002
T8s,call,0.9998
T7s,fold,0.0004
T7s,call,0.9995
T6s,fold,0.0012
T6s,call,0.9987
T5s,fold,0.0012
T5s,call,0.9988
T4s,call,0.9999
T3s,fold,0.0001
T3s,call,0.9999
T2s,fold,0.002
T2s,call,0.9979
T2s,raise,0.0001
A9o,fold,0.0001
A9o,call,0.9999
K9o,call,1.0
Q9o,fold,0.0001
Q9o,call,0.9999
J9o,fold,0.0001
J9o,call,0.9999
T9o,fold,0.0005
T9o,call,0.9994
T9o,raise,0.0001
99,fold,0.0006
99,call,0.8458
99,raise,0.1536
98s,fold,0.0002
98s,call,0.9998
97s,fold,0.006
97s,call,0.9933
97s,raise,0.0007
96s,fold,0.0036
96s,call,0.9958
96s,raise,0.0006
95s,fold,0.0003
95s,call,0.9995
95s,raise,0.0001
94s,fold,0.0005
94s,call,0.9993
94s,raise,0.0002
93s,fold,0.0086
93s,call,0.9914
92s,fold,0.0012
92s,call,0.9988
A8o,call,1.0
K8o,call,1.0
Q8o,fold,0.0001
Q8o,call,0.9999
J8o,fold,0.0001
J8o,call,0.9999
T8o,fold,0.0001
T8o,call,0.9999
98o,fold,0.0001
98o,call,0.9998
88,fold,0.001
88,call,0.8894
88,raise,0.1096
87s,fold,0.0008
