# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 100bb: open 2.5bb + 1.0bb; BU 2.5bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: btn unopened @ 100bb
# HRC node: id=5, seat=5, sequence=FFFFF
# Actions at node: ['fold', 'raise']
# VPIP estimate: 41.38%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,fold,0.0016
AJs,raise,0.9984
ATs,fold,0.0067
ATs,raise,0.9933
A9s,fold,0.0175
A9s,raise,0.9825
A8s,fold,0.0001
A8s,raise,0.9999
A7s,fold,0.0032
A7s,raise,0.9968
A6s,fold,0.0208
A6s,raise,0.9792
A5s,fold,0.0106
A5s,raise,0.9894
A4s,fold,0.0057
A4s,raise,0.9943
A3s,fold,0.002
A3s,raise,0.998
A2s,fold,0.0422
A2s,raise,0.9578
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.0004
KQs,raise,0.9996
KJs,raise,1.0
KTs,fold,0.0015
KTs,raise,0.9985
K9s,fold,0.0112
K9s,raise,0.9888
K8s,fold,0.1943
K8s,raise,0.8057
K7s,fold,0.0043
K7s,raise,0.9957
K6s,fold,0.0711
K6s,raise,0.9289
K5s,fold,0.0038
K5s,raise,0.9962
K4s,fold,0.0084
K4s,raise,0.9916
K3s,fold,0.6781
K3s,raise,0.3219
K2s,fold,0.393
K2s,raise,0.607
AQo,raise,1.0
KQo,fold,0.0016
KQo,raise,0.9984
QQ,raise,1.0
QJs,fold,0.0131
QJs,raise,0.9869
QTs,fold,0.0627
QTs,raise,0.9373
Q9s,fold,0.0135
Q9s,raise,0.9865
Q8s,fold,0.1025
Q8s,raise,0.8975
Q7s,fold,0.4218
Q7s,raise,0.5782
Q6s,fold,0.6507
Q6s,raise,0.3493
Q5s,fold,0.9605
Q5s,raise,0.0395
Q4s,fold,0.9873
Q4s,raise,0.0127
Q3s,fold,1.0
Q2s,fold,0.9564
Q2s,raise,0.0436
AJo,raise,1.0
KJo,raise,1.0
QJo,fold,0.0001
QJo,raise,0.9999
JJ,raise,1.0
JTs,fold,0.0136
JTs,raise,0.9864
J9s,fold,0.1765
J9s,raise,0.8235
J8s,fold,0.3223
J8s,raise,0.6777
J7s,fold,0.9339
J7s,raise,0.0661
J6s,fold,0.9999
J6s,raise,0.0001
J5s,fold,0.9518
J5s,raise,0.0482
J4s,fold,0.9436
J4s,raise,0.0564
J3s,fold,0.9546
J3s,raise,0.0454
J2s,fold,0.9991
J2s,raise,0.0009
ATo,fold,0.0001
ATo,raise,0.9999
KTo,fold,0.0002
KTo,raise,0.9998
QTo,fold,0.0001
QTo,raise,0.9999
JTo,fold,0.0156
JTo,raise,0.9844
TT,fold,0.0005
TT,raise,0.9995
T9s,fold,0.4994
T9s,raise,0.5006
T8s,fold,0.0818
T8s,raise,0.9182
T7s,fold,0.7688
T7s,raise,0.2312
T6s,fold,0.9985
T6s,raise,0.0015
T5s,fold,0.9159
T5s,raise,0.0841
T4s,fold,0.995
T4s,raise,0.005
T3s,fold,0.9995
T3s,raise,0.0005
T2s,fold,0.9999
T2s,raise,0.0001
A9o,fold,0.0006
A9o,raise,0.9994
K9o,fold,0.0013
K9o,raise,0.9987
Q9o,fold,0.0033
Q9o,raise,0.9967
J9o,fold,0.0238
J9o,raise,0.9762
T9o,fold,1.0
99,raise,1.0
98s,fold,1.0
97s,fold,0.7928
97s,raise,0.2072
96s,fold,1.0
95s,fold,0.9922
95s,raise,0.0078
94s,fold,0.9999
94s,raise,0.0001
93s,fold,0.9976
93s,raise,0.0024
92s,fold,0.9999
92s,raise,0.0001
A8o,fold,0.0012
A8o,raise,0.9988
K8o,fold,0.0153
K8o,raise,0.9847
Q8o,fold,0.0061
Q8o,raise,0.9939
J8o,fold,0.999
J8o,raise,0.001
T8o,fold,0.9877
T8o,raise,0.0123
98o,fold,1.0
88,fold,0.0016
88,raise,0.9984
87s,fold,0.9915
87s,raise,0.0085
86s,fold,0.9954
86s,raise,0.0046
85s,fold,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,0.9992
82s,raise,0.0008
A7o,fold,0.0012
A7o,raise,0.9988
K7o,fold,0.0028
K7o,raise,0.9972
Q7o,fold,0.9475
Q7o,raise,0.0525
J7o,fold,0.9946
J7o,raise,0.0054
T7o,fold,0.9999
T7o,raise,0.0001
97o,fold,0.9988
97o,raise,0.0012
87o,fold,1.0
77,fold,0.0004
77,raise,0.9996
76s,fold,0.9646
76s,raise,0.0354
