# Generated by hrc_import.py --canonical-8max from From Hand 1.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: ['2.1bb', '3.0x, all-in', 'all-in', 'all-in']
# App slot: btn vsopen @ 100bb
# HRC node: id=14107, seat=5, sequence=RFFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 10.45%
notation,action,freq
AA,raise,0.595
AA,jam,0.405
AKs,call,0.0768
AKs,raise,0.6355
AKs,jam,0.2877
AQs,call,0.5173
AQs,raise,0.4491
AQs,jam,0.0336
AJs,fold,0.0002
AJs,call,0.0025
AJs,raise,0.9814
AJs,jam,0.0159
ATs,fold,0.3153
ATs,call,0.6812
ATs,raise,0.0031
ATs,jam,0.0004
A9s,fold,0.5598
A9s,call,0.3153
A9s,raise,0.119
A9s,jam,0.0058
A8s,fold,0.5127
A8s,call,0.4803
A8s,raise,0.0066
A8s,jam,0.0004
A7s,fold,0.96
A7s,call,0.0176
A7s,jam,0.0223
A6s,fold,0.9394
A6s,call,0.0548
A6s,raise,0.0039
A6s,jam,0.0019
A5s,fold,0.9885
A5s,call,0.0094
A5s,raise,0.0011
A5s,jam,0.001
A4s,fold,0.9849
A4s,call,0.0127
A4s,raise,0.0023
A4s,jam,0.0001
A3s,fold,0.9394
A3s,call,0.0594
A3s,raise,0.0008
A3s,jam,0.0004
A2s,fold,0.9946
A2s,call,0.0005
A2s,raise,0.0011
A2s,jam,0.0038
AKo,call,0.6013
AKo,raise,0.3625
AKo,jam,0.0363
KK,call,0.0596
KK,raise,0.9124
KK,jam,0.028
KQs,fold,0.3185
KQs,call,0.4022
KQs,raise,0.2545
KQs,jam,0.0248
KJs,fold,0.6567
KJs,call,0.3305
KJs,raise,0.0087
KJs,jam,0.004
KTs,fold,0.9951
KTs,call,0.0049
K9s,fold,0.9979
K9s,call,0.0016
K9s,raise,0.0005
K8s,fold,0.9968
K8s,call,0.0024
K8s,raise,0.0003
K8s,jam,0.0005
K7s,fold,0.8778
K7s,call,0.121
K7s,raise,0.0012
K7s,jam,0.0001
K6s,fold,0.9982
K6s,call,0.001
K6s,raise,0.0004
K6s,jam,0.0004
K5s,fold,0.9957
K5s,call,0.004
K5s,raise,0.0003
K4s,fold,0.9956
K4s,call,0.0044
K3s,fold,0.9996
K3s,call,0.0004
K2s,fold,0.9732
K2s,call,0.0265
K2s,raise,0.0002
K2s,jam,0.0002
AQo,fold,0.0029
AQo,call,0.9044
AQo,raise,0.0859
AQo,jam,0.0068
KQo,fold,0.9836
KQo,call,0.0115
KQo,raise,0.0041
KQo,jam,0.0008
QQ,call,0.9748
QQ,raise,0.0086
QQ,jam,0.0166
QJs,fold,0.3874
QJs,call,0.6113
QJs,raise,0.0011
QJs,jam,0.0001
QTs,fold,0.9385
QTs,call,0.0514
QTs,raise,0.0089
QTs,jam,0.0013
Q9s,fold,0.926
Q9s,call,0.0703
Q9s,raise,0.0036
Q9s,jam,0.0001
Q8s,fold,0.9186
Q8s,call,0.0721
Q8s,raise,0.0092
Q8s,jam,0.0001
Q7s,fold,0.9965
Q7s,call,0.0029
Q7s,raise,0.0005
Q6s,fold,0.966
Q6s,call,0.0119
Q6s,raise,0.0219
Q6s,jam,0.0001
Q5s,fold,0.9967
Q5s,call,0.0018
Q5s,jam,0.0015
Q4s,fold,0.9939
Q4s,call,0.006
Q3s,fold,0.8761
Q3s,call,0.1233
Q3s,raise,0.0003
Q3s,jam,0.0004
Q2s,fold,0.9911
Q2s,call,0.0081
Q2s,raise,0.0006
Q2s,jam,0.0001
AJo,fold,0.7608
AJo,call,0.1568
AJo,raise,0.0775
AJo,jam,0.0049
KJo,fold,0.9913
KJo,call,0.006
KJo,raise,0.001
KJo,jam,0.0017
QJo,fold,0.9829
QJo,call,0.0161
QJo,raise,0.0002
QJo,jam,0.0008
JJ,call,0.8477
JJ,raise,0.0857
JJ,jam,0.0665
JTs,fold,0.4844
JTs,call,0.515
JTs,raise,0.0005
JTs,jam,0.0002
J9s,fold,0.9189
J9s,call,0.0803
J9s,raise,0.0005
J9s,jam,0.0003
J8s,fold,0.9814
J8s,call,0.0072
J8s,raise,0.0021
J8s,jam,0.0092
J7s,fold,0.9919
J7s,call,0.0077
J7s,raise,0.0002
J7s,jam,0.0003
J6s,fold,0.9613
J6s,call,0.0002
J6s,raise,0.0385
J6s,jam,0.0001
J5s,fold,0.9815
J5s,call,0.015
J5s,jam,0.0035
J4s,fold,0.9987
J4s,call,0.0012
J4s,raise,0.0002
J3s,fold,0.9981
J3s,call,0.0011
J3s,raise,0.0008
J2s,fold,0.9993
J2s,call,0.0004
J2s,raise,0.0002
J2s,jam,0.0001
ATo,fold,0.8454
ATo,call,0.1136
ATo,raise,0.0197
ATo,jam,0.0212
KTo,fold,0.9206
KTo,call,0.0791
KTo,raise,0.0002
KTo,jam,0.0001
QTo,fold,0.9878
QTo,call,0.0067
QTo,raise,0.0054
JTo,fold,0.999
JTo,raise,0.001
TT,fold,0.0067
TT,call,0.6646
TT,raise,0.2419
TT,jam,0.0868
T9s,fold,0.9845
T9s,call,0.0105
T9s,raise,0.0045
T9s,jam,0.0005
T8s,fold,0.8759
T8s,call,0.0497
T8s,raise,0.0744
T8s,jam,0.0001
T7s,fold,0.9569
T7s,call,0.0431
T6s,fold,0.9304
T6s,call,0.0493
T6s,raise,0.0203
T5s,fold,0.9992
T5s,call,0.0005
T5s,raise,0.0001
T5s,jam,0.0001
T4s,fold,0.9934
T4s,call,0.0036
T4s,raise,0.0029
T4s,jam,0.0001
T3s,fold,0.9975
T3s,call,0.0024
T3s,raise,0.0001
T2s,fold,0.9989
T2s,call,0.0001
T2s,raise,0.0008
T2s,jam,0.0002
A9o,fold,0.9678
A9o,call,0.0316
A9o,raise,0.0004
A9o,jam,0.0002
K9o,fold,0.989
K9o,call,0.0108
K9o,raise,0.0002
Q9o,fold,0.9995
Q9o,call,0.0003
Q9o,raise,0.0001
Q9o,jam,0.0001
J9o,fold,0.9993
J9o,call,0.0005
J9o,raise,0.0001
J9o,jam,0.0001
T9o,fold,0.9992
T9o,call,0.0008
T9o,jam,0.0001
99,fold,0.0001
99,call,0.4364
99,raise,0.5317
99,jam,0.0318
98s,fold,0.995
98s,call,0.0001
98s,raise,0.0048
98s,jam,0.0001
97s,fold,0.999
97s,call,0.0003
97s,raise,0.0003
97s,jam,0.0004
96s,fold,0.993
96s,call,0.0065
96s,raise,0.0003
96s,jam,0.0002
95s,fold,0.989
95s,call,0.0032
95s,raise,0.0078
94s,fold,0.9991
94s,call,0.0008
94s,raise,0.0001
93s,fold,0.9998
93s,call,0.0001
93s,raise,0.0001
93s,jam,0.0001
92s,fold,0.9979
92s,call,0.0001
92s,raise,0.0007
92s,jam,0.0013
A8o,fold,0.879
A8o,call,0.1204
A8o,jam,0.0005
K8o,fold,0.9974
K8o,call,0.0025
Q8o,fold,0.9995
Q8o,call,0.0005
J8o,fold,0.9996
J8o,call,0.0003
J8o,raise,0.0001
T8o,fold,0.9999
98o,fold,0.9995
98o,call,0.0005
88,fold,0.4475
88,call,0.3351
88,raise,0.2164
88,jam,0.001
87s,fold,0.9935
87s,call,0.0065
86s,fold,0.987
86s,raise,0.0127
86s,jam,0.0003
85s,fold,0.9998
85s,call,0.0002
84s,fold,0.9998
84s,raise,0.0002
83s,fold,1.0
82s,fold,0.998
82s,call,0.0014
82s,raise,0.0003
82s,jam,0.0003
A7o,fold,0.9993
A7o,call,0.0005
A7o,raise,0.0001
A7o,jam,0.0001
K7o,fold,0.999
K7o,call,0.0008
K7o,raise,0.0001
K7o,jam,0.0001
Q7o,fold,0.9997
Q7o,call,0.0002
J7o,fold,0.9998
J7o,raise,0.0002
T7o,fold,0.9999
T7o,call,0.0001
97o,fold,0.9997
97o,call,0.0001
97o,raise,0.0001
87o,fold,0.9996
87o,call,0.0002
87o,raise,0.0002
77,fold,0.929
77,call,0.0187
77,raise,0.0025
77,jam,0.0497
76s,fold,0.9912
76s,call,0.0007
76s,raise,0.0059
76s,jam,0.0022
75s,fold,0.9957
75s,call,0.0024
75s,raise,0.0003
75s,jam,0.0016
74s,fold,0.9765
74s,call,0.023
74s,raise,0.0005
73s,fold,0.9997
73s,call,0.0001
73s,raise,0.0001
73s,jam,0.0001
72s,fold,0.9996
72s,call,0.0003
72s,raise,0.0001
A6o,fold,0.9972
A6o,call,0.0027
A6o,raise,0.0001
K6o,fold,0.9991
K6o,raise,0.0008
Q6o,fold,0.999
Q6o,call,0.0004
Q6o,raise,0.0006
J6o,fold,0.9955
J6o,call,0.0045
T6o,fold,1.0
96o,fold,0.9998
96o,jam,0.0001
86o,fold,0.9996
86o,call,0.0001
86o,raise,0.0001
86o,jam,0.0001
76o,fold,0.9996
76o,call,0.0001
76o,raise,0.0001
76o,jam,0.0001
66,fold,0.9082
66,call,0.0783
66,raise,0.0001
66,jam,0.0134
65s,fold,0.9818
65s,call,0.0166
65s,raise,0.0005
65s,jam,0.0011
64s,fold,0.9822
64s,call,0.0176
64s,raise,0.0002
63s,fold,0.9992
63s,call,0.0006
63s,raise,0.0001
63s,jam,0.0001
62s,fold,0.9997
62s,call,0.0002
62s,raise,0.0002
A5o,fold,0.9971
A5o,call,0.0013
A5o,raise,0.0008
A5o,jam,0.0008
K5o,fold,1.0
Q5o,fold,1.0
J5o,fold,0.9998
J5o,raise,0.0001
T5o,fold,1.0
95o,fold,0.9997
95o,call,0.0002
85o,fold,1.0
75o,fold,0.9994
75o,call,0.0006
65o,fold,1.0
55,fold,0.9063
55,call,0.0903
55,raise,0.0012
55,jam,0.0022
54s,fold,0.9994
54s,call,0.0001
54s,raise,0.0005
53s,fold,0.997
53s,call,0.0028
53s,jam,0.0002
52s,fold,0.9994
52s,call,0.0003
52s,raise,0.0003
A4o,fold,0.9971
A4o,call,0.0026
A4o,raise,0.0001
A4o,jam,0.0002
K4o,fold,0.9999
Q4o,fold,0.9998
Q4o,raise,0.0002
J4o,fold,0.9997
J4o,call,0.0003
T4o,fold,0.9994
T4o,call,0.0006
T4o,raise,0.0001
94o,fold,0.9998
94o,call,0.0002
84o,fold,0.9999
84o,call,0.0001
74o,fold,1.0
64o,fold,0.9989
64o,call,0.0001
64o,raise,0.001
54o,fold,1.0
44,fold,0.9805
44,call,0.0114
44,raise,0.0025
44,jam,0.0057
43s,fold,0.9997
43s,call,0.0001
43s,raise,0.0001
42s,fold,0.9954
42s,call,0.0004
42s,raise,0.004
42s,jam,0.0002
A3o,fold,0.9901
A3o,call,0.0096
A3o,raise,0.0004
K3o,fold,0.9994
K3o,call,0.0002
K3o,raise,0.0002
K3o,jam,0.0003
Q3o,fold,0.9998
Q3o,call,0.0001
Q3o,raise,0.0001
J3o,fold,1.0
T3o,fold,0.9999
T3o,call,0.0001
93o,fold,0.9999
93o,raise,0.0001
83o,fold,1.0
73o,fold,1.0
63o,fold,0.9991
63o,raise,0.0004
63o,jam,0.0005
53o,fold,0.9999
53o,call,0.0001
43o,fold,1.0
33,fold,0.99
33,call,0.0005
33,raise,0.0078
33,jam,0.0018
32s,fold,0.9995
32s,call,0.0001
32s,raise,0.0003
A2o,fold,0.9991
A2o,call,0.0007
A2o,raise,0.0002
K2o,fold,1.0
Q2o,fold,0.9999
Q2o,call,0.0001
J2o,fold,0.9996
J2o,call,0.0004
T2o,fold,0.9997
T2o,call,0.0003
92o,fold,0.9996
92o,call,0.0001
92o,raise,0.0003
82o,fold,0.9999
82o,call,0.0001
72o,fold,1.0
62o,fold,0.9999
62o,raise,0.0001
52o,fold,0.9999
52o,call,0.0001
42o,fold,1.0
32o,fold,1.0
22,fold,0.9914
22,call,0.0013
22,raise,0.0068
22,jam,0.0005
