# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs lj open @ 100bb
# HRC node: id=1671, seat=5, sequence=FFRFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 12.07%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0001
AKs,call,0.0023
AKs,raise,0.9976
AQs,call,0.0218
AQs,raise,0.9782
AJs,fold,0.1244
AJs,call,0.3705
AJs,raise,0.5052
ATs,fold,0.01
ATs,call,0.5065
ATs,raise,0.4835
A9s,fold,0.6702
A9s,call,0.3216
A9s,raise,0.0082
A8s,fold,0.6799
A8s,call,0.32
A8s,raise,0.0001
A7s,fold,0.9972
A7s,call,0.0028
A6s,fold,0.9912
A6s,call,0.0082
A6s,raise,0.0006
A5s,fold,0.9824
A5s,call,0.0155
A5s,raise,0.0022
A4s,fold,0.9851
A4s,call,0.0149
A3s,fold,0.6772
A3s,call,0.3221
A3s,raise,0.0007
A2s,fold,0.9756
A2s,call,0.0179
A2s,raise,0.0065
AKo,call,0.3465
AKo,raise,0.6535
KK,call,0.6829
KK,raise,0.3171
KQs,fold,0.3046
KQs,call,0.3995
KQs,raise,0.2959
KJs,fold,0.8879
KJs,call,0.1113
KJs,raise,0.0007
KTs,fold,0.6353
KTs,call,0.3643
KTs,raise,0.0004
K9s,fold,0.7717
K9s,call,0.228
K9s,raise,0.0002
K8s,fold,0.9958
K8s,call,0.0036
K8s,raise,0.0006
K7s,fold,0.9863
K7s,call,0.0127
K7s,raise,0.0011
K6s,fold,0.9
K6s,call,0.0998
K6s,raise,0.0002
K5s,fold,0.9971
K5s,call,0.0007
K5s,raise,0.0022
K4s,fold,0.9989
K4s,call,0.0005
K4s,raise,0.0006
K3s,fold,0.9974
K3s,call,0.0025
K3s,raise,0.0001
K2s,fold,0.9884
K2s,call,0.0116
AQo,call,0.0777
AQo,raise,0.9223
KQo,fold,0.9785
KQo,call,0.0204
KQo,raise,0.0011
QQ,call,0.0004
QQ,raise,0.9996
QJs,fold,0.7244
QJs,call,0.2664
QJs,raise,0.0091
QTs,fold,0.9662
QTs,call,0.033
QTs,raise,0.0009
Q9s,fold,0.943
Q9s,call,0.0511
Q9s,raise,0.0059
Q8s,fold,0.9976
Q8s,call,0.0009
Q8s,raise,0.0016
Q7s,fold,0.992
Q7s,call,0.0066
Q7s,raise,0.0014
Q6s,fold,0.9501
Q6s,call,0.0498
Q6s,raise,0.0001
Q5s,fold,0.9979
Q5s,call,0.0018
Q5s,raise,0.0003
Q4s,fold,0.9793
Q4s,call,0.0207
Q3s,fold,0.9981
Q3s,call,0.0016
Q3s,raise,0.0003
Q2s,fold,0.9896
Q2s,call,0.0104
AJo,fold,0.1178
AJo,call,0.387
AJo,raise,0.4952
KJo,fold,0.3843
KJo,call,0.6157
QJo,fold,0.9745
QJo,call,0.0255
JJ,call,0.1774
JJ,raise,0.8226
JTs,fold,0.9925
JTs,call,0.0071
JTs,raise,0.0004
J9s,fold,0.9961
J9s,call,0.0017
J9s,raise,0.0022
J8s,fold,0.9841
J8s,call,0.0007
J8s,raise,0.0152
J7s,fold,0.8971
J7s,call,0.1026
J7s,raise,0.0003
J6s,fold,0.9985
J6s,call,0.0014
J6s,raise,0.0002
J5s,fold,0.9838
J5s,call,0.0055
J5s,raise,0.0106
J4s,fold,0.999
J4s,call,0.0007
J4s,raise,0.0002
J3s,fold,0.9886
J3s,call,0.0068
J3s,raise,0.0046
J2s,fold,0.998
J2s,call,0.002
ATo,fold,0.9375
ATo,call,0.0093
ATo,raise,0.0532
KTo,fold,0.8967
KTo,call,0.1019
KTo,raise,0.0014
QTo,fold,0.9763
QTo,call,0.0237
QTo,raise,0.0001
