# Generated by hrc_import.py --canonical-8max from From Hand 1.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: ['2.1bb', '3.0x, all-in', 'all-in', 'all-in']
# App slot: co unopened @ 100bb
# HRC node: id=4, seat=4, sequence=FFFF
# Actions at node: ['fold', 'raise']
# VPIP estimate: 31.91%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,fold,0.0001
AJs,raise,0.9999
ATs,raise,1.0
A9s,fold,0.0464
A9s,raise,0.9536
A8s,fold,0.0025
A8s,raise,0.9975
A7s,fold,0.0111
A7s,raise,0.9889
A6s,fold,0.0037
A6s,raise,0.9963
A5s,fold,0.0126
A5s,raise,0.9874
A4s,fold,0.0217
A4s,raise,0.9783
A3s,fold,0.6755
A3s,raise,0.3245
A2s,fold,0.054
A2s,raise,0.946
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,fold,0.0144
KJs,raise,0.9856
KTs,fold,0.0961
KTs,raise,0.9039
K9s,fold,0.2083
K9s,raise,0.7917
K8s,fold,0.2244
K8s,raise,0.7756
K7s,fold,0.3288
K7s,raise,0.6712
K6s,fold,0.3059
K6s,raise,0.6941
K5s,fold,0.3478
K5s,raise,0.6522
K4s,fold,0.9054
K4s,raise,0.0946
K3s,fold,0.523
K3s,raise,0.477
K2s,fold,0.8941
K2s,raise,0.1059
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,fold,0.0642
QJs,raise,0.9358
QTs,fold,0.2302
QTs,raise,0.7698
Q9s,fold,0.2003
Q9s,raise,0.7997
Q8s,fold,0.6523
Q8s,raise,0.3477
Q7s,fold,1.0
Q6s,fold,0.9997
Q6s,raise,0.0003
Q5s,fold,0.9999
Q5s,raise,0.0001
Q4s,fold,0.9979
Q4s,raise,0.0021
Q3s,fold,0.9327
Q3s,raise,0.0673
Q2s,fold,1.0
AJo,raise,1.0
KJo,fold,0.0018
KJo,raise,0.9982
QJo,fold,0.011
QJo,raise,0.989
JJ,raise,1.0
JTs,fold,0.2899
JTs,raise,0.7101
J9s,fold,0.7958
J9s,raise,0.2042
J8s,fold,0.8661
J8s,raise,0.1339
J7s,fold,0.9822
J7s,raise,0.0178
J6s,fold,0.9998
J6s,raise,0.0002
J5s,fold,0.9996
J5s,raise,0.0004
J4s,fold,1.0
J3s,fold,1.0
J2s,fold,0.9961
J2s,raise,0.0039
ATo,raise,1.0
KTo,fold,0.0027
KTo,raise,0.9973
QTo,fold,0.0497
QTo,raise,0.9503
JTo,fold,0.1747
JTo,raise,0.8253
TT,raise,1.0
T9s,fold,1.0
T8s,fold,0.7593
T8s,raise,0.2407
T7s,fold,0.9755
T7s,raise,0.0245
T6s,fold,0.9996
T6s,raise,0.0004
T5s,fold,0.9869
T5s,raise,0.0131
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,1.0
A9o,fold,0.0012
A9o,raise,0.9988
K9o,fold,0.0644
K9o,raise,0.9356
Q9o,fold,0.5439
Q9o,raise,0.4561
J9o,fold,1.0
T9o,fold,1.0
99,raise,1.0
98s,fold,1.0
97s,fold,1.0
96s,fold,0.9902
96s,raise,0.0098
95s,fold,1.0
94s,fold,0.9987
94s,raise,0.0013
93s,fold,1.0
92s,fold,1.0
A8o,fold,0.0287
A8o,raise,0.9713
K8o,fold,0.065
K8o,raise,0.935
Q8o,fold,0.9867
Q8o,raise,0.0133
J8o,fold,0.9999
J8o,raise,0.0001
T8o,fold,0.9999
T8o,raise,0.0001
98o,fold,1.0
88,fold,0.0002
88,raise,0.9998
87s,fold,1.0
86s,fold,0.9999
86s,raise,0.0001
85s,fold,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,0.9998
82s,raise,0.0002
A7o,fold,0.005
A7o,raise,0.995
K7o,fold,0.2301
K7o,raise,0.7699
Q7o,fold,0.9995
Q7o,raise,0.0005
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,fold,0.0003
77,raise,0.9997
76s,fold,1.0
75s,fold,1.0
74s,fold,0.9998
74s,raise,0.0002
73s,fold,1.0
72s,fold,0.9999
72s,raise,0.0001
A6o,fold,0.0251
A6o,raise,0.9749
K6o,fold,0.9999
K6o,raise,0.0001
Q6o,fold,0.9982
Q6o,raise,0.0018
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.0016
66,raise,0.9984
65s,fold,1.0
64s,fold,1.0
63s,fold,0.9999
63s,raise,0.0001
62s,fold,1.0
A5o,fold,0.1206
A5o,raise,0.8794
K5o,fold,1.0
Q5o,fold,0.9677
Q5o,raise,0.0323
J5o,fold,1.0
T5o,fold,1.0
95o,fold,1.0
