# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.5bb + 1.0bb', 'SIZES_OPEN_BU': '2.5bb + 1.0bb', 'SIZES_OPEN_SB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: co vs3bet @ 100bb
# HRC node: id=278, seat=4, sequence=FFFFRRFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 99.08%
notation,action,freq
AA,raise,0.2304
AA,jam,0.7696
AKs,fold,0.0001
AKs,call,0.5369
AKs,raise,0.4604
AKs,jam,0.0026
AQs,fold,0.0071
AQs,call,0.7808
AQs,raise,0.0057
AQs,jam,0.2063
AJs,fold,0.0056
AJs,call,0.9864
AJs,raise,0.0004
AJs,jam,0.0076
ATs,fold,0.009
ATs,call,0.5654
ATs,raise,0.0003
ATs,jam,0.4253
A9s,fold,0.0011
A9s,call,0.9985
A9s,raise,0.0002
A9s,jam,0.0002
A8s,fold,0.0493
A8s,call,0.8707
A8s,raise,0.0017
A8s,jam,0.0782
A7s,fold,0.031
A7s,call,0.5981
A7s,raise,0.001
A7s,jam,0.3699
A6s,fold,0.0029
A6s,call,0.957
A6s,jam,0.0401
A5s,fold,0.0034
A5s,call,0.9957
A5s,raise,0.0008
A5s,jam,0.0001
A4s,fold,0.0269
A4s,call,0.6988
A4s,raise,0.0185
A4s,jam,0.2558
A3s,fold,0.0138
A3s,call,0.8733
A3s,raise,0.0909
A3s,jam,0.0219
A2s,fold,0.0457
A2s,call,0.7638
A2s,raise,0.0001
A2s,jam,0.1905
AKo,call,0.5991
AKo,raise,0.393
AKo,jam,0.0079
KK,call,0.0226
KK,raise,0.3674
KK,jam,0.61
KQs,fold,0.003
KQs,call,0.996
KQs,raise,0.0004
KQs,jam,0.0005
KJs,fold,0.0105
KJs,call,0.9763
KJs,raise,0.004
KJs,jam,0.0092
KTs,call,0.9874
KTs,raise,0.0001
KTs,jam,0.0125
K9s,fold,0.0344
K9s,call,0.9618
K9s,raise,0.0037
K9s,jam,0.0002
K8s,fold,0.0159
K8s,call,0.8514
K8s,raise,0.1282
K8s,jam,0.0045
K7s,fold,0.003
K7s,call,0.9969
K6s,fold,0.0603
K6s,call,0.8877
K6s,raise,0.0516
K6s,jam,0.0003
K5s,fold,0.022
K5s,call,0.9703
K5s,jam,0.0077
K4s,fold,0.0231
K4s,call,0.9666
K4s,raise,0.0001
K4s,jam,0.0102
K3s,fold,0.048
K3s,call,0.947
K3s,raise,0.0041
K3s,jam,0.001
K2s,fold,0.0724
K2s,call,0.8845
K2s,raise,0.0001
K2s,jam,0.0431
AQo,call,0.9914
AQo,raise,0.0083
AQo,jam,0.0002
KQo,fold,0.0003
KQo,call,0.9996
KQo,jam,0.0001
QQ,call,0.9686
QQ,raise,0.0149
QQ,jam,0.0165
QJs,fold,0.0096
QJs,call,0.9791
QJs,raise,0.0054
QJs,jam,0.0059
QTs,fold,0.0197
QTs,call,0.9742
QTs,raise,0.0001
QTs,jam,0.0061
Q9s,fold,0.0088
Q9s,call,0.9912
Q8s,fold,0.0074
Q8s,call,0.9357
Q8s,raise,0.0174
Q8s,jam,0.0395
Q7s,fold,0.0303
Q7s,call,0.9665
Q7s,raise,0.0002
Q7s,jam,0.003
Q6s,fold,0.025
Q6s,call,0.972
Q6s,raise,0.0009
Q6s,jam,0.002
Q4s,fold,0.1172
Q4s,call,0.8703
Q4s,jam,0.0125
Q2s,fold,0.0113
Q2s,call,0.9884
Q2s,raise,0.0002
AJo,fold,0.0009
AJo,call,0.9975
AJo,raise,0.0015
AJo,jam,0.0001
KJo,fold,0.0119
KJo,call,0.987
KJo,raise,0.0009
KJo,jam,0.0002
QJo,fold,0.0003
QJo,call,0.9997
JJ,call,0.6991
JJ,raise,0.2991
JJ,jam,0.0017
JTs,fold,0.0042
JTs,call,0.9957
JTs,jam,0.0001
J9s,fold,0.0015
J9s,call,0.9984
J9s,jam,0.0001
J8s,fold,0.044
J8s,call,0.9538
J8s,raise,0.0007
J8s,jam,0.0015
J7s,fold,0.0432
J7s,call,0.9545
J7s,raise,0.0009
J7s,jam,0.0014
J5s,fold,0.0123
J5s,call,0.9841
J5s,raise,0.0036
J2s,fold,0.2179
J2s,call,0.7781
J2s,raise,0.0019
J2s,jam,0.0021
ATo,fold,0.0008
ATo,call,0.9986
ATo,raise,0.0003
ATo,jam,0.0003
KTo,fold,0.0006
KTo,call,0.9992
KTo,jam,0.0002
QTo,fold,0.0011
QTo,call,0.9987
QTo,jam,0.0002
JTo,fold,0.0042
JTo,call,0.9946
JTo,raise,0.0008
JTo,jam,0.0003
TT,call,0.8578
TT,raise,0.1188
TT,jam,0.0234
T9s,fold,0.0552
T9s,call,0.353
T9s,raise,0.4796
T9s,jam,0.1122
T8s,fold,0.0154
T8s,call,0.9754
T8s,raise,0.0001
T8s,jam,0.0091
T7s,fold,0.0486
T7s,call,0.947
T7s,raise,0.0021
T7s,jam,0.0023
T6s,fold,0.0919
T6s,call,0.6172
T6s,raise,0.0237
T6s,jam,0.2672
T2s,fold,0.0806
T2s,call,0.9171
T2s,raise,0.0002
T2s,jam,0.0022
A9o,fold,0.001
A9o,call,0.994
A9o,raise,0.0003
A9o,jam,0.0047
K9o,fold,0.0077
K9o,call,0.9915
K9o,raise,0.0003
K9o,jam,0.0005
Q9o,fold,0.0454
Q9o,call,0.9546
J9o,fold,0.0021
J9o,call,0.9978
J9o,jam,0.0001
T9o,fold,0.0069
T9o,call,0.9919
T9o,jam,0.0013
99,fold,0.0057
99,call,0.7302
99,raise,0.0003
99,jam,0.2638
98s,fold,0.1863
98s,call,0.8136
98s,raise,0.0001
97s,fold,0.0155
97s,call,0.9834
97s,jam,0.001
96s,fold,0.0915
96s,call,0.9081
96s,raise,0.0001
96s,jam,0.0003
95s,fold,0.1205
95s,call,0.8793
95s,raise,0.0002
93s,fold,0.1644
93s,call,0.6936
93s,raise,0.0007
93s,jam,0.1413
A8o,fold,0.003
A8o,call,0.9963
A8o,raise,0.0005
A8o,jam,0.0002
K8o,fold,0.0129
K8o,call,0.987
K8o,jam,0.0001
Q8o,fold,0.0221
Q8o,call,0.9768
Q8o,jam,0.001
T8o,fold,0.0053
T8o,call,0.9946
98o,fold,0.0083
98o,call,0.9915
98o,raise,0.0002
88,fold,0.0085
88,call,0.9863
88,raise,0.0029
88,jam,0.0022
A7o,fold,0.0006
A7o,call,0.9992
A7o,raise,0.0002
A7o,jam,0.0001
K7o,fold,0.0709
K7o,call,0.929
77,fold,0.0034
77,call,0.996
77,raise,0.0004
77,jam,0.0001
76s,fold,0.0562
76s,call,0.9425
76s,raise,0.0002
76s,jam,0.0011
74s,fold,0.194
74s,call,0.4691
74s,raise,0.0006
74s,jam,0.3364
A6o,fold,0.0004
A6o,call,0.9986
A6o,jam,0.0009
K6o,fold,0.0016
K6o,call,0.9982
K6o,raise,0.0001
K6o,jam,0.0001
Q6o,fold,0.0058
Q6o,call,0.994
