# Generated by hrc_import.py --canonical-8max from From Hand 1.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: ['2.1bb', '3.0x, all-in', 'all-in', 'all-in']
# App slot: co vsopen @ 100bb
# HRC node: id=14106, seat=4, sequence=RFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 12.56%
notation,action,freq
AA,call,0.0004
AA,raise,0.8334
AA,jam,0.1663
AKs,call,0.2206
AKs,raise,0.014
AKs,jam,0.7655
AQs,call,0.8213
AQs,raise,0.1324
AQs,jam,0.0463
AJs,fold,0.0342
AJs,call,0.1124
AJs,raise,0.852
AJs,jam,0.0015
ATs,fold,0.5003
ATs,call,0.4001
ATs,raise,0.0845
ATs,jam,0.0152
A9s,fold,0.9547
A9s,call,0.0096
A9s,raise,0.0313
A9s,jam,0.0045
A8s,fold,0.9155
A8s,call,0.0559
A8s,raise,0.0278
A8s,jam,0.0008
A7s,fold,0.7666
A7s,call,0.1589
A7s,raise,0.0732
A7s,jam,0.0014
A6s,fold,0.9364
A6s,call,0.045
A6s,raise,0.016
A6s,jam,0.0025
A5s,fold,0.8063
A5s,call,0.0209
A5s,raise,0.0124
A5s,jam,0.1604
A4s,fold,0.9492
A4s,call,0.0294
A4s,raise,0.0117
A4s,jam,0.0097
A3s,fold,0.9534
A3s,call,0.0461
A3s,raise,0.0003
A3s,jam,0.0003
A2s,fold,0.9924
A2s,call,0.0033
A2s,raise,0.0043
A2s,jam,0.0001
AKo,call,0.5054
AKo,raise,0.4055
AKo,jam,0.0891
KK,call,0.6467
KK,raise,0.1575
KK,jam,0.1958
KQs,fold,0.0001
KQs,call,0.8456
KQs,raise,0.1497
KQs,jam,0.0045
KJs,fold,0.9132
KJs,call,0.0206
KJs,raise,0.0633
KJs,jam,0.0028
KTs,fold,0.0952
KTs,call,0.8993
KTs,raise,0.0001
KTs,jam,0.0054
K9s,fold,0.7718
K9s,call,0.2232
K9s,raise,0.003
K9s,jam,0.002
K8s,fold,0.8039
K8s,call,0.181
K8s,raise,0.0042
K8s,jam,0.0109
K7s,fold,0.9861
K7s,call,0.0132
K7s,raise,0.0003
K7s,jam,0.0004
K6s,fold,0.9142
K6s,call,0.0826
K6s,raise,0.0021
K6s,jam,0.0011
K5s,fold,0.9977
K5s,call,0.0008
K5s,raise,0.0015
K4s,fold,0.9938
K4s,call,0.001
K4s,raise,0.0043
K4s,jam,0.0009
K3s,fold,0.9997
K3s,call,0.0001
K3s,raise,0.0001
K2s,fold,0.9987
K2s,call,0.001
K2s,raise,0.0001
K2s,jam,0.0002
AQo,call,0.8588
AQo,raise,0.1394
AQo,jam,0.0018
KQo,fold,0.9691
KQo,call,0.0201
KQo,raise,0.0091
KQo,jam,0.0016
