# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 100bb: open 2.5bb + 1.0bb; BU 2.5bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: hj unopened @ 100bb
# HRC node: id=3, seat=3, sequence=FFF
# Actions at node: ['fold', 'raise']
# VPIP estimate: 25.09%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,raise,1.0
A8s,fold,0.0176
A8s,raise,0.9824
A7s,fold,0.0835
A7s,raise,0.9165
A6s,fold,0.11
A6s,raise,0.89
A5s,fold,0.0137
A5s,raise,0.9863
A4s,fold,0.9998
A4s,raise,0.0002
A3s,raise,1.0
A2s,fold,0.4694
A2s,raise,0.5306
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.0004
KQs,raise,0.9996
KJs,fold,0.0006
KJs,raise,0.9994
KTs,fold,0.0048
KTs,raise,0.9952
K9s,fold,0.1529
K9s,raise,0.8471
K8s,fold,0.6008
K8s,raise,0.3992
K7s,fold,0.75
K7s,raise,0.25
K6s,fold,0.9926
K6s,raise,0.0074
K5s,fold,0.9999
K5s,raise,0.0001
K4s,fold,0.9992
K4s,raise,0.0008
K3s,fold,0.9996
K3s,raise,0.0004
K2s,fold,0.9995
K2s,raise,0.0005
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,fold,0.0233
QJs,raise,0.9767
QTs,fold,0.0018
QTs,raise,0.9982
Q9s,fold,0.3113
Q9s,raise,0.6887
Q8s,fold,0.8956
Q8s,raise,0.1044
Q7s,fold,0.9992
Q7s,raise,0.0008
Q6s,fold,0.97
Q6s,raise,0.03
Q5s,fold,1.0
Q4s,fold,0.9997
Q4s,raise,0.0003
Q3s,fold,0.9999
Q3s,raise,0.0001
Q2s,fold,0.9997
Q2s,raise,0.0003
AJo,raise,1.0
KJo,fold,0.0393
KJo,raise,0.9607
QJo,fold,0.0951
QJo,raise,0.9049
JJ,raise,1.0
JTs,fold,0.8943
JTs,raise,0.1057
J9s,fold,0.9653
J9s,raise,0.0347
J8s,fold,0.9998
J8s,raise,0.0002
J7s,fold,0.9999
J7s,raise,0.0001
J6s,fold,0.9998
J6s,raise,0.0002
J5s,fold,1.0
J4s,fold,0.9997
J4s,raise,0.0003
J3s,fold,1.0
J2s,fold,1.0
ATo,raise,1.0
KTo,fold,0.0081
KTo,raise,0.9919
QTo,fold,0.2892
QTo,raise,0.7108
JTo,fold,0.9999
JTo,raise,0.0001
TT,raise,1.0
T9s,fold,0.999
T9s,raise,0.001
T8s,fold,1.0
T7s,fold,1.0
T6s,fold,0.9998
T6s,raise,0.0002
T5s,fold,1.0
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,1.0
A9o,raise,1.0
K9o,fold,0.6596
K9o,raise,0.3404
Q9o,fold,0.9982
Q9o,raise,0.0018
J9o,fold,1.0
T9o,fold,0.9997
T9o,raise,0.0003
99,raise,1.0
98s,fold,0.9985
98s,raise,0.0015
97s,fold,1.0
96s,fold,0.9999
96s,raise,0.0001
95s,fold,1.0
94s,fold,1.0
93s,fold,1.0
92s,fold,0.9999
92s,raise,0.0001
A8o,fold,0.1697
A8o,raise,0.8303
K8o,fold,0.9999
K8o,raise,0.0001
Q8o,fold,1.0
J8o,fold,1.0
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,0.9999
87s,raise,0.0001
86s,fold,1.0
85s,fold,1.0
84s,fold,0.9999
84s,raise,0.0001
83s,fold,1.0
82s,fold,0.9999
82s,raise,0.0001
A7o,fold,0.0731
A7o,raise,0.9269
K7o,fold,1.0
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,0.9999
T7o,raise,0.0001
97o,fold,1.0
87o,fold,1.0
77,fold,0.0253
77,raise,0.9747
76s,fold,0.9993
76s,raise,0.0007
75s,fold,0.9997
75s,raise,0.0003
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,0.3632
A6o,raise,0.6368
K6o,fold,1.0
Q6o,fold,0.9999
Q6o,raise,0.0001
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.0043
66,raise,0.9957
65s,fold,1.0
64s,fold,1.0
63s,fold,0.9997
63s,raise,0.0003
62s,fold,0.9999
62s,raise,0.0001
A5o,fold,0.1874
A5o,raise,0.8126
K5o,fold,0.9999
K5o,raise,0.0001
Q5o,fold,1.0
J5o,fold,1.0
