# poker.academy CE-Symmetric — 100bb vs3bet | hero HJ vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.8762
55,fold,0.1238
66,call,1.0
77,call,1.0
88,call,1.0
99,call,0.898
99,threeBet,0.102
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.9641
A9s,threeBet,0.0359
A8s,call,0.562
A8s,threeBet,0.438
A7s,call,0.518
A7s,threeBet,0.482
A6s,call,0.744
A6s,threeBet,0.256
A5s,call,0.764
A5s,threeBet,0.236
A4s,call,0.6061
A4s,threeBet,0.3939
A3s,call,0.2639
A3s,fold,0.7361
AKo,call,0.0199
AKo,threeBet,0.9801
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,0.77
KTs,threeBet,0.23
K9s,call,0.2699
K9s,threeBet,0.7301
K8s,call,0.4359
K8s,fold,0.5641
K6s,call,0.396
K6s,fold,0.4081
K6s,threeBet,0.1959
AQo,call,0.464
AQo,threeBet,0.536
KQo,call,0.656
KQo,fold,0.0819
KQo,threeBet,0.2621
QQ,threeBet,1.0
QJs,call,0.728
QJs,threeBet,0.272
QTs,call,0.8201
QTs,threeBet,0.1799
AJo,call,0.298
AJo,fold,0.426
AJo,threeBet,0.276
JJ,call,0.536
JJ,threeBet,0.464
JTs,call,0.9341
JTs,threeBet,0.0659
J9s,call,0.218
J9s,fold,0.782
ATo,fold,0.8861
ATo,threeBet,0.1139
TT,call,0.6341
TT,threeBet,0.3659
T9s,call,0.83
T9s,threeBet,0.17
98s,call,0.2159
98s,fold,0.7841
87s,call,0.492
87s,fold,0.508
76s,call,0.546
76s,fold,0.454
65s,call,0.4318
65s,fold,0.5682
54s,call,1.0
