# Generated by hrc_import.py --canonical-8max from From Hand 1.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: ['2.1bb', '3.0x, all-in', 'all-in', 'all-in']
# App slot: hj vsopen @ 100bb
# HRC node: id=14105, seat=3, sequence=RFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 14.59%
notation,action,freq
AA,raise,0.6765
AA,jam,0.3235
AKs,call,0.927
AKs,raise,0.011
AKs,jam,0.062
AQs,call,0.4712
AQs,raise,0.4523
AQs,jam,0.0766
AJs,call,0.3807
AJs,raise,0.5597
AJs,jam,0.0596
ATs,fold,0.0026
ATs,call,0.9871
ATs,raise,0.0003
ATs,jam,0.01
A9s,fold,0.8487
A9s,call,0.1049
A9s,raise,0.0375
A9s,jam,0.009
A8s,fold,0.6588
A8s,call,0.316
A8s,raise,0.0011
A8s,jam,0.0241
A7s,fold,0.3005
A7s,call,0.6974
A7s,raise,0.0021
A6s,fold,0.8793
A6s,call,0.1156
A6s,raise,0.0033
A6s,jam,0.0018
A5s,fold,0.2362
A5s,call,0.5998
A5s,raise,0.1497
A5s,jam,0.0143
A4s,fold,0.7251
A4s,call,0.2681
A4s,raise,0.0056
A4s,jam,0.0012
A3s,fold,0.5737
A3s,call,0.3887
A3s,raise,0.0338
A3s,jam,0.0038
A2s,fold,0.9751
A2s,call,0.0068
A2s,raise,0.015
A2s,jam,0.0031
AKo,call,0.3758
AKo,raise,0.1325
AKo,jam,0.4917
KK,call,0.1913
KK,raise,0.544
KK,jam,0.2647
KQs,fold,0.1861
KQs,call,0.5347
KQs,raise,0.1936
KQs,jam,0.0856
KJs,fold,0.4029
KJs,call,0.5818
KJs,raise,0.0055
KJs,jam,0.0098
KTs,fold,0.2472
KTs,call,0.7155
KTs,raise,0.0354
KTs,jam,0.0019
K9s,fold,0.6038
K9s,call,0.2571
K9s,raise,0.0919
K9s,jam,0.0471
K8s,fold,0.7289
K8s,call,0.2657
K8s,raise,0.0008
K8s,jam,0.0045
K7s,fold,0.9414
K7s,call,0.0408
K7s,raise,0.016
K7s,jam,0.0018
K6s,fold,0.9901
K6s,call,0.007
K6s,raise,0.0018
K6s,jam,0.001
K5s,fold,0.9676
K5s,call,0.0231
K5s,raise,0.0093
K4s,fold,0.999
K4s,call,0.0002
K4s,raise,0.0005
K4s,jam,0.0003
K3s,fold,0.9948
K3s,call,0.0051
K3s,jam,0.0001
K2s,fold,0.9949
K2s,call,0.0011
K2s,raise,0.0035
K2s,jam,0.0005
AQo,fold,0.0011
AQo,call,0.8693
AQo,raise,0.1276
AQo,jam,0.002
KQo,fold,0.0742
KQo,call,0.8815
KQo,raise,0.0427
KQo,jam,0.0016
QQ,call,0.137
QQ,raise,0.3109
QQ,jam,0.5521
QJs,fold,0.6442
QJs,call,0.3375
QJs,raise,0.0131
QJs,jam,0.0052
QTs,fold,0.8172
QTs,call,0.1603
QTs,raise,0.0154
QTs,jam,0.007
Q9s,fold,0.9433
Q9s,call,0.0531
Q9s,raise,0.001
Q9s,jam,0.0026
Q8s,fold,0.8606
Q8s,call,0.1385
Q8s,raise,0.0002
Q8s,jam,0.0007
Q7s,fold,0.7581
Q7s,call,0.2329
Q7s,raise,0.0087
Q7s,jam,0.0004
Q6s,fold,0.9802
Q6s,call,0.0194
Q6s,jam,0.0004
Q5s,fold,0.9981
Q5s,call,0.0005
Q5s,raise,0.0002
Q5s,jam,0.0012
Q4s,fold,0.9932
Q4s,call,0.0002
Q4s,jam,0.0065
Q3s,fold,0.9917
Q3s,raise,0.0083
Q2s,fold,0.9917
Q2s,call,0.0064
Q2s,raise,0.0013
Q2s,jam,0.0006
AJo,call,0.5454
AJo,raise,0.445
AJo,jam,0.0096
KJo,fold,0.9297
KJo,call,0.0694
KJo,raise,0.0008
KJo,jam,0.0001
QJo,fold,0.9697
QJo,call,0.0209
QJo,raise,0.0073
QJo,jam,0.0021
JJ,call,0.9193
JJ,raise,0.0762
JJ,jam,0.0045
JTs,fold,0.7833
JTs,call,0.2029
JTs,raise,0.0126
JTs,jam,0.0012
J9s,fold,0.9272
J9s,call,0.072
J9s,raise,0.0005
J9s,jam,0.0003
J8s,fold,0.9768
J8s,call,0.0009
J8s,raise,0.0216
J8s,jam,0.0007
J7s,fold,0.9901
J7s,call,0.0077
J7s,raise,0.0022
J6s,fold,0.9591
J6s,call,0.0315
J6s,raise,0.0094
J5s,fold,0.9906
J5s,call,0.0013
J5s,raise,0.0079
J5s,jam,0.0001
J4s,fold,0.9999
J4s,call,0.0001
J3s,fold,0.9999
J3s,raise,0.0001
J2s,fold,0.9947
J2s,call,0.0029
J2s,raise,0.0023
J2s,jam,0.0001
ATo,fold,0.7896
ATo,call,0.1583
ATo,raise,0.0469
ATo,jam,0.0051
KTo,fold,0.9686
KTo,call,0.0219
KTo,raise,0.0094
QTo,fold,0.994
QTo,call,0.0003
QTo,raise,0.0055
QTo,jam,0.0002
JTo,fold,0.9951
JTo,call,0.0049
TT,call,0.9217
TT,raise,0.058
TT,jam,0.0203
T9s,fold,0.8958
T9s,call,0.0956
T9s,jam,0.0085
T8s,fold,0.9842
T8s,call,0.0143
T8s,raise,0.0015
T7s,fold,0.9914
T7s,call,0.003
T7s,raise,0.0039
T7s,jam,0.0018
T6s,fold,0.9896
T6s,call,0.0085
T6s,raise,0.0015
T6s,jam,0.0005
T5s,fold,1.0
T4s,fold,0.9999
T3s,fold,0.9992
T3s,call,0.0008
T2s,fold,0.9976
T2s,call,0.0001
T2s,raise,0.0023
T2s,jam,0.0001
A9o,fold,0.9159
A9o,call,0.0611
A9o,raise,0.018
A9o,jam,0.005
K9o,fold,0.997
K9o,call,0.0016
K9o,raise,0.0009
K9o,jam,0.0004
Q9o,fold,0.9978
Q9o,call,0.002
Q9o,raise,0.0001
Q9o,jam,0.0001
J9o,fold,0.9941
J9o,call,0.0058
J9o,raise,0.0001
T9o,fold,0.9942
T9o,call,0.0056
T9o,raise,0.0001
T9o,jam,0.0001
99,call,0.4899
99,raise,0.4124
99,jam,0.0977
98s,fold,0.9852
98s,call,0.0012
98s,raise,0.0101
98s,jam,0.0034
97s,fold,0.9786
97s,call,0.0179
97s,raise,0.0033
97s,jam,0.0002
96s,fold,0.9984
96s,call,0.001
96s,raise,0.0002
96s,jam,0.0004
95s,fold,0.9919
95s,call,0.0079
95s,raise,0.0002
94s,fold,1.0
93s,fold,0.9973
93s,call,0.0011
93s,raise,0.0016
92s,fold,0.9997
92s,call,0.0003
A8o,fold,0.9564
A8o,call,0.0388
A8o,raise,0.0016
A8o,jam,0.0032
K8o,fold,0.9953
K8o,call,0.0044
K8o,raise,0.0002
K8o,jam,0.0001
Q8o,fold,0.9976
Q8o,call,0.0018
Q8o,raise,0.0001
Q8o,jam,0.0006
J8o,fold,0.9998
J8o,call,0.0002
T8o,fold,0.9999
T8o,jam,0.0001
98o,fold,0.9977
98o,call,0.0005
98o,raise,0.0017
88,call,0.9769
88,raise,0.0176
88,jam,0.0055
87s,fold,0.8036
87s,call,0.1826
87s,raise,0.0128
87s,jam,0.001
86s,fold,0.9901
86s,call,0.0076
86s,jam,0.0022
85s,fold,0.998
85s,call,0.001
85s,raise,0.0009
85s,jam,0.0001
84s,fold,0.9978
84s,call,0.0012
84s,raise,0.001
83s,fold,1.0
82s,fold,0.999
82s,call,0.0009
82s,raise,0.0001
A7o,fold,0.979
A7o,call,0.0193
A7o,raise,0.0017
A7o,jam,0.0001
K7o,fold,0.9976
K7o,call,0.0012
K7o,raise,0.0001
K7o,jam,0.001
Q7o,fold,0.9998
Q7o,call,0.0002
J7o,fold,0.9997
J7o,call,0.0002
J7o,jam,0.0001
T7o,fold,0.9998
T7o,raise,0.0001
97o,fold,0.9995
97o,call,0.0004
87o,fold,0.9967
87o,call,0.0033
77,fold,0.1794
77,call,0.5302
77,raise,0.2833
77,jam,0.0071
76s,fold,0.9987
76s,call,0.0003
76s,raise,0.0002
76s,jam,0.0008
75s,fold,0.9906
75s,call,0.0019
75s,raise,0.0049
75s,jam,0.0025
74s,fold,0.9966
74s,call,0.0027
74s,jam,0.0007
73s,fold,0.9998
73s,raise,0.0001
73s,jam,0.0001
72s,fold,1.0
A6o,fold,0.9905
A6o,call,0.0041
A6o,raise,0.0051
A6o,jam,0.0004
K6o,fold,0.9993
K6o,call,0.0001
K6o,raise,0.0005
K6o,jam,0.0001
Q6o,fold,0.9997
Q6o,call,0.0003
J6o,fold,0.9994
J6o,raise,0.0006
T6o,fold,0.9999
96o,fold,0.9997
96o,call,0.0002
86o,fold,1.0
76o,fold,0.9997
76o,call,0.0003
66,fold,0.6582
66,call,0.2601
66,raise,0.0364
66,jam,0.0452
65s,fold,0.9962
65s,call,0.0031
65s,raise,0.0005
65s,jam,0.0002
64s,fold,0.9997
64s,raise,0.0002
64s,jam,0.0001
63s,fold,0.9988
63s,call,0.0012
62s,fold,0.9988
62s,call,0.0012
A5o,fold,0.9989
A5o,call,0.0007
A5o,raise,0.0001
A5o,jam,0.0003
K5o,fold,0.9951
K5o,call,0.0049
Q5o,fold,0.9999
Q5o,call,0.0001
J5o,fold,0.999
J5o,call,0.0009
J5o,jam,0.0001
T5o,fold,0.9997
T5o,call,0.0001
T5o,raise,0.0001
95o,fold,1.0
85o,fold,1.0
75o,fold,0.9999
75o,raise,0.0001
65o,fold,0.9999
65o,raise,0.0001
55,fold,0.7756
55,call,0.2138
55,raise,0.0083
55,jam,0.0022
54s,fold,0.9995
54s,call,0.0002
54s,jam,0.0002
53s,fold,0.9993
53s,call,0.0001
53s,raise,0.0003
53s,jam,0.0003
52s,fold,0.9994
52s,call,0.0004
52s,raise,0.0001
A4o,fold,0.9981
A4o,call,0.0005
A4o,raise,0.0006
A4o,jam,0.0007
K4o,fold,0.9983
K4o,raise,0.0016
Q4o,fold,0.9986
Q4o,call,0.0014
J4o,fold,0.9998
J4o,raise,0.0002
T4o,fold,1.0
94o,fold,0.9999
94o,call,0.0001
84o,fold,0.9999
84o,call,0.0001
84o,raise,0.0001
74o,fold,0.9998
74o,call,0.0002
64o,fold,0.9998
64o,raise,0.0001
54o,fold,0.9999
44,fold,0.8052
44,call,0.1454
44,raise,0.0494
44,jam,0.0001
43s,fold,0.9993
43s,call,0.0006
43s,raise,0.0001
42s,fold,1.0
A3o,fold,0.9974
A3o,call,0.0014
A3o,raise,0.0007
A3o,jam,0.0005
K3o,fold,0.9996
K3o,call,0.0002
K3o,raise,0.0002
Q3o,fold,0.9979
Q3o,call,0.0021
J3o,fold,1.0
T3o,fold,1.0
93o,fold,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,0.9999
63o,call,0.0001
53o,fold,0.9999
43o,fold,1.0
33,fold,0.9986
33,call,0.0009
33,raise,0.0001
33,jam,0.0004
32s,fold,0.9997
32s,call,0.0001
32s,raise,0.0003
A2o,fold,0.9993
A2o,call,0.0005
A2o,raise,0.0002
K2o,fold,1.0
Q2o,fold,1.0
J2o,fold,0.999
J2o,call,0.0009
J2o,raise,0.0001
T2o,fold,1.0
92o,fold,1.0
82o,fold,0.9999
72o,fold,1.0
62o,fold,1.0
52o,fold,1.0
42o,fold,0.9994
42o,call,0.0006
32o,fold,1.0
22,fold,0.9967
22,call,0.0025
22,raise,0.0001
22,jam,0.0007
