# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): hj vsopen vs lj open @ 100bb
# HRC node: id=1669, seat=3, sequence=FFR
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 12.62%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0002
AKs,call,0.9486
AKs,raise,0.0512
AQs,fold,0.0003
AQs,call,0.637
AQs,raise,0.3627
AJs,fold,0.0051
AJs,call,0.8714
AJs,raise,0.1235
ATs,fold,0.346
ATs,call,0.5929
ATs,raise,0.0612
A9s,fold,0.5952
A9s,call,0.4005
A9s,raise,0.0043
A8s,fold,0.9002
A8s,call,0.0965
A8s,raise,0.0033
A7s,fold,0.9229
A7s,call,0.0732
A7s,raise,0.0038
A6s,fold,0.9816
A6s,call,0.0134
A6s,raise,0.005
A5s,fold,0.9508
A5s,call,0.015
A5s,raise,0.0342
A4s,fold,0.7163
A4s,call,0.2836
A4s,raise,0.0001
A3s,fold,0.9617
A3s,call,0.0139
A3s,raise,0.0244
A2s,fold,0.8467
A2s,call,0.1515
A2s,raise,0.0017
AKo,call,0.5541
AKo,raise,0.4459
KK,call,0.3103
KK,raise,0.6897
KQs,call,0.9869
KQs,raise,0.0131
KJs,fold,0.648
KJs,call,0.3504
KJs,raise,0.0016
KTs,fold,0.6926
KTs,call,0.2447
KTs,raise,0.0627
K9s,fold,0.9481
K9s,call,0.0386
K9s,raise,0.0133
K8s,fold,0.9604
K8s,call,0.0382
K8s,raise,0.0014
K7s,fold,0.9727
K7s,call,0.026
K7s,raise,0.0013
K6s,fold,0.9856
K6s,call,0.0132
K6s,raise,0.0012
K5s,fold,0.9891
K5s,call,0.0109
K4s,fold,0.9988
K4s,call,0.0005
K4s,raise,0.0007
K3s,fold,0.9894
K3s,call,0.009
K3s,raise,0.0017
K2s,fold,0.9871
K2s,call,0.0023
K2s,raise,0.0105
AQo,call,0.526
AQo,raise,0.4739
KQo,fold,0.5667
KQo,call,0.4259
KQo,raise,0.0074
QQ,call,0.0016
QQ,raise,0.9984
QJs,fold,0.4826
QJs,call,0.4417
QJs,raise,0.0757
QTs,fold,0.7639
QTs,call,0.2243
QTs,raise,0.0119
Q9s,fold,0.809
Q9s,call,0.186
Q9s,raise,0.005
Q8s,fold,0.9512
Q8s,call,0.0438
Q8s,raise,0.0049
Q7s,fold,0.9957
Q7s,call,0.0005
Q7s,raise,0.0039
Q6s,fold,0.9682
Q6s,call,0.0033
Q6s,raise,0.0285
Q5s,fold,0.9985
Q5s,call,0.0013
Q5s,raise,0.0002
Q4s,fold,0.9848
Q4s,call,0.0006
Q4s,raise,0.0146
Q3s,fold,0.9999
Q3s,raise,0.0001
Q2s,fold,0.9973
Q2s,call,0.0026
AJo,fold,0.5556
AJo,call,0.4395
AJo,raise,0.0049
KJo,fold,0.976
KJo,call,0.007
KJo,raise,0.017
QJo,fold,0.9819
QJo,call,0.0181
JJ,call,0.6853
JJ,raise,0.3147
JTs,fold,0.9542
JTs,call,0.0427
JTs,raise,0.0031
J9s,fold,0.9002
J9s,call,0.0991
J9s,raise,0.0007
J8s,fold,0.7465
J8s,call,0.2489
J8s,raise,0.0046
J7s,fold,0.9074
J7s,call,0.088
J7s,raise,0.0046
J6s,fold,0.9899
J6s,call,0.0093
J6s,raise,0.0008
J5s,fold,0.9934
J5s,call,0.0057
J5s,raise,0.0009
J4s,fold,0.9993
J4s,call,0.0002
J4s,raise,0.0004
J3s,fold,0.9978
J3s,call,0.002
J3s,raise,0.0002
J2s,fold,0.9993
J2s,call,0.0007
ATo,fold,0.9087
ATo,call,0.0911
ATo,raise,0.0002
KTo,fold,0.9966
KTo,call,0.0032
KTo,raise,0.0002
QTo,fold,0.983
QTo,call,0.0154
QTo,raise,0.0017
JTo,fold,0.9879
JTo,call,0.0117
JTo,raise,0.0004
TT,call,0.6788
TT,raise,0.3212
T9s,fold,0.7966
T9s,call,0.1605
T9s,raise,0.0429
T8s,fold,0.9744
T8s,call,0.0256
T7s,fold,0.9619
T7s,call,0.0378
T7s,raise,0.0003
T6s,fold,0.9951
T6s,call,0.0009
T6s,raise,0.0039
T5s,fold,0.9928
T5s,call,0.0059
