# poker.academy CE-Symmetric — 100bb vs3bet | hero LJ vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.6981
55,fold,0.3019
66,call,1.0
77,call,0.8541
77,fold,0.1459
88,call,1.0
99,call,0.91
99,threeBet,0.09
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.728
A9s,threeBet,0.272
A8s,call,0.458
A8s,fold,0.2959
A8s,threeBet,0.2461
A7s,call,0.2374
A7s,fold,0.5191
A7s,threeBet,0.2435
A6s,call,0.6201
A6s,fold,0.3119
A6s,threeBet,0.068
A5s,call,0.8041
A5s,threeBet,0.1959
A4s,call,0.476
A4s,threeBet,0.524
A3s,call,0.016
A3s,fold,0.808
A3s,threeBet,0.176
AKo,call,0.284
AKo,threeBet,0.716
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,0.412
KTs,threeBet,0.588
K9s,call,0.5421
K9s,threeBet,0.4579
K6s,fold,0.856
K6s,threeBet,0.144
AQo,call,0.46
AQo,threeBet,0.54
KQo,call,0.214
KQo,fold,0.6721
KQo,threeBet,0.1139
QQ,call,0.202
QQ,threeBet,0.798
QJs,call,0.85
QJs,threeBet,0.15
QTs,call,0.76
QTs,threeBet,0.24
AJo,fold,0.9082
AJo,threeBet,0.0918
JJ,call,0.71
JJ,threeBet,0.29
JTs,call,0.8381
JTs,threeBet,0.1619
TT,call,0.6861
TT,threeBet,0.3139
T9s,call,0.668
T9s,fold,0.332
87s,call,0.8057
87s,fold,0.1943
76s,call,1.0
65s,call,1.0
54s,call,1.0
