# poker.academy CE-Symmetric — 100bb vs3bet | hero LJ vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.642
55,fold,0.358
66,call,0.9641
66,fold,0.0359
77,call,0.812
77,fold,0.188
88,call,0.8567
88,fold,0.0656
88,threeBet,0.0777
99,call,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.5119
ATs,threeBet,0.4881
A9s,call,0.726
A9s,fold,0.274
A8s,call,0.1477
A8s,fold,0.6629
A8s,threeBet,0.1894
A5s,call,0.3761
A5s,threeBet,0.6239
A4s,call,0.0058
A4s,fold,0.8022
A4s,threeBet,0.192
AKo,call,0.3619
AKo,threeBet,0.6381
KK,threeBet,1.0
KQs,call,1.0
KJs,call,0.0999
KJs,threeBet,0.9001
KTs,call,0.7341
KTs,threeBet,0.2659
K9s,fold,0.6021
K9s,threeBet,0.3979
K6s,fold,0.8701
K6s,threeBet,0.1299
AQo,call,0.4039
AQo,threeBet,0.5961
KQo,fold,0.898
KQo,threeBet,0.102
QQ,call,0.1839
QQ,threeBet,0.8161
QJs,call,0.5481
QJs,fold,0.32
QJs,threeBet,0.1319
QTs,call,0.8101
QTs,fold,0.1899
JJ,call,0.5641
JJ,threeBet,0.4359
JTs,call,0.91
JTs,threeBet,0.09
TT,call,0.69
TT,threeBet,0.31
T9s,call,0.7341
T9s,fold,0.2659
87s,call,0.3652
87s,fold,0.6348
76s,call,0.867
76s,fold,0.133
65s,call,1.0
54s,call,1.0
