# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 100bb: open 2.5bb + 1.0bb; BU 2.5bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: lj vsopen @ 100bb
# HRC node: id=17383, seat=2, sequence=RF
# Actions at node: ['fold', 'call', 'raise']
# VPIP estimate: 16.32%
notation,action,freq
AA,call,0.0001
AA,raise,0.9999
AKs,call,0.1193
AKs,raise,0.8807
AQs,fold,0.0002
AQs,call,0.835
AQs,raise,0.1648
AJs,fold,0.0013
AJs,call,0.7444
AJs,raise,0.2543
ATs,fold,0.0001
ATs,call,0.6572
ATs,raise,0.3427
A9s,fold,0.2204
A9s,call,0.0646
A9s,raise,0.7149
A8s,fold,0.9396
A8s,call,0.0084
A8s,raise,0.052
A7s,fold,0.8548
A7s,call,0.0761
A7s,raise,0.0691
A6s,fold,0.8785
A6s,call,0.1029
A6s,raise,0.0186
A5s,fold,0.6189
A5s,call,0.3558
A5s,raise,0.0253
A4s,fold,0.7814
A4s,call,0.2028
A4s,raise,0.0159
A3s,fold,0.6627
A3s,call,0.3158
A3s,raise,0.0215
A2s,fold,0.8648
A2s,call,0.1309
A2s,raise,0.0043
AKo,fold,0.0001
AKo,call,0.0048
AKo,raise,0.9952
KK,call,0.0003
KK,raise,0.9997
KQs,fold,0.0002
KQs,call,0.9361
KQs,raise,0.0637
KJs,fold,0.4231
KJs,call,0.0122
KJs,raise,0.5647
KTs,fold,0.0128
KTs,call,0.9767
KTs,raise,0.0105
K9s,fold,0.5481
K9s,call,0.4471
K9s,raise,0.0048
K8s,fold,0.7789
K8s,call,0.1652
K8s,raise,0.0559
K7s,fold,0.9609
K7s,call,0.0327
K7s,raise,0.0064
K6s,fold,0.9032
K6s,call,0.0966
K6s,raise,0.0002
K5s,fold,0.9115
K5s,call,0.081
K5s,raise,0.0075
K4s,fold,0.958
K4s,call,0.0389
K4s,raise,0.0031
K3s,fold,0.9426
K3s,call,0.0538
K3s,raise,0.0036
K2s,fold,0.9933
K2s,call,0.0064
