# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 100bb: open 2.5bb + 1.0bb; BU 2.5bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: sb vs3betjam @ 100bb
# HRC node: id=14, seat=6, sequence=FFFFFFRR
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 98.30%
notation,action,freq
AA,raise,0.0263
AA,jam,0.9737
AKs,raise,0.372
AKs,jam,0.628
AQs,fold,0.0016
AQs,call,0.7137
AQs,raise,0.199
AQs,jam,0.0858
AJs,fold,0.0107
AJs,call,0.8423
AJs,raise,0.1364
AJs,jam,0.0107
ATs,fold,0.0128
ATs,call,0.8971
ATs,raise,0.0846
ATs,jam,0.0055
A9s,fold,0.0192
A9s,call,0.9687
A9s,raise,0.0041
A9s,jam,0.008
A8s,fold,0.0041
A8s,call,0.9932
A8s,raise,0.0003
A8s,jam,0.0023
A7s,fold,0.0393
A7s,call,0.8904
A7s,raise,0.0094
A7s,jam,0.0609
A6s,fold,0.0031
A6s,call,0.6441
A6s,raise,0.0004
A6s,jam,0.3524
A5s,fold,0.0078
A5s,call,0.9915
A5s,raise,0.0003
A5s,jam,0.0005
A4s,fold,0.0075
A4s,call,0.6043
A4s,raise,0.0001
A4s,jam,0.388
A3s,fold,0.0096
A3s,call,0.987
A3s,raise,0.0001
A3s,jam,0.0033
A2s,fold,0.0016
A2s,call,0.9983
A2s,jam,0.0001
AKo,call,0.0001
AKo,raise,0.1566
AKo,jam,0.8433
KK,fold,0.0001
KK,call,0.0001
KK,raise,0.1325
KK,jam,0.8673
KQs,fold,0.0021
KQs,call,0.9976
KQs,raise,0.0001
KQs,jam,0.0002
KJs,fold,0.0368
KJs,call,0.9548
KJs,raise,0.0014
KJs,jam,0.0069
KTs,fold,0.006
KTs,call,0.9936
KTs,raise,0.0002
KTs,jam,0.0002
K9s,fold,0.0125
K9s,call,0.985
K9s,raise,0.0005
K9s,jam,0.002
K8s,fold,0.0042
K8s,call,0.9955
K8s,jam,0.0003
K7s,fold,0.0236
K7s,call,0.9736
K7s,jam,0.0029
K6s,fold,0.0376
K6s,call,0.9609
K6s,raise,0.0013
K6s,jam,0.0002
K5s,fold,0.0219
K5s,call,0.9757
K5s,raise,0.002
K5s,jam,0.0004
K4s,fold,0.0026
K4s,call,0.9972
K4s,raise,0.0001
K4s,jam,0.0001
K3s,fold,0.2227
K3s,call,0.7741
K3s,raise,0.0002
K3s,jam,0.003
K2s,fold,0.0094
K2s,call,0.9904
K2s,jam,0.0002
AQo,call,0.9667
AQo,raise,0.0231
AQo,jam,0.0102
KQo,fold,0.0022
KQo,call,0.9962
KQo,raise,0.0006
KQo,jam,0.001
QQ,raise,0.6641
QQ,jam,0.3358
QJs,fold,0.016
QJs,call,0.9719
QJs,raise,0.001
QJs,jam,0.011
QTs,fold,0.0073
QTs,call,0.988
QTs,raise,0.0002
QTs,jam,0.0046
Q9s,fold,0.0065
Q9s,call,0.9935
Q8s,fold,0.0039
Q8s,call,0.9956
Q8s,jam,0.0006
Q7s,fold,0.1881
Q7s,call,0.8092
Q7s,raise,0.0003
Q7s,jam,0.0024
Q6s,fold,0.0427
Q6s,call,0.9546
Q6s,raise,0.0018
Q6s,jam,0.001
Q5s,fold,0.0064
Q5s,call,0.9936
Q5s,jam,0.0001
Q4s,fold,0.0403
Q4s,call,0.9584
Q4s,raise,0.0008
Q4s,jam,0.0004
Q3s,fold,0.0192
Q3s,call,0.9795
Q3s,raise,0.0011
Q3s,jam,0.0003
Q2s,fold,0.0978
Q2s,call,0.9014
Q2s,jam,0.0007
AJo,fold,0.0035
AJo,call,0.9927
AJo,raise,0.0022
AJo,jam,0.0015
KJo,fold,0.0038
KJo,call,0.994
KJo,raise,0.0018
KJo,jam,0.0004
QJo,fold,0.001
QJo,call,0.999
JJ,fold,0.0038
JJ,call,0.0493
JJ,raise,0.041
JJ,jam,0.9059
JTs,fold,0.0027
JTs,call,0.9967
JTs,jam,0.0006
J9s,fold,0.0163
J9s,call,0.9777
J9s,raise,0.0018
J9s,jam,0.0042
J8s,fold,0.0634
J8s,call,0.9362
J8s,jam,0.0004
J7s,fold,0.3518
J7s,call,0.6475
J7s,raise,0.0004
J7s,jam,0.0003
J6s,fold,0.0061
J6s,call,0.9925
J6s,raise,0.0002
J6s,jam,0.0012
J5s,fold,0.0012
J5s,call,0.9987
J5s,jam,0.0001
J4s,fold,0.0235
J4s,call,0.9764
J4s,jam,0.0001
J3s,fold,0.2654
J3s,call,0.7333
J3s,raise,0.001
J3s,jam,0.0003
J2s,fold,0.0165
J2s,call,0.9834
ATo,fold,0.0035
ATo,call,0.9905
ATo,raise,0.0018
ATo,jam,0.0042
KTo,fold,0.0011
KTo,call,0.9985
KTo,jam,0.0004
QTo,fold,0.0011
QTo,call,0.9985
QTo,raise,0.0002
QTo,jam,0.0002
JTo,fold,0.0041
JTo,call,0.9917
JTo,raise,0.0016
JTo,jam,0.0027
TT,fold,0.0049
TT,call,0.7633
TT,raise,0.104
TT,jam,0.1278
T9s,fold,0.0127
T9s,call,0.9873
T8s,fold,0.0107
T8s,call,0.9893
T7s,fold,0.0193
T7s,call,0.9803
T7s,raise,0.0003
T7s,jam,0.0001
T6s,fold,0.0365
T6s,call,0.9633
T6s,raise,0.0001
T6s,jam,0.0002
T4s,fold,0.8199
T4s,call,0.1796
T4s,raise,0.0003
T4s,jam,0.0002
T3s,fold,0.1082
T3s,call,0.8914
T3s,raise,0.0004
T2s,fold,0.8374
T2s,call,0.1621
T2s,jam,0.0005
A9o,fold,0.0025
A9o,call,0.9916
A9o,raise,0.0008
A9o,jam,0.0051
K9o,fold,0.0046
K9o,call,0.9951
K9o,jam,0.0004
Q9o,fold,0.0089
Q9o,call,0.9884
Q9o,raise,0.0002
Q9o,jam,0.0025
J9o,fold,0.0005
J9o,call,0.9994
T9o,fold,0.0278
T9o,call,0.9719
T9o,raise,0.0001
T9o,jam,0.0002
99,call,0.9247
99,raise,0.0533
99,jam,0.0221
98s,fold,0.0225
98s,call,0.7166
98s,jam,0.2609
97s,fold,0.0222
97s,call,0.7585
97s,raise,0.0002
97s,jam,0.2192
96s,fold,0.0127
96s,call,0.9864
96s,raise,0.0002
96s,jam,0.0007
95s,fold,0.1384
95s,call,0.8515
95s,raise,0.0003
95s,jam,0.0098
94s,fold,0.3068
94s,call,0.6876
94s,raise,0.003
94s,jam,0.0026
93s,fold,0.192
93s,call,0.8069
93s,raise,0.0008
93s,jam,0.0003
92s,fold,0.6375
92s,call,0.3613
92s,raise,0.0004
92s,jam,0.0008
A8o,call,0.9965
A8o,raise,0.0003
A8o,jam,0.0032
K8o,fold,0.0208
K8o,call,0.9787
K8o,raise,0.0005
Q8o,fold,0.0105
Q8o,call,0.9894
Q8o,raise,0.0001
Q8o,jam,0.0001
J8o,fold,0.0014
J8o,call,0.9986
T8o,fold,0.0233
T8o,call,0.9767
88,fold,0.0118
88,call,0.9772
88,raise,0.0058
88,jam,0.0051
87s,fold,0.0118
87s,call,0.9875
87s,raise,0.0006
86s,fold,0.1481
86s,call,0.8516
86s,jam,0.0003
85s,fold,0.0177
85s,call,0.9811
85s,raise,0.0001
85s,jam,0.0011
A7o,fold,0.0003
A7o,call,0.9995
A7o,jam,0.0002
K7o,fold,0.0009
K7o,call,0.9987
K7o,raise,0.0001
K7o,jam,0.0003
Q7o,fold,0.3645
Q7o,call,0.6353
Q7o,raise,0.0001
J7o,fold,0.3496
J7o,call,0.6504
T7o,fold,0.0987
T7o,call,0.9012
T7o,raise,0.0001
87o,fold,0.0119
87o,call,0.9881
77,fold,0.0076
77,call,0.9877
77,raise,0.0017
77,jam,0.0029
76s,fold,0.0023
76s,call,0.9977
76s,jam,0.0001
75s,fold,0.1009
75s,call,0.8189
75s,jam,0.0802
73s,fold,0.4209
73s,call,0.4684
73s,raise,0.0067
73s,jam,0.104
72s,fold,0.3251
72s,call,0.6748
72s,jam,0.0001
A6o,fold,0.0002
A6o,call,0.9997
A6o,jam,0.0001
K6o,fold,0.0009
K6o,call,0.9991
Q6o,fold,0.16
Q6o,call,0.8394
Q6o,jam,0.0007
J6o,fold,0.4994
J6o,call,0.5006
86o,fold,0.5243
86o,call,0.4748
86o,jam,0.0009
76o,fold,0.6702
76o,call,0.3297
76o,raise,0.0001
66,fold,0.0055
66,call,0.9875
66,raise,0.0063
66,jam,0.0008
65s,fold,0.2753
65s,call,0.7246
64s,fold,0.1404
64s,call,0.8589
64s,raise,0.0004
64s,jam,0.0003
63s,fold,0.0344
63s,call,0.9646
63s,raise,0.0001
63s,jam,0.0009
62s,fold,0.6357
62s,call,0.3643
62s,raise,0.0001
A5o,fold,0.0036
A5o,call,0.9953
A5o,raise,0.0005
A5o,jam,0.0006
K5o,fold,0.0008
K5o,call,0.9991
Q5o,fold,0.0511
Q5o,call,0.9486
Q5o,jam,0.0003
T5o,fold,0.0475
T5o,call,0.9525
95o,fold,0.8464
95o,call,0.1536
75o,fold,0.1954
75o,call,0.8045
55,fold,0.0038
55,call,0.991
55,raise,0.0018
55,jam,0.0034
54s,fold,0.3566
54s,call,0.6433
54s,raise,0.0001
54s,jam,0.0001
53s,fold,0.0116
53s,call,0.9883
53s,jam,0.0001
52s,fold,0.249
52s,call,0.7489
52s,raise,0.0001
52s,jam,0.0019
A4o,fold,0.0019
A4o,call,0.9975
A4o,raise,0.0004
A4o,jam,0.0002
K4o,fold,0.0025
K4o,call,0.9975
J4o,fold,0.0318
J4o,call,0.9681
J4o,jam,0.0001
94o,fold,0.8205
94o,call,0.1794
84o,fold,0.9685
84o,call,0.031
84o,jam,0.0005
74o,fold,0.3511
74o,call,0.6489
64o,fold,0.616
64o,call,0.3839
64o,jam,0.0001
44,fold,0.002
44,call,0.9977
44,raise,0.0001
44,jam,0.0002
43s,fold,0.1188
43s,call,0.8798
43s,raise,0.0012
43s,jam,0.0001
42s,fold,0.1581
42s,call,0.8413
42s,raise,0.0001
42s,jam,0.0006
A3o,fold,0.0023
A3o,call,0.9976
A3o,raise,0.0001
A3o,jam,0.0001
K3o,fold,0.1641
K3o,call,0.8355
K3o,raise,0.0001
K3o,jam,0.0003
J3o,fold,0.6116
J3o,call,0.3879
J3o,jam,0.0004
T3o,fold,0.951
T3o,call,0.0488
T3o,jam,0.0001
73o,fold,0.87
73o,call,0.13
33,fold,0.0023
33,call,0.9909
33,raise,0.0001
33,jam,0.0067
A2o,fold,0.002
A2o,call,0.9972
A2o,jam,0.0009
Q2o,fold,0.5734
Q2o,call,0.4261
Q2o,raise,0.0004
Q2o,jam,0.0001
J2o,fold,0.7011
J2o,call,0.2988
92o,fold,0.9964
92o,call,0.0036
22,fold,0.0116
22,call,0.9866
22,raise,0.0012
22,jam,0.0006
