# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 100bb: open 2.5bb + 1.0bb; BU 2.5bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: sb vsopen @ 100bb
# HRC node: id=17387, seat=6, sequence=RFFFFF
# Actions at node: ['fold', 'call', 'raise']
# VPIP estimate: 28.16%
notation,action,freq
AA,raise,1.0
AKs,call,0.3124
AKs,raise,0.6876
AQs,fold,0.0006
AQs,call,0.9207
AQs,raise,0.0787
AJs,fold,0.1054
AJs,call,0.8578
AJs,raise,0.0368
ATs,fold,0.0414
ATs,call,0.9063
ATs,raise,0.0522
A9s,fold,0.3532
A9s,call,0.6465
A9s,raise,0.0003
A8s,fold,0.1211
A8s,call,0.8626
A8s,raise,0.0164
A7s,fold,0.0944
A7s,call,0.9006
A7s,raise,0.005
A6s,fold,0.6093
A6s,call,0.3793
A6s,raise,0.0114
A5s,fold,0.0012
A5s,call,0.9987
A5s,raise,0.0001
A4s,fold,0.5538
A4s,call,0.4452
A4s,raise,0.001
A3s,fold,0.5571
A3s,call,0.4345
A3s,raise,0.0084
A2s,fold,0.5009
A2s,call,0.499
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.1613
KQs,call,0.8369
KQs,raise,0.0018
KJs,fold,0.0126
KJs,call,0.9383
KJs,raise,0.0491
KTs,fold,0.0173
KTs,call,0.9821
KTs,raise,0.0005
K9s,fold,0.9823
K9s,call,0.0177
K8s,fold,0.5294
K8s,call,0.4316
K8s,raise,0.039
K7s,fold,0.7671
K7s,call,0.2329
K6s,fold,0.0603
K6s,call,0.9394
K6s,raise,0.0002
K5s,fold,0.9975
K5s,call,0.002
K5s,raise,0.0005
K4s,fold,0.3299
K4s,call,0.67
K4s,raise,0.0001
K3s,fold,0.5505
K3s,call,0.4494
K3s,raise,0.0001
K2s,fold,0.9987
K2s,call,0.0013
AQo,call,0.0251
AQo,raise,0.9748
KQo,fold,0.1334
KQo,call,0.8657
KQo,raise,0.001
QQ,call,0.0028
QQ,raise,0.9972
QJs,fold,0.2652
QJs,call,0.7243
QJs,raise,0.0105
QTs,fold,0.3988
QTs,call,0.5991
QTs,raise,0.0021
Q9s,fold,0.2268
Q9s,call,0.7728
Q9s,raise,0.0004
Q8s,fold,0.1214
Q8s,call,0.8785
Q8s,raise,0.0001
Q7s,fold,0.9899
Q7s,call,0.0101
Q6s,fold,0.972
Q6s,call,0.0275
Q6s,raise,0.0005
Q5s,fold,0.9382
Q5s,call,0.0614
Q5s,raise,0.0004
Q4s,fold,0.9536
Q4s,call,0.0462
Q4s,raise,0.0002
Q3s,fold,0.9939
Q3s,call,0.0061
Q2s,fold,0.8546
Q2s,call,0.1447
Q2s,raise,0.0008
AJo,fold,0.0007
AJo,call,0.9986
AJo,raise,0.0007
KJo,fold,0.4546
KJo,call,0.5446
KJo,raise,0.0008
QJo,fold,0.1124
QJo,call,0.8876
QJo,raise,0.0001
JJ,call,0.8697
JJ,raise,0.1303
JTs,fold,0.7565
JTs,call,0.2434
JTs,raise,0.0002
J9s,fold,0.4211
J9s,call,0.5733
J9s,raise,0.0057
J8s,fold,0.356
J8s,call,0.644
J8s,raise,0.0001
J7s,fold,0.9009
J7s,call,0.0991
J6s,fold,0.9973
J6s,call,0.0024
J6s,raise,0.0003
J5s,fold,0.9335
J5s,call,0.0659
J5s,raise,0.0006
J4s,fold,0.8875
