# poker.academy CE-Symmetric — 100bb vsopen | hero SB vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,0.5961
66,threeBet,0.4039
77,call,0.3979
77,threeBet,0.6021
88,call,0.5581
88,threeBet,0.4419
99,call,0.6021
99,threeBet,0.3979
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,threeBet,1.0
ATs,call,0.3079
ATs,threeBet,0.6921
A9s,call,0.2379
A9s,threeBet,0.7621
A8s,call,0.0758
A8s,threeBet,0.9242
A7s,call,0.322
A7s,threeBet,0.678
A6s,call,0.8062
A6s,threeBet,0.1938
A5s,threeBet,1.0
A4s,call,0.176
A4s,threeBet,0.824
A3s,call,0.9801
A3s,threeBet,0.0199
A2s,call,1.0
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,threeBet,1.0
KJs,threeBet,1.0
KTs,call,0.17
KTs,threeBet,0.83
K9s,threeBet,1.0
K8s,call,0.9921
K8s,threeBet,0.0079
K7s,call,1.0
K6s,threeBet,1.0
K5s,call,0.8001
K5s,threeBet,0.1999
K4s,call,1.0
K3s,call,1.0
AQo,call,0.6881
AQo,threeBet,0.3119
KQo,call,0.166
KQo,threeBet,0.834
QQ,threeBet,1.0
QJs,call,0.0879
QJs,threeBet,0.9121
QTs,call,0.122
QTs,threeBet,0.878
Q9s,call,0.058
Q9s,threeBet,0.942
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,0.386
Q5s,fold,0.614
AJo,call,0.38
AJo,threeBet,0.62
KJo,call,0.4899
KJo,threeBet,0.5101
QJo,call,0.716
QJo,threeBet,0.284
JJ,threeBet,1.0
JTs,call,0.144
JTs,threeBet,0.856
J9s,call,0.218
J9s,threeBet,0.782
J8s,call,0.69
J8s,threeBet,0.31
J7s,call,1.0
ATo,call,0.1519
ATo,threeBet,0.8481
KTo,call,0.694
KTo,threeBet,0.306
QTo,call,0.7521
QTo,threeBet,0.2479
JTo,call,0.678
JTo,threeBet,0.322
TT,call,0.3139
TT,threeBet,0.6861
T9s,threeBet,1.0
T8s,call,0.096
T8s,threeBet,0.904
T7s,call,0.46
T7s,threeBet,0.54
A9o,call,1.0
K9o,call,0.598
K9o,fold,0.402
T9o,call,0.32
T9o,fold,0.68
98s,call,0.3879
98s,threeBet,0.6121
97s,call,0.722
97s,threeBet,0.278
A8o,call,1.0
87s,call,0.46
87s,threeBet,0.54
86s,call,0.6721
86s,threeBet,0.3279
76s,call,0.1899
76s,threeBet,0.8101
65s,call,0.562
65s,threeBet,0.438
54s,call,0.5641
54s,threeBet,0.4359
