# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 100bb: open 2.5bb + 1.0bb; BU 2.5bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: utg1 vs3bet @ 100bb
# HRC node: id=15285, seat=1, sequence=FRRFFFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 97.87%
notation,action,freq
AA,raise,0.3606
AA,jam,0.6394
AKs,fold,0.0015
AKs,call,0.634
AKs,raise,0.1713
AKs,jam,0.1932
AQs,fold,0.021
AQs,call,0.8106
AQs,raise,0.1575
AQs,jam,0.0109
AJs,fold,0.035
AJs,call,0.9405
AJs,raise,0.0194
AJs,jam,0.0052
ATs,fold,0.034
ATs,call,0.9316
ATs,raise,0.0179
ATs,jam,0.0166
A9s,fold,0.0386
A9s,call,0.9201
A9s,raise,0.0289
A9s,jam,0.0123
A8s,fold,0.0183
A8s,call,0.9749
A8s,raise,0.0063
A8s,jam,0.0005
A7s,fold,0.0425
A7s,call,0.4026
A7s,raise,0.0365
A7s,jam,0.5184
A6s,fold,0.3311
A6s,call,0.53
A6s,raise,0.0018
A6s,jam,0.137
A5s,fold,0.0479
A5s,call,0.7073
A5s,raise,0.2161
A5s,jam,0.0287
A4s,fold,0.2286
A4s,call,0.6222
A4s,raise,0.0367
A4s,jam,0.1126
A3s,fold,0.2732
A3s,call,0.6336
A3s,jam,0.0931
A2s,fold,0.2568
A2s,call,0.4469
A2s,raise,0.0956
A2s,jam,0.2007
AKo,fold,0.0002
AKo,call,0.9923
AKo,jam,0.0075
KK,call,0.5006
KK,raise,0.0874
KK,jam,0.412
KQs,fold,0.0083
KQs,call,0.9767
KQs,raise,0.0004
KQs,jam,0.0145
KJs,fold,0.0544
KJs,call,0.9315
KJs,raise,0.0062
KJs,jam,0.0079
KTs,fold,0.0045
KTs,call,0.9932
KTs,raise,0.0017
KTs,jam,0.0006
K9s,fold,0.57
K9s,call,0.4287
K9s,raise,0.0002
K9s,jam,0.0011
K8s,fold,0.3111
K8s,call,0.6531
K8s,jam,0.0357
K7s,fold,0.0921
K7s,call,0.9057
K7s,raise,0.0002
