# Generated by hrc_import.py --canonical-8max from From Hand 1.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: ['2.1bb', '3.0x, all-in', 'all-in', 'all-in']
# App slot: utg1 vsopen @ 100bb
# HRC node: id=14103, seat=1, sequence=R
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 17.23%
notation,action,freq
AA,call,0.0204
AA,raise,0.8802
AA,jam,0.0994
AKs,call,0.8705
AKs,raise,0.0168
AKs,jam,0.1127
AQs,call,0.6666
AQs,raise,0.2926
AQs,jam,0.0408
AJs,fold,0.0003
AJs,call,0.778
AJs,raise,0.2168
AJs,jam,0.0049
ATs,call,0.9788
ATs,raise,0.0152
ATs,jam,0.0061
A9s,fold,0.2564
A9s,call,0.6746
A9s,raise,0.0611
A9s,jam,0.0079
A8s,fold,0.2258
A8s,call,0.7273
A8s,raise,0.0431
A8s,jam,0.0038
A7s,fold,0.0027
A7s,call,0.9467
A7s,raise,0.0461
A7s,jam,0.0045
A6s,fold,0.8838
A6s,call,0.1095
A6s,raise,0.0053
A6s,jam,0.0014
A5s,fold,0.7288
A5s,call,0.2169
A5s,raise,0.046
A5s,jam,0.0083
A4s,fold,0.8924
A4s,call,0.0722
A4s,raise,0.0354
A3s,fold,0.8907
A3s,call,0.0456
A3s,raise,0.0466
A3s,jam,0.0171
A2s,fold,0.8432
A2s,call,0.1489
A2s,raise,0.006
A2s,jam,0.0019
AKo,call,0.0026
AKo,raise,0.6454
AKo,jam,0.352
KK,call,0.5485
KK,raise,0.2823
KK,jam,0.1692
KQs,fold,0.0002
KQs,call,0.8923
KQs,raise,0.0773
KQs,jam,0.0301
KJs,fold,0.1136
KJs,call,0.8684
KJs,raise,0.0112
KJs,jam,0.0068
KTs,fold,0.3379
KTs,call,0.493
KTs,raise,0.1647
KTs,jam,0.0044
K9s,fold,0.9096
K9s,call,0.075
K9s,raise,0.0089
K9s,jam,0.0065
K8s,fold,0.6448
K8s,call,0.3422
K8s,raise,0.0095
K8s,jam,0.0035
K7s,fold,0.9068
K7s,call,0.0638
K7s,raise,0.0045
K7s,jam,0.0249
K6s,fold,0.9382
K6s,call,0.0469
K6s,raise,0.0147
K6s,jam,0.0002
K5s,fold,0.9807
K5s,call,0.0101
K5s,raise,0.0073
K5s,jam,0.002
K4s,fold,0.9591
K4s,call,0.0382
K4s,raise,0.0027
K3s,fold,0.8912
K3s,call,0.089
K3s,raise,0.0147
K3s,jam,0.0051
K2s,fold,0.9951
K2s,call,0.001
K2s,jam,0.0038
AQo,call,0.4181
AQo,raise,0.5579
AQo,jam,0.024
KQo,fold,0.0151
KQo,call,0.9792
KQo,raise,0.0026
KQo,jam,0.0031
QQ,call,0.0084
QQ,raise,0.2344
QQ,jam,0.7572
QJs,fold,0.0461
QJs,call,0.9481
QJs,raise,0.0001
QJs,jam,0.0057
QTs,fold,0.6306
QTs,call,0.2106
QTs,raise,0.1586
QTs,jam,0.0002
Q9s,fold,0.8651
Q9s,call,0.0145
Q9s,raise,0.12
Q9s,jam,0.0003
Q8s,fold,0.9767
Q8s,call,0.0188
Q8s,raise,0.0001
Q8s,jam,0.0043
Q7s,fold,0.9314
Q7s,call,0.0684
Q7s,raise,0.0001
Q7s,jam,0.0001
Q6s,fold,0.9944
Q6s,raise,0.0009
Q6s,jam,0.0046
Q5s,fold,0.9258
Q5s,call,0.0719
Q5s,raise,0.0023
Q5s,jam,0.0001
Q4s,fold,0.9654
Q4s,call,0.0058
Q4s,raise,0.0285
Q4s,jam,0.0004
Q3s,fold,0.9842
Q3s,call,0.0124
Q3s,raise,0.002
Q3s,jam,0.0014
Q2s,fold,0.9992
Q2s,call,0.0004
Q2s,raise,0.0003
Q2s,jam,0.0002
AJo,call,0.9211
AJo,raise,0.0672
AJo,jam,0.0117
KJo,fold,0.6976
KJo,call,0.2977
KJo,raise,0.0028
KJo,jam,0.0019
QJo,fold,0.7512
QJo,call,0.2367
QJo,raise,0.0087
QJo,jam,0.0034
JJ,call,0.0988
JJ,raise,0.8504
JJ,jam,0.0508
JTs,fold,0.5344
JTs,call,0.3614
JTs,raise,0.0374
JTs,jam,0.0668
J9s,fold,0.5689
J9s,call,0.4288
J9s,raise,0.0022
J9s,jam,0.0001
J8s,fold,0.9834
J8s,call,0.0143
J8s,raise,0.0004
J8s,jam,0.0018
J7s,fold,0.9622
J7s,call,0.0278
J7s,raise,0.009
J7s,jam,0.0011
J6s,fold,0.976
J6s,call,0.0233
J6s,raise,0.0003
J6s,jam,0.0004
J5s,fold,0.9917
J5s,call,0.0013
J5s,raise,0.006
J5s,jam,0.001
J4s,fold,0.9959
J4s,call,0.0005
J4s,raise,0.0035
J4s,jam,0.0001
J3s,fold,0.998
J3s,call,0.0013
J3s,raise,0.0006
J3s,jam,0.0001
J2s,fold,0.9992
J2s,raise,0.0007
ATo,fold,0.6734
ATo,call,0.2612
ATo,raise,0.0648
ATo,jam,0.0006
KTo,fold,0.8923
KTo,call,0.1008
KTo,raise,0.0044
KTo,jam,0.0025
QTo,fold,0.9873
QTo,call,0.0019
QTo,raise,0.0104
QTo,jam,0.0004
JTo,fold,0.969
JTo,call,0.03
JTo,raise,0.0003
JTo,jam,0.0007
TT,call,0.9884
TT,raise,0.0027
TT,jam,0.009
T9s,fold,0.7564
T9s,call,0.061
T9s,raise,0.1523
T9s,jam,0.0303
T8s,fold,0.4231
T8s,call,0.5356
T8s,raise,0.0411
T8s,jam,0.0002
T7s,fold,0.9911
T7s,call,0.0068
T7s,raise,0.0011
T7s,jam,0.001
T6s,fold,0.9755
T6s,call,0.0241
T6s,raise,0.0002
T6s,jam,0.0003
T5s,fold,0.9941
T5s,raise,0.0058
T5s,jam,0.0001
T4s,fold,0.9993
T4s,raise,0.0007
T3s,fold,0.9871
T3s,call,0.0046
