# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb (2000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.5bb + 1.0bb', 'SIZES_OPEN_BU': '2.5bb + 1.0bb', 'SIZES_OPEN_SB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: utg unopened @ 100bb
# HRC node: id=0, seat=0, sequence=root
# Actions at node: ['fold', 'raise']
# VPIP estimate: 15.13%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,raise,1.0
A8s,fold,0.9462
A8s,raise,0.0538
A7s,fold,0.8173
A7s,raise,0.1827
A6s,fold,0.5989
A6s,raise,0.4011
A5s,fold,0.8718
A5s,raise,0.1282
A4s,fold,0.9709
A4s,raise,0.0291
A3s,fold,0.9709
A3s,raise,0.0291
A2s,fold,0.989
A2s,raise,0.011
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,fold,0.0188
KJs,raise,0.9812
KTs,raise,1.0
K9s,fold,0.5329
K9s,raise,0.4671
K8s,fold,0.9717
K8s,raise,0.0283
K7s,fold,0.9575
K7s,raise,0.0425
K6s,fold,0.9951
K6s,raise,0.0049
K5s,fold,0.996
K5s,raise,0.004
K4s,fold,0.9992
K4s,raise,0.0008
K3s,fold,0.9993
K3s,raise,0.0007
K2s,fold,0.9997
K2s,raise,0.0003
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,fold,0.0471
QJs,raise,0.9529
QTs,fold,0.8281
QTs,raise,0.1719
Q9s,fold,0.988
Q9s,raise,0.012
Q8s,fold,0.995
Q8s,raise,0.005
Q7s,fold,0.9995
Q7s,raise,0.0005
Q6s,fold,0.9987
Q6s,raise,0.0013
Q5s,fold,0.9983
Q5s,raise,0.0017
Q4s,fold,0.9973
Q4s,raise,0.0027
Q3s,fold,1.0
Q2s,fold,1.0
AJo,raise,1.0
KJo,fold,0.7511
KJo,raise,0.2489
QJo,fold,0.9519
QJo,raise,0.0481
JJ,raise,1.0
JTs,fold,0.7629
JTs,raise,0.2371
J9s,fold,0.9659
J9s,raise,0.0341
J8s,fold,0.9994
J8s,raise,0.0006
J7s,fold,0.9995
J7s,raise,0.0005
J6s,fold,0.9994
J6s,raise,0.0006
J5s,fold,1.0
J4s,fold,1.0
J3s,fold,0.9998
J3s,raise,0.0002
J2s,fold,0.9991
J2s,raise,0.0009
ATo,raise,1.0
KTo,fold,0.9553
KTo,raise,0.0447
QTo,fold,0.9874
QTo,raise,0.0126
JTo,fold,0.995
JTo,raise,0.005
TT,raise,1.0
T9s,fold,0.9917
T9s,raise,0.0083
T8s,fold,0.9978
T8s,raise,0.0022
T7s,fold,0.9979
T7s,raise,0.0021
T6s,fold,1.0
T5s,fold,1.0
T4s,fold,1.0
T3s,fold,0.9999
T3s,raise,0.0001
T2s,fold,0.9999
T2s,raise,0.0001
A9o,fold,0.7275
A9o,raise,0.2725
K9o,fold,0.998
K9o,raise,0.002
Q9o,fold,0.9992
Q9o,raise,0.0008
J9o,fold,0.9976
J9o,raise,0.0024
T9o,fold,0.9999
T9o,raise,0.0001
99,raise,1.0
98s,fold,0.9984
98s,raise,0.0016
97s,fold,0.9999
97s,raise,0.0001
96s,fold,0.9999
96s,raise,0.0001
95s,fold,1.0
94s,fold,1.0
93s,fold,0.9996
93s,raise,0.0004
92s,fold,0.9999
92s,raise,0.0001
A8o,fold,0.9909
A8o,raise,0.0091
K8o,fold,0.9995
K8o,raise,0.0005
Q8o,fold,1.0
J8o,fold,0.9999
J8o,raise,0.0001
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,0.9986
87s,raise,0.0014
86s,fold,0.9997
86s,raise,0.0003
85s,fold,1.0
84s,fold,0.9998
84s,raise,0.0002
83s,fold,1.0
82s,fold,1.0
A7o,fold,0.9893
A7o,raise,0.0107
K7o,fold,0.9989
K7o,raise,0.0011
Q7o,fold,0.9999
Q7o,raise,0.0001
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,0.9999
