# poker.academy CE-Symmetric — 10bb unopened | CO first-in
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 10bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,jam,0.984
22,raise,0.016
33,jam,0.9601
33,raise,0.0399
44,jam,1.0
55,jam,1.0
66,jam,1.0
77,jam,1.0
88,jam,1.0
99,jam,1.0
AA,jam,0.61
AA,raise,0.39
AKs,jam,1.0
AQs,jam,1.0
AJs,jam,1.0
ATs,jam,1.0
A9s,jam,1.0
A8s,jam,1.0
A7s,jam,1.0
A6s,jam,1.0
A5s,jam,1.0
A4s,jam,1.0
A3s,jam,1.0
A2s,jam,1.0
AKo,jam,1.0
KK,jam,1.0
KQs,jam,1.0
KJs,jam,1.0
KTs,jam,1.0
K9s,jam,1.0
K8s,jam,1.0
K7s,jam,1.0
K6s,jam,1.0
K5s,fold,0.8342
K5s,raise,0.1658
AQo,jam,1.0
KQo,jam,1.0
QQ,jam,1.0
QJs,jam,0.7046
QJs,raise,0.2954
QTs,jam,1.0
Q9s,jam,1.0
Q8s,jam,0.8801
Q8s,raise,0.1199
Q7s,fold,0.9302
Q7s,raise,0.0698
Q6s,fold,0.9541
Q6s,raise,0.0459
AJo,jam,1.0
KJo,jam,1.0
QJo,jam,1.0
JJ,jam,0.974
JJ,raise,0.026
JTs,jam,1.0
J9s,jam,1.0
J8s,jam,0.9801
J8s,raise,0.0199
J7s,fold,0.9042
J7s,raise,0.0958
ATo,jam,1.0
KTo,jam,1.0
QTo,jam,0.99
QTo,raise,0.01
JTo,jam,0.9443
JTo,raise,0.0557
TT,jam,0.83
TT,raise,0.17
T9s,jam,1.0
T8s,jam,1.0
T7s,fold,0.9541
T7s,raise,0.0459
A9o,jam,0.9641
A9o,raise,0.0359
K9o,fold,0.84
K9o,raise,0.16
98s,jam,1.0
A8o,jam,0.92
A8o,raise,0.08
87s,jam,1.0
A7o,jam,0.984
A7o,raise,0.016
A6o,jam,1.0
A5o,jam,1.0
A4o,jam,1.0
A3o,jam,1.0
A2o,jam,0.9302
A2o,raise,0.0698
