# poker.academy CE-Symmetric — 15bb unopened | BTN first-in
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 15bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,jam,1.0
33,jam,1.0
44,jam,1.0
55,jam,1.0
66,jam,1.0
77,raise,1.0
88,raise,1.0
99,raise,1.0
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,jam,0.475
A9s,raise,0.525
A8s,jam,0.615
A8s,raise,0.385
A7s,jam,0.5
A7s,raise,0.5
A6s,jam,0.535
A6s,raise,0.465
A5s,jam,1.0
A4s,jam,1.0
A3s,jam,1.0
A2s,jam,1.0
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,raise,1.0
KTs,raise,1.0
K9s,jam,1.0
K8s,raise,1.0
K7s,raise,1.0
K6s,raise,1.0
K5s,raise,1.0
K4s,raise,1.0
K3s,fold,0.245
K3s,raise,0.755
AQo,jam,0.8201
AQo,raise,0.1799
KQo,jam,1.0
QQ,raise,1.0
QJs,raise,1.0
QTs,jam,0.7151
QTs,raise,0.2849
Q9s,jam,1.0
Q8s,raise,1.0
Q7s,raise,1.0
Q6s,raise,1.0
Q5s,raise,1.0
AJo,jam,1.0
KJo,jam,1.0
QJo,jam,1.0
JJ,raise,1.0
JTs,jam,1.0
J9s,jam,1.0
J8s,raise,1.0
J7s,raise,1.0
J6s,fold,0.835
J6s,raise,0.165
ATo,jam,1.0
KTo,jam,0.7301
KTo,raise,0.2699
QTo,jam,0.1749
QTo,raise,0.8251
JTo,jam,0.7
JTo,raise,0.3
TT,raise,1.0
T9s,jam,1.0
T8s,raise,1.0
T7s,raise,1.0
A9o,jam,1.0
K9o,raise,1.0
Q9o,raise,1.0
J9o,raise,1.0
T9o,fold,0.2049
T9o,raise,0.7951
98s,jam,1.0
97s,fold,0.4899
97s,raise,0.5101
A8o,jam,1.0
K8o,fold,0.48
K8o,raise,0.52
87s,raise,1.0
A7o,jam,1.0
76s,raise,1.0
A6o,jam,1.0
A5o,jam,0.9501
A5o,raise,0.0499
A4o,jam,0.83
A4o,raise,0.17
A3o,jam,1.0
A2o,jam,0.765
A2o,raise,0.235
