# poker.academy CE-Symmetric — 15bb unopened | HJ first-in
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 15bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,jam,1.0
55,jam,0.9302
55,raise,0.0698
66,jam,0.545
66,raise,0.455
77,jam,0.1749
77,raise,0.8251
88,raise,1.0
99,raise,1.0
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,raise,1.0
A8s,jam,0.4099
A8s,raise,0.5901
A7s,jam,0.8001
A7s,raise,0.1999
A6s,raise,1.0
A5s,jam,1.0
A4s,jam,0.2499
A4s,raise,0.7501
A3s,raise,1.0
A2s,raise,1.0
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,jam,0.8101
KJs,raise,0.1899
KTs,jam,1.0
K9s,raise,1.0
K8s,fold,0.555
K8s,raise,0.445
K7s,fold,0.7301
K7s,raise,0.2699
AQo,jam,0.675
AQo,raise,0.325
KQo,jam,0.7301
KQo,raise,0.2699
QQ,raise,1.0
QJs,jam,1.0
QTs,jam,1.0
Q9s,raise,1.0
Q8s,raise,1.0
AJo,jam,0.915
AJo,raise,0.085
KJo,raise,1.0
QJo,raise,1.0
JJ,raise,1.0
JTs,jam,1.0
J9s,raise,1.0
ATo,jam,0.785
ATo,raise,0.215
KTo,raise,1.0
QTo,raise,1.0
JTo,fold,0.4351
JTo,raise,0.5649
TT,raise,1.0
T9s,jam,0.685
T9s,raise,0.315
T8s,fold,0.0199
T8s,raise,0.9801
A9o,jam,0.385
A9o,raise,0.615
A8o,raise,1.0
A7o,fold,0.4249
A7o,raise,0.5751
