# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs hj open @ 20bb
# HRC node: id=93, seat=7, sequence=FFFRFFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 99.95%
notation,action,freq
AA,jam,1.0
AKs,call,0.0004
AKs,jam,0.9996
AQs,fold,0.0002
AQs,call,0.0359
AQs,jam,0.9639
AJs,call,0.244
AJs,jam,0.756
ATs,fold,0.0001
ATs,call,0.4924
ATs,jam,0.5075
A9s,fold,0.0003
A9s,call,0.9867
A9s,jam,0.013
A8s,fold,0.0001
A8s,call,0.7735
A8s,jam,0.2263
A7s,fold,0.0002
A7s,call,0.6826
A7s,jam,0.3172
A6s,fold,0.0001
A6s,call,0.3821
A6s,jam,0.6178
A5s,fold,0.0002
A5s,call,0.4301
A5s,jam,0.5697
A4s,fold,0.0012
A4s,call,0.8681
A4s,jam,0.1307
A3s,call,0.8498
A3s,jam,0.1502
A2s,fold,0.0004
A2s,call,0.9991
A2s,jam,0.0005
AKo,jam,1.0
KK,jam,1.0
KQs,fold,0.0007
KQs,call,0.4231
KQs,jam,0.5762
KJs,call,0.4195
KJs,jam,0.5804
KTs,fold,0.0009
KTs,call,0.4785
KTs,jam,0.5206
K9s,fold,0.0005
K9s,call,0.4291
K9s,jam,0.5704
K8s,fold,0.0002
K8s,call,0.9994
K8s,jam,0.0004
K7s,fold,0.001
K7s,call,0.8121
K7s,jam,0.1868
K6s,fold,0.0011
K6s,call,0.8728
K6s,jam,0.1261
K5s,fold,0.0006
K5s,call,0.8957
K5s,jam,0.1038
K4s,fold,0.0018
K4s,call,0.7042
K4s,jam,0.2941
K3s,fold,0.0009
K3s,call,0.9632
K3s,jam,0.0359
K2s,fold,0.0021
K2s,call,0.8088
K2s,jam,0.1891
AQo,call,0.0009
AQo,jam,0.9991
KQo,call,0.1265
KQo,jam,0.8735
QQ,jam,1.0
QJs,fold,0.0008
QJs,call,0.5463
QJs,jam,0.4529
QTs,fold,0.0001
QTs,call,0.9248
QTs,jam,0.0751
Q9s,call,0.8547
Q9s,jam,0.1453
Q8s,fold,0.0009
Q8s,call,0.9607
Q8s,jam,0.0385
Q7s,fold,0.0001
Q7s,call,0.8371
Q7s,jam,0.1628
Q6s,fold,0.0003
Q6s,call,0.8362
Q6s,jam,0.1635
Q5s,fold,0.0003
Q5s,call,0.9936
Q5s,jam,0.0061
Q4s,fold,0.0009
Q4s,call,0.9987
Q4s,jam,0.0004
Q3s,fold,0.0006
Q3s,call,0.9986
Q3s,jam,0.0008
Q2s,fold,0.0004
Q2s,call,0.9831
Q2s,jam,0.0165
AJo,call,0.0685
AJo,jam,0.9315
KJo,call,0.9986
KJo,jam,0.0014
QJo,call,0.9745
QJo,jam,0.0255
JJ,fold,0.0001
JJ,call,0.0004
JJ,jam,0.9995
JTs,fold,0.0005
JTs,call,0.8492
JTs,jam,0.1503
J9s,fold,0.0004
J9s,call,0.4724
J9s,jam,0.5272
J8s,fold,0.0003
J8s,call,0.9899
J8s,jam,0.0098
J7s,fold,0.0005
J7s,call,0.9989
J7s,jam,0.0006
J6s,fold,0.0027
J6s,call,0.9973
J5s,fold,0.0002
J5s,call,0.978
J5s,jam,0.0218
J4s,fold,0.0007
J4s,call,0.9992
J4s,jam,0.0001
J3s,fold,0.0002
J3s,call,0.9998
J2s,fold,0.0001
J2s,call,0.9858
J2s,jam,0.0141
ATo,fold,0.0001
ATo,call,0.8845
ATo,jam,0.1154
KTo,call,0.8339
KTo,jam,0.1661
QTo,fold,0.0001
QTo,call,0.9999
JTo,call,1.0
TT,call,0.559
TT,jam,0.441
T9s,fold,0.0011
T9s,call,0.9987
T9s,jam,0.0002
T8s,fold,0.0006
T8s,call,0.999
T8s,jam,0.0005
T7s,fold,0.0007
T7s,call,0.9991
T7s,jam,0.0002
T6s,fold,0.0016
T6s,call,0.9964
T6s,jam,0.002
T5s,fold,0.0038
T5s,call,0.9962
T4s,fold,0.0014
T4s,call,0.9976
T4s,jam,0.001
T3s,fold,0.0002
T3s,call,0.9996
T3s,jam,0.0002
T2s,fold,0.0004
T2s,call,0.9953
T2s,jam,0.0042
A9o,fold,0.0001
A9o,call,0.9998
A9o,jam,0.0001
K9o,call,0.9999
Q9o,fold,0.0001
Q9o,call,0.9999
