# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs sb open @ 20bb
# HRC node: id=11, seat=7, sequence=FFFFFFR
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 99.19%
notation,action,freq
AA,fold,0.0001
AA,call,0.0002
AA,jam,0.9997
AKs,fold,0.0001
AKs,call,0.0007
AKs,jam,0.9991
AQs,fold,0.0005
AQs,call,0.0179
AQs,jam,0.9816
AJs,fold,0.0001
AJs,call,0.0045
AJs,jam,0.9955
ATs,fold,0.0002
ATs,call,0.0038
ATs,jam,0.9961
A9s,fold,0.0018
A9s,call,0.0385
A9s,jam,0.9596
A8s,fold,0.0019
A8s,call,0.0424
A8s,jam,0.9557
A7s,call,0.0025
A7s,jam,0.9975
A6s,fold,0.0038
A6s,call,0.5519
A6s,jam,0.4443
A5s,fold,0.0015
A5s,call,0.292
A5s,jam,0.7065
A4s,fold,0.0006
A4s,call,0.0193
A4s,jam,0.9801
A3s,fold,0.0018
A3s,call,0.2318
A3s,jam,0.7664
A2s,fold,0.0001
A2s,call,0.3252
A2s,jam,0.6747
AKo,fold,0.0001
AKo,call,0.0002
AKo,jam,0.9998
KK,jam,0.9999
KQs,fold,0.002
KQs,call,0.103
KQs,jam,0.895
KJs,fold,0.0044
KJs,call,0.1514
KJs,jam,0.8442
KTs,fold,0.0002
KTs,call,0.2269
KTs,jam,0.7728
K9s,fold,0.0001
K9s,call,0.8554
K9s,jam,0.1445
K8s,fold,0.0013
K8s,call,0.9564
K8s,jam,0.0423
K7s,fold,0.0014
K7s,call,0.2742
K7s,jam,0.7244
K6s,fold,0.0031
K6s,call,0.502
K6s,jam,0.4949
K5s,fold,0.0014
K5s,call,0.346
K5s,jam,0.6526
K4s,fold,0.0013
K4s,call,0.0209
K4s,jam,0.9778
K3s,fold,0.0008
K3s,call,0.6865
K3s,jam,0.3127
K2s,fold,0.0047
K2s,call,0.7542
K2s,jam,0.2411
AQo,jam,1.0
KQo,call,0.0902
KQo,jam,0.9098
QQ,jam,0.9999
QJs,fold,0.0006
QJs,call,0.12
QJs,jam,0.8794
QTs,fold,0.0004
QTs,call,0.0336
QTs,jam,0.966
Q9s,fold,0.0003
Q9s,call,0.8262
Q9s,jam,0.1735
Q8s,fold,0.0117
Q8s,call,0.9696
Q8s,jam,0.0187
Q7s,fold,0.0008
Q7s,call,0.4355
Q7s,jam,0.5638
Q6s,fold,0.006
Q6s,call,0.2117
Q6s,jam,0.7822
Q5s,fold,0.0107
Q5s,call,0.9829
Q5s,jam,0.0064
Q4s,fold,0.0003
Q4s,call,0.8313
Q4s,jam,0.1684
Q3s,fold,0.0065
Q3s,call,0.9915
Q3s,jam,0.002
Q2s,fold,0.0101
Q2s,call,0.9249
Q2s,jam,0.065
AJo,fold,0.0001
AJo,call,0.0037
AJo,jam,0.9962
KJo,fold,0.0012
KJo,call,0.0054
KJo,jam,0.9934
QJo,fold,0.0004
QJo,call,0.5814
QJo,jam,0.4181
JJ,jam,1.0
JTs,fold,0.0007
JTs,call,0.0017
JTs,jam,0.9976
J9s,fold,0.0003
J9s,call,0.344
J9s,jam,0.6557
J8s,fold,0.0038
J8s,call,0.4668
J8s,jam,0.5294
J7s,fold,0.0156
J7s,call,0.9336
J7s,jam,0.0507
J6s,fold,0.0191
J6s,call,0.5759
J6s,jam,0.405
J5s,fold,0.0037
J5s,call,0.9609
J5s,jam,0.0354
J4s,fold,0.0023
J4s,call,0.4732
J4s,jam,0.5245
J3s,fold,0.0046
J3s,call,0.2857
J3s,jam,0.7098
J2s,fold,0.0071
J2s,call,0.9908
J2s,jam,0.0021
ATo,fold,0.0001
ATo,call,0.0005
ATo,jam,0.9994
KTo,call,0.3736
KTo,jam,0.6264
QTo,fold,0.0002
QTo,call,0.8056
QTo,jam,0.1942
JTo,call,0.8917
JTo,jam,0.1082
TT,call,0.0021
TT,jam,0.9978
T9s,fold,0.0027
T9s,call,0.7214
T9s,jam,0.2759
T8s,fold,0.0006
T8s,call,0.3001
T8s,jam,0.6993
T7s,fold,0.0114
T7s,call,0.3813
T7s,jam,0.6073
T6s,fold,0.0102
T6s,call,0.7344
T6s,jam,0.2554
T5s,fold,0.0134
T5s,call,0.9669
T5s,jam,0.0197
T4s,fold,0.0025
T4s,call,0.9691
T4s,jam,0.0284
T3s,fold,0.0084
T3s,call,0.6481
T3s,jam,0.3434
T2s,fold,0.0126
T2s,call,0.9828
T2s,jam,0.0046
A9o,call,0.0118
A9o,jam,0.9882
K9o,fold,0.0003
K9o,call,0.4028
K9o,jam,0.5969
Q9o,fold,0.0002
Q9o,call,0.8507
Q9o,jam,0.1491
J9o,fold,0.0025
J9o,call,0.8386
J9o,jam,0.1589
T9o,fold,0.0001
T9o,call,0.9978
T9o,jam,0.0021
99,fold,0.0002
99,call,0.0003
99,jam,0.9995
98s,fold,0.0163
98s,call,0.9409
98s,jam,0.0428
97s,fold,0.0137
97s,call,0.2375
97s,jam,0.7488
96s,fold,0.0021
96s,call,0.8022
96s,jam,0.1957
95s,fold,0.0013
95s,call,0.9938
95s,jam,0.0049
94s,fold,0.1327
94s,call,0.8045
94s,jam,0.0628
93s,fold,0.0043
93s,call,0.7599
93s,jam,0.2358
92s,fold,0.0009
92s,call,0.7375
92s,jam,0.2616
A8o,call,0.0506
A8o,jam,0.9494
K8o,fold,0.0002
K8o,call,0.6539
K8o,jam,0.346
Q8o,fold,0.0003
Q8o,call,0.9378
Q8o,jam,0.0619
J8o,fold,0.0003
J8o,call,0.8734
J8o,jam,0.1263
T8o,fold,0.0001
T8o,call,0.9835
T8o,jam,0.0164
98o,fold,0.0005
98o,call,0.9845
98o,jam,0.0149
88,call,0.7341
88,jam,0.2659
87s,fold,0.0402
87s,call,0.4814
87s,jam,0.4784
86s,fold,0.0101
86s,call,0.57
86s,jam,0.4199
85s,fold,0.0391
85s,call,0.5864
85s,jam,0.3745
84s,fold,0.0078
84s,call,0.8408
84s,jam,0.1515
83s,fold,0.0082
83s,call,0.9899
83s,jam,0.0019
82s,fold,0.0319
82s,call,0.7409
82s,jam,0.2272
A7o,call,0.2676
A7o,jam,0.7324
K7o,fold,0.0003
K7o,call,0.9883
K7o,jam,0.0114
Q7o,fold,0.0014
Q7o,call,0.998
Q7o,jam,0.0006
J7o,fold,0.0011
J7o,call,0.5033
J7o,jam,0.4956
T7o,fold,0.0005
T7o,call,0.9918
T7o,jam,0.0077
97o,fold,0.0004
97o,call,0.9992
97o,jam,0.0004
87o,fold,0.0021
87o,call,0.997
87o,jam,0.0009
77,call,0.4876
77,jam,0.5124
76s,fold,0.0119
76s,call,0.9078
76s,jam,0.0803
75s,fold,0.0126
75s,call,0.862
75s,jam,0.1255
74s,fold,0.0197
74s,call,0.4102
74s,jam,0.5702
73s,fold,0.0127
73s,call,0.4247
73s,jam,0.5626
72s,fold,0.3406
72s,call,0.6486
72s,jam,0.0107
A6o,call,0.0127
A6o,jam,0.9873
K6o,fold,0.0001
K6o,call,0.5592
K6o,jam,0.4408
Q6o,fold,0.0008
Q6o,call,0.9939
Q6o,jam,0.0053
J6o,fold,0.0014
J6o,call,0.9915
J6o,jam,0.0071
T6o,fold,0.0001
T6o,call,0.9899
T6o,jam,0.01
96o,fold,0.0016
96o,call,0.9982
96o,jam,0.0003
86o,fold,0.0073
86o,call,0.9881
86o,jam,0.0046
76o,fold,0.0005
76o,call,0.9867
76o,jam,0.0128
66,fold,0.0006
66,call,0.0257
66,jam,0.9737
65s,fold,0.0436
65s,call,0.2419
65s,jam,0.7145
64s,fold,0.0393
64s,call,0.9517
64s,jam,0.009
63s,fold,0.0973
63s,call,0.8289
63s,jam,0.0739
62s,fold,0.0265
62s,call,0.9606
62s,jam,0.0129
A5o,call,0.0092
A5o,jam,0.9908
K5o,fold,0.0003
K5o,call,0.6811
K5o,jam,0.3186
Q5o,fold,0.003
Q5o,call,0.9967
Q5o,jam,0.0003
J5o,fold,0.0014
J5o,call,0.979
J5o,jam,0.0196
T5o,fold,0.0007
T5o,call,0.9992
T5o,jam,0.0001
95o,fold,0.0005
95o,call,0.7783
95o,jam,0.2212
85o,fold,0.0043
85o,call,0.9153
85o,jam,0.0804
75o,fold,0.0108
75o,call,0.9835
75o,jam,0.0058
65o,fold,0.0031
65o,call,0.9948
65o,jam,0.002
55,fold,0.0014
55,call,0.0036
55,jam,0.995
54s,fold,0.0172
54s,call,0.9811
54s,jam,0.0017
53s,fold,0.017
53s,call,0.3353
53s,jam,0.6477
52s,fold,0.0017
52s,call,0.7876
52s,jam,0.2107
A4o,call,0.0925
A4o,jam,0.9075
K4o,call,0.9574
K4o,jam,0.0426
Q4o,fold,0.0005
Q4o,call,0.9896
Q4o,jam,0.0099
J4o,fold,0.0015
J4o,call,0.9842
J4o,jam,0.0143
T4o,fold,0.0029
T4o,call,0.966
T4o,jam,0.0311
94o,fold,0.0011
94o,call,0.9987
94o,jam,0.0002
84o,fold,0.0046
84o,call,0.9948
84o,jam,0.0006
74o,fold,0.0109
74o,call,0.9837
74o,jam,0.0054
64o,fold,0.0051
64o,call,0.4972
64o,jam,0.4977
