# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.0bb', 'SIZES_OPEN_BU': '2.0bb', 'SIZES_OPEN_SB': '2.0bb', 'SIZES_OPEN_BB': '2.0bb', 'SIZES_OPEN_BB_VS_SB': '2.5bb', 'SIZES_3BET_IP': 'all-in', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': 'all-in', 'SIZES_3BET_SB_VS_BB': 'all-in', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': 'all-in', 'SIZES_4BET_OOP': 'all-in', 'SIZES_5BET_IP': 'all-in', 'SIZES_5BET_OOP': 'all-in'}
# App slot: btn vs3bet @ 20bb
# HRC node: id=24, seat=5, sequence=FFFFFRRF
# Actions at node: ['fold', 'call']
# VPIP estimate: 43.44%
notation,action,freq
AA,call,1.0
AKs,fold,0.0002
AKs,call,0.9998
AQs,call,1.0
AJs,call,1.0
ATs,fold,0.0002
ATs,call,0.9998
A9s,call,1.0
A8s,fold,0.0001
A8s,call,0.9999
A7s,fold,0.0288
A7s,call,0.9712
A6s,fold,0.0344
A6s,call,0.9656
A5s,fold,0.5065
A5s,call,0.4935
A4s,fold,0.8099
A4s,call,0.1901
A3s,fold,0.9947
A3s,call,0.0053
A2s,fold,0.9208
A2s,call,0.0792
AKo,call,1.0
KK,call,1.0
KQs,fold,0.0232
KQs,call,0.9768
KJs,fold,0.0073
KJs,call,0.9927
KTs,fold,0.1368
KTs,call,0.8632
K9s,fold,0.699
K9s,call,0.301
K8s,fold,0.9918
K8s,call,0.0082
K7s,fold,0.9008
K7s,call,0.0992
K6s,fold,0.9917
K6s,call,0.0083
K5s,fold,0.9962
K5s,call,0.0038
K4s,fold,0.9984
K4s,call,0.0016
K3s,fold,0.9978
K3s,call,0.0022
K2s,fold,0.9936
K2s,call,0.0064
AQo,call,1.0
KQo,fold,0.3099
KQo,call,0.6901
QQ,call,1.0
QJs,fold,0.8261
QJs,call,0.1739
QTs,fold,0.8707
QTs,call,0.1293
Q9s,fold,0.9992
Q9s,call,0.0008
Q8s,fold,0.9942
Q8s,call,0.0058
Q7s,fold,0.9809
Q7s,call,0.0191
Q6s,fold,0.9998
Q6s,call,0.0002
Q5s,fold,0.9998
Q5s,call,0.0002
Q4s,fold,0.9977
Q4s,call,0.0023
Q3s,fold,0.9981
Q3s,call,0.0019
AJo,call,1.0
KJo,fold,0.9839
KJo,call,0.0161
QJo,fold,0.9903
QJo,call,0.0097
JJ,call,1.0
JTs,fold,0.4729
JTs,call,0.5271
J9s,fold,0.9322
J9s,call,0.0678
J8s,fold,0.9982
J8s,call,0.0018
J7s,fold,0.9999
J7s,call,0.0001
J4s,fold,0.9955
J4s,call,0.0045
J3s,fold,0.9852
J3s,call,0.0148
ATo,call,1.0
KTo,fold,0.9785
KTo,call,0.0215
QTo,fold,0.9945
QTo,call,0.0055
JTo,fold,0.9976
JTo,call,0.0024
TT,call,1.0
T9s,fold,0.8071
T9s,call,0.1929
T7s,fold,0.9958
T7s,call,0.0042
T5s,fold,0.9945
T5s,call,0.0055
A9o,fold,0.0045
A9o,call,0.9955
K9o,fold,0.9984
K9o,call,0.0016
Q9o,fold,0.9993
Q9o,call,0.0007
J9o,fold,0.9999
J9o,call,0.0001
99,call,1.0
98s,fold,0.9951
98s,call,0.0049
97s,fold,0.989
97s,call,0.011
96s,fold,0.9982
96s,call,0.0018
A8o,fold,0.0573
A8o,call,0.9427
K8o,fold,0.9997
K8o,call,0.0003
Q8o,fold,0.9995
Q8o,call,0.0005
T8o,fold,0.9995
T8o,call,0.0005
88,call,1.0
86s,fold,0.9978
86s,call,0.0022
A7o,fold,0.3945
A7o,call,0.6055
K7o,fold,0.9968
K7o,call,0.0032
Q7o,fold,0.9998
Q7o,call,0.0002
77,fold,0.0028
77,call,0.9972
75s,fold,0.9954
75s,call,0.0046
74s,fold,1.0
A6o,fold,0.3768
A6o,call,0.6232
K6o,fold,0.9976
K6o,call,0.0024
66,call,1.0
A5o,fold,0.8981
A5o,call,0.1019
K5o,fold,0.9994
K5o,call,0.0006
A4o,fold,0.9827
A4o,call,0.0173
44,fold,0.0679
44,call,0.9321
A3o,fold,0.9581
A3o,call,0.0419
33,fold,0.0315
33,call,0.9685
A2o,fold,0.9973
A2o,call,0.0027
22,fold,0.0572
22,call,0.9428
