# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 20bb: open 2.0bb; BU 2.0bb; SB 2.0bb; 3-bet IP all-in; 3-bet BB-vs-others all-in; 4-bet IP all-in
# App slot: btn vsopen @ 20bb
# HRC node: id=1553, seat=5, sequence=RFFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 14.93%
notation,action,freq
AA,jam,1.0
AKs,call,0.0212
AKs,jam,0.9788
AQs,fold,0.0003
AQs,call,0.9598
AQs,jam,0.0399
AJs,fold,0.002
AJs,call,0.2382
AJs,jam,0.7598
ATs,fold,0.0258
ATs,call,0.8569
ATs,jam,0.1173
A9s,fold,0.0372
A9s,call,0.4964
A9s,jam,0.4664
A8s,fold,0.8277
A8s,call,0.1722
A7s,fold,0.8468
A7s,call,0.0841
A7s,jam,0.0691
A6s,fold,0.3668
A6s,call,0.2429
A6s,jam,0.3903
A5s,fold,0.3484
A5s,call,0.0415
A5s,jam,0.6101
A4s,fold,0.9876
A4s,call,0.0114
A4s,jam,0.001
A3s,fold,0.9656
A3s,call,0.0337
A3s,jam,0.0007
A2s,fold,0.9653
A2s,call,0.0345
A2s,jam,0.0002
AKo,call,0.0132
AKo,jam,0.9868
KK,call,0.0001
KK,jam,0.9999
KQs,fold,0.0008
KQs,call,0.3388
KQs,jam,0.6604
KJs,fold,0.2823
KJs,call,0.5475
KJs,jam,0.1702
KTs,fold,0.6613
KTs,call,0.234
KTs,jam,0.1046
K9s,fold,0.2989
K9s,call,0.2896
K9s,jam,0.4114
K8s,fold,0.9275
K8s,call,0.0245
K8s,jam,0.048
K7s,fold,0.2
K7s,call,0.7952
K7s,jam,0.0048
K6s,fold,0.9553
K6s,call,0.0008
K6s,jam,0.0439
K5s,fold,0.9516
K5s,call,0.0425
K5s,jam,0.0058
K4s,fold,0.8015
K4s,call,0.0541
K4s,jam,0.1444
K3s,fold,0.9991
K3s,call,0.0008
K3s,jam,0.0001
K2s,fold,0.9997
K2s,jam,0.0003
AQo,call,0.0048
AQo,jam,0.9952
KQo,fold,0.3188
KQo,call,0.4032
KQo,jam,0.278
QQ,call,0.0002
QQ,jam,0.9998
QJs,fold,0.8007
QJs,call,0.0353
QJs,jam,0.1639
QTs,fold,0.1645
QTs,call,0.009
QTs,jam,0.8264
Q9s,fold,0.7118
Q9s,call,0.0519
Q9s,jam,0.2363
Q8s,fold,0.9664
Q8s,call,0.0062
Q8s,jam,0.0273
Q7s,fold,0.9983
Q7s,call,0.0003
Q7s,jam,0.0014
Q6s,fold,0.999
Q6s,call,0.0009
Q6s,jam,0.0001
Q5s,fold,0.999
Q5s,call,0.001
Q4s,fold,0.9841
Q4s,call,0.0155
Q4s,jam,0.0004
Q3s,fold,0.9978
Q3s,call,0.0021
Q3s,jam,0.0002
Q2s,fold,0.9986
Q2s,call,0.001
Q2s,jam,0.0005
AJo,fold,0.0986
AJo,call,0.8499
AJo,jam,0.0516
KJo,fold,0.8469
KJo,call,0.0087
KJo,jam,0.1444
QJo,fold,0.998
QJo,call,0.002
JJ,call,0.1945
JJ,jam,0.8055
JTs,fold,0.1406
JTs,call,0.0005
JTs,jam,0.8589
J9s,fold,0.9913
J9s,call,0.0064
J9s,jam,0.0023
J8s,fold,0.9994
J8s,call,0.0006
J7s,fold,0.9999
J6s,fold,0.9893
J6s,call,0.0107
J5s,fold,0.9996
J5s,call,0.0003
J5s,jam,0.0001
J4s,fold,0.9978
J4s,call,0.0012
J4s,jam,0.001
J3s,fold,0.9999
J3s,call,0.0001
J2s,fold,1.0
ATo,fold,0.997
ATo,jam,0.003
KTo,fold,0.9997
KTo,call,0.0003
QTo,fold,0.9997
QTo,call,0.0003
JTo,fold,0.9956
JTo,call,0.0044
TT,call,0.576
TT,jam,0.4239
T9s,fold,0.9844
T9s,call,0.0152
T9s,jam,0.0004
T8s,fold,0.8937
T8s,call,0.106
T8s,jam,0.0003
T7s,fold,0.9943
T7s,call,0.0056
T6s,fold,0.9824
T6s,call,0.0171
T6s,jam,0.0005
T5s,fold,0.9976
T5s,call,0.0014
T5s,jam,0.001
T4s,fold,0.999
T4s,call,0.0005
T4s,jam,0.0005
T3s,fold,0.9992
T3s,call,0.0007
T3s,jam,0.0001
T2s,fold,0.99
T2s,call,0.01
A9o,fold,0.9742
A9o,call,0.0253
A9o,jam,0.0005
K9o,fold,0.9999
Q9o,fold,0.9996
Q9o,call,0.0003
Q9o,jam,0.0001
J9o,fold,0.9983
J9o,call,0.0016
J9o,jam,0.0001
T9o,fold,1.0
99,fold,0.0019
99,call,0.7125
99,jam,0.2856
98s,fold,0.9992
98s,call,0.0006
98s,jam,0.0001
97s,fold,0.9979
97s,call,0.0021
96s,fold,0.9997
