# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs utg1 open @ 20bb
# HRC node: id=669, seat=5, sequence=FRFFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 16.14%
notation,action,freq
AA,jam,1.0
AKs,jam,1.0
AQs,call,0.0221
AQs,jam,0.9778
AJs,fold,0.0004
AJs,call,0.018
AJs,jam,0.9816
ATs,fold,0.0784
ATs,call,0.1947
ATs,jam,0.7269
A9s,fold,0.5354
A9s,call,0.4613
A9s,jam,0.0032
A8s,fold,0.4792
A8s,call,0.4143
A8s,jam,0.1064
A7s,fold,0.5094
A7s,call,0.2393
A7s,jam,0.2513
A6s,fold,0.6541
A6s,call,0.3444
A6s,jam,0.0015
A5s,fold,0.6408
A5s,call,0.0139
A5s,jam,0.3453
A4s,fold,0.4818
A4s,call,0.0191
A4s,jam,0.499
A3s,fold,0.3981
A3s,call,0.0439
A3s,jam,0.558
A2s,fold,0.6669
A2s,call,0.0052
A2s,jam,0.3279
AKo,call,0.0968
AKo,jam,0.9032
KK,jam,1.0
KQs,fold,0.0006
KQs,call,0.223
KQs,jam,0.7764
KJs,fold,0.5662
KJs,call,0.2505
KJs,jam,0.1833
KTs,fold,0.4499
KTs,call,0.4761
KTs,jam,0.074
K9s,fold,0.6254
K9s,call,0.0351
K9s,jam,0.3395
K8s,fold,0.8863
K8s,call,0.0005
K8s,jam,0.1132
K7s,fold,0.9892
K7s,call,0.0102
K7s,jam,0.0005
K6s,fold,0.9621
K6s,call,0.0329
K6s,jam,0.0049
K5s,fold,1.0
K4s,fold,0.9974
K4s,jam,0.0026
K3s,fold,0.9966
K3s,call,0.0017
K3s,jam,0.0016
K2s,fold,0.9251
K2s,call,0.0006
K2s,jam,0.0742
AQo,call,0.298
AQo,jam,0.702
KQo,fold,0.3037
KQo,call,0.2966
KQo,jam,0.3997
QQ,jam,1.0
QJs,fold,0.0952
QJs,call,0.5696
QJs,jam,0.3351
QTs,fold,0.1309
QTs,call,0.2569
QTs,jam,0.6123
Q9s,fold,0.3049
Q9s,call,0.0197
Q9s,jam,0.6754
Q8s,fold,0.6483
Q8s,call,0.3514
Q8s,jam,0.0004
Q7s,fold,0.9983
Q7s,call,0.0013
Q7s,jam,0.0004
Q6s,fold,0.9992
Q6s,call,0.0001
Q6s,jam,0.0007
Q5s,fold,0.9996
Q5s,call,0.0004
Q4s,fold,0.9484
Q4s,call,0.0333
Q4s,jam,0.0183
Q3s,fold,0.9946
Q3s,call,0.005
Q3s,jam,0.0005
Q2s,fold,0.9985
Q2s,call,0.0012
Q2s,jam,0.0003
AJo,fold,0.0315
AJo,call,0.9549
AJo,jam,0.0136
KJo,fold,0.8412
KJo,call,0.0013
KJo,jam,0.1575
QJo,fold,0.8386
QJo,call,0.1614
JJ,call,0.0003
JJ,jam,0.9997
JTs,fold,0.2005
JTs,call,0.7961
JTs,jam,0.0033
J9s,fold,0.9411
J9s,call,0.0437
J9s,jam,0.0153
J8s,fold,0.9982
J8s,call,0.0003
J8s,jam,0.0015
J7s,fold,0.999
J7s,call,0.001
J7s,jam,0.0001
J6s,fold,0.9996
J6s,call,0.0001
J6s,jam,0.0003
J5s,fold,0.9993
J5s,call,0.0007
J5s,jam,0.0001
J4s,fold,0.9998
J4s,call,0.0001
J4s,jam,0.0001
J3s,fold,1.0
J2s,fold,0.9999
J2s,call,0.0001
ATo,fold,0.368
ATo,call,0.5766
ATo,jam,0.0553
KTo,fold,0.9438
KTo,call,0.0079
KTo,jam,0.0483
QTo,fold,0.9982
QTo,call,0.0011
QTo,jam,0.0007
JTo,fold,0.9914
JTo,call,0.008
JTo,jam,0.0005
TT,call,0.3888
TT,jam,0.6112
T9s,fold,0.9406
T9s,call,0.0592
T9s,jam,0.0002
T8s,fold,0.8323
T8s,jam,0.1677
T7s,fold,0.9845
T7s,call,0.0155
T6s,fold,0.9951
T6s,call,0.0046
T6s,jam,0.0003
T5s,fold,1.0
T4s,fold,0.9995
T4s,call,0.0003
T4s,jam,0.0002
T3s,fold,1.0
