# poker.academy CE-Symmetric — 20bb vs3bet | hero CO vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 20bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.48
44,fold,0.52
55,call,0.8051
55,jam,0.1949
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,1.0
AKs,jam,1.0
AQs,call,1.0
AJs,call,0.83
AJs,jam,0.17
ATs,call,1.0
A9s,call,1.0
A8s,call,0.3349
A8s,jam,0.6651
A7s,call,0.85
A7s,jam,0.15
A6s,call,1.0
A5s,jam,1.0
A4s,call,0.2699
A4s,jam,0.7301
A3s,call,0.8951
A3s,jam,0.1049
A2s,call,0.815
A2s,jam,0.185
AKo,jam,1.0
KK,call,1.0
KQs,call,0.475
KQs,jam,0.525
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K7s,call,0.8201
K7s,fold,0.1799
AQo,call,0.075
AQo,jam,0.925
KQo,call,0.83
KQo,fold,0.17
QQ,call,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
AJo,jam,1.0
KJo,call,0.4249
KJo,fold,0.5751
JJ,call,0.6551
JJ,jam,0.3449
JTs,call,1.0
J9s,call,1.0
ATo,jam,1.0
TT,call,0.4849
TT,jam,0.5151
T9s,call,1.0
T8s,call,0.8001
T8s,fold,0.1999
A9o,call,0.8001
A9o,jam,0.1999
98s,call,0.63
98s,fold,0.37
A8o,call,1.0
87s,call,1.0
76s,call,0.69
76s,fold,0.31
A5o,call,0.9551
A5o,fold,0.0449
