# poker.academy CE-Symmetric — 20bb vsopen | hero CO vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 20bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.0698
44,fold,0.8302
44,jam,0.1
55,call,0.2985
55,jam,0.597
55,threeBet,0.1045
66,call,0.403
66,jam,0.5474
66,threeBet,0.0496
77,call,0.0449
77,jam,0.9551
88,jam,1.0
99,jam,0.9601
99,threeBet,0.0399
AA,call,0.8251
AA,threeBet,0.1749
AKs,jam,0.925
AKs,threeBet,0.075
AQs,jam,1.0
AJs,call,0.37
AJs,jam,0.485
AJs,threeBet,0.145
ATs,call,0.3449
ATs,jam,0.6551
A9s,call,0.225
A9s,jam,0.6751
A9s,threeBet,0.0999
A8s,call,0.7437
A8s,jam,0.1508
A8s,threeBet,0.1055
A7s,call,0.755
A7s,threeBet,0.245
A6s,call,0.1299
A6s,fold,0.8701
A5s,call,0.37
A5s,jam,0.63
A4s,jam,1.0
AKo,jam,1.0
KK,call,0.48
KK,threeBet,0.52
KQs,jam,1.0
KJs,call,0.235
KJs,jam,0.765
KTs,jam,1.0
K9s,call,0.5723
K9s,fold,0.3184
K9s,threeBet,0.1093
AQo,jam,1.0
KQo,call,0.4977
KQo,jam,0.4776
KQo,threeBet,0.0247
QQ,call,0.1349
QQ,jam,0.8352
QQ,threeBet,0.0299
QJs,call,0.3549
QJs,jam,0.6451
QTs,call,0.4401
QTs,jam,0.5599
Q9s,call,0.0698
Q9s,fold,0.9302
AJo,jam,0.9651
AJo,threeBet,0.0349
KJo,call,0.295
KJo,fold,0.6851
KJo,threeBet,0.0199
JJ,jam,1.0
JTs,jam,1.0
J9s,call,0.3449
J9s,fold,0.6551
ATo,call,0.8201
ATo,threeBet,0.1799
TT,jam,0.99
TT,threeBet,0.01
T9s,call,0.455
T9s,fold,0.545
98s,call,0.1348
98s,fold,0.8652
76s,call,0.0199
76s,fold,0.9801
