# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.0bb', 'SIZES_OPEN_BU': '2.0bb', 'SIZES_OPEN_SB': '2.0bb', 'SIZES_OPEN_BB': '2.0bb', 'SIZES_OPEN_BB_VS_SB': '2.5bb', 'SIZES_3BET_IP': 'all-in', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': 'all-in', 'SIZES_3BET_SB_VS_BB': 'all-in', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': 'all-in', 'SIZES_4BET_OOP': 'all-in', 'SIZES_5BET_IP': 'all-in', 'SIZES_5BET_OOP': 'all-in'}
# App slot: hj unopened @ 20bb
# HRC node: id=3, seat=3, sequence=FFF
# Actions at node: ['fold', 'raise', 'jam']
# VPIP estimate: 23.40%
notation,action,freq
AA,raise,0.9999
AA,jam,0.0001
AKs,raise,0.534
AKs,jam,0.466
AQs,raise,0.5546
AQs,jam,0.4454
AJs,raise,0.4673
AJs,jam,0.5327
ATs,raise,0.0598
ATs,jam,0.9402
A9s,raise,0.0114
A9s,jam,0.9886
A8s,raise,0.8814
A8s,jam,0.1186
A7s,fold,0.0438
A7s,raise,0.6607
A7s,jam,0.2954
A6s,fold,0.1066
A6s,raise,0.4383
A6s,jam,0.4551
A5s,fold,0.3132
A5s,raise,0.4487
A5s,jam,0.238
A4s,fold,0.4841
A4s,raise,0.0189
A4s,jam,0.497
A3s,fold,0.5377
A3s,raise,0.0024
A3s,jam,0.4599
A2s,fold,0.512
A2s,raise,0.1457
A2s,jam,0.3424
AKo,raise,0.3183
AKo,jam,0.6817
KK,raise,0.98
KK,jam,0.02
KQs,jam,1.0
KJs,fold,0.0001
KJs,raise,0.1576
KJs,jam,0.8423
KTs,fold,0.0001
KTs,raise,0.0694
KTs,jam,0.9305
K9s,fold,0.1192
K9s,raise,0.5733
K9s,jam,0.3075
K8s,fold,0.6383
K8s,raise,0.0005
K8s,jam,0.3612
K7s,fold,0.9504
K7s,raise,0.0468
K7s,jam,0.0028
K6s,fold,0.9972
K6s,raise,0.0028
K5s,fold,0.9978
K5s,raise,0.0021
K5s,jam,0.0002
K4s,fold,0.9999
K4s,raise,0.0001
K3s,fold,0.9998
K3s,raise,0.0001
K3s,jam,0.0001
K2s,fold,0.9998
K2s,raise,0.0002
AQo,raise,0.004
AQo,jam,0.996
KQo,raise,0.3793
KQo,jam,0.6207
QQ,raise,0.9175
QQ,jam,0.0825
QJs,raise,0.1532
QJs,jam,0.8468
QTs,fold,0.0052
QTs,raise,0.0492
QTs,jam,0.9456
Q9s,fold,0.1313
Q9s,raise,0.0358
Q9s,jam,0.833
Q8s,fold,0.9973
Q8s,raise,0.0009
Q8s,jam,0.0018
Q7s,fold,1.0
Q6s,fold,0.9991
Q6s,raise,0.0004
Q6s,jam,0.0005
Q5s,fold,1.0
Q4s,fold,0.9998
Q4s,raise,0.0001
Q4s,jam,0.0001
Q3s,fold,1.0
Q2s,fold,1.0
AJo,raise,0.1978
AJo,jam,0.8022
KJo,raise,1.0
QJo,fold,0.5505
QJo,raise,0.4242
QJo,jam,0.0253
JJ,raise,0.8009
JJ,jam,0.1991
JTs,fold,0.0001
JTs,raise,0.4501
JTs,jam,0.5498
J9s,fold,0.974
J9s,jam,0.026
J8s,fold,0.9027
J8s,raise,0.001
J8s,jam,0.0963
J7s,fold,0.9999
J7s,jam,0.0001
J6s,fold,0.9999
J6s,raise,0.0001
J5s,fold,1.0
J4s,fold,1.0
J3s,fold,0.9999
J3s,jam,0.0001
J2s,fold,0.9999
ATo,raise,0.901
ATo,jam,0.099
KTo,fold,0.1177
KTo,raise,0.8822
KTo,jam,0.0001
QTo,fold,0.9874
QTo,raise,0.0117
QTo,jam,0.0008
JTo,fold,0.9995
JTo,jam,0.0005
TT,raise,0.0965
TT,jam,0.9035
T9s,fold,0.6359
T9s,raise,0.0002
T9s,jam,0.3639
T8s,fold,0.9907
T8s,raise,0.0006
T8s,jam,0.0087
T7s,fold,0.9997
T7s,raise,0.0001
T7s,jam,0.0002
T6s,fold,1.0
T5s,fold,0.9999
T4s,fold,0.9993
T4s,raise,0.0001
T4s,jam,0.0007
T3s,fold,1.0
T2s,fold,0.9999
T2s,raise,0.0001
A9o,fold,0.0455
A9o,raise,0.9275
A9o,jam,0.027
K9o,fold,0.9997
K9o,raise,0.0002
K9o,jam,0.0001
Q9o,fold,0.9994
Q9o,raise,0.0006
J9o,fold,0.9994
J9o,raise,0.0006
T9o,fold,1.0
99,raise,0.438
99,jam,0.562
98s,fold,0.8905
98s,raise,0.0001
98s,jam,0.1094
97s,fold,0.9996
97s,raise,0.0004
96s,fold,1.0
95s,fold,0.9997
95s,raise,0.0001
95s,jam,0.0002
94s,fold,1.0
93s,fold,0.9999
93s,raise,0.0001
92s,fold,1.0
A8o,raise,0.9993
A8o,jam,0.0007
K8o,fold,0.9998
K8o,raise,0.0002
Q8o,fold,1.0
J8o,fold,1.0
T8o,fold,1.0
98o,fold,1.0
88,raise,0.0039
88,jam,0.9961
87s,fold,0.9997
87s,jam,0.0003
86s,fold,1.0
85s,fold,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,0.9999
82s,jam,0.0001
A7o,fold,0.2438
A7o,raise,0.756
A7o,jam,0.0002
K7o,fold,0.9998
K7o,raise,0.0001
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,raise,0.0276
77,jam,0.9724
76s,fold,1.0
75s,fold,1.0
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,0.9951
A6o,raise,0.0046
A6o,jam,0.0003
K6o,fold,1.0
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.0001
66,raise,0.0132
66,jam,0.9867
65s,fold,0.9995
65s,jam,0.0004
64s,fold,0.9999
64s,jam,0.0001
63s,fold,1.0
62s,fold,1.0
A5o,fold,0.9275
A5o,raise,0.0682
A5o,jam,0.0042
K5o,fold,0.9999
K5o,raise,0.0001
Q5o,fold,1.0
J5o,fold,1.0
T5o,fold,1.0
95o,fold,1.0
85o,fold,1.0
75o,fold,1.0
65o,fold,1.0
55,fold,0.0697
55,raise,0.1522
55,jam,0.7782
54s,fold,1.0
53s,fold,0.9999
53s,jam,0.0001
52s,fold,1.0
A4o,fold,0.9422
A4o,raise,0.0573
A4o,jam,0.0005
K4o,fold,1.0
Q4o,fold,1.0
J4o,fold,1.0
T4o,fold,1.0
94o,fold,1.0
84o,fold,1.0
74o,fold,1.0
64o,fold,1.0
54o,fold,1.0
44,fold,0.8551
44,raise,0.0002
44,jam,0.1447
43s,fold,1.0
42s,fold,1.0
A3o,fold,0.9999
A3o,jam,0.0001
K3o,fold,1.0
Q3o,fold,1.0
J3o,fold,1.0
T3o,fold,1.0
93o,fold,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,1.0
43o,fold,1.0
33,fold,0.7604
33,raise,0.0001
33,jam,0.2396
32s,fold,1.0
A2o,fold,0.9998
A2o,jam,0.0002
K2o,fold,1.0
Q2o,fold,1.0
J2o,fold,1.0
T2o,fold,1.0
92o,fold,1.0
82o,fold,1.0
72o,fold,1.0
62o,fold,1.0
52o,fold,1.0
42o,fold,1.0
32o,fold,1.0
22,fold,0.7306
22,jam,0.2694
