# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.0bb', 'SIZES_OPEN_BU': '2.0bb', 'SIZES_OPEN_SB': '2.0bb', 'SIZES_OPEN_BB': '2.0bb', 'SIZES_OPEN_BB_VS_SB': '2.5bb', 'SIZES_3BET_IP': 'all-in', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': 'all-in', 'SIZES_3BET_SB_VS_BB': 'all-in', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': 'all-in', 'SIZES_4BET_OOP': 'all-in', 'SIZES_5BET_IP': 'all-in', 'SIZES_5BET_OOP': 'all-in'}
# App slot: hj vs3bet @ 20bb
# HRC node: id=234, seat=3, sequence=FFFRRFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 41.97%
notation,action,freq
AA,call,1.0
AKs,call,1.0
AQs,fold,0.0001
AQs,call,0.9999
AJs,call,1.0
ATs,fold,0.0017
ATs,call,0.9983
A9s,fold,0.6151
A9s,call,0.3849
A8s,fold,0.9778
A8s,call,0.0222
A7s,fold,0.987
A7s,call,0.013
A6s,fold,0.9891
A6s,call,0.0109
A5s,fold,0.4998
A5s,call,0.5002
A4s,fold,0.9597
A4s,call,0.0403
A3s,fold,0.8117
A3s,call,0.1883
A2s,fold,0.738
A2s,call,0.262
AKo,call,1.0
KK,call,1.0
KJs,fold,0.3968
KJs,call,0.6032
KTs,fold,0.9891
KTs,call,0.0109
K9s,fold,0.981
K9s,call,0.019
K8s,fold,0.8618
K8s,call,0.1382
K7s,fold,0.9902
K7s,call,0.0098
K6s,fold,0.995
K6s,call,0.005
K5s,fold,0.9903
K5s,call,0.0097
K4s,fold,1.0
K3s,fold,0.9699
K3s,call,0.0301
K2s,fold,0.9851
K2s,call,0.0149
AQo,call,1.0
KQo,fold,0.9505
KQo,call,0.0495
QQ,fold,0.0001
QQ,call,0.9999
QJs,fold,0.9546
QJs,call,0.0454
QTs,fold,0.9703
QTs,call,0.0297
Q9s,fold,0.8968
Q9s,call,0.1032
Q8s,fold,0.9909
Q8s,call,0.0091
Q6s,fold,0.9999
Q6s,call,0.0001
Q4s,fold,0.9993
Q4s,call,0.0007
AJo,call,1.0
KJo,fold,0.993
KJo,call,0.007
QJo,fold,0.9949
QJo,call,0.0051
JJ,call,1.0
JTs,fold,0.9982
JTs,call,0.0018
J8s,fold,0.8872
J8s,call,0.1128
J6s,fold,0.999
J6s,call,0.001
ATo,fold,0.7484
ATo,call,0.2516
KTo,fold,0.9985
KTo,call,0.0015
QTo,fold,0.9955
QTo,call,0.0045
TT,call,1.0
T9s,fold,0.9657
T9s,call,0.0343
T8s,fold,0.9908
T8s,call,0.0092
T7s,fold,0.9973
T7s,call,0.0027
T4s,fold,0.9999
T4s,call,0.0001
T2s,fold,0.9999
T2s,call,0.0001
A9o,fold,0.967
A9o,call,0.033
K9o,fold,0.9915
K9o,call,0.0085
Q9o,fold,0.9995
Q9o,call,0.0005
J9o,fold,0.9969
J9o,call,0.0031
99,call,1.0
98s,fold,0.8018
98s,call,0.1982
97s,fold,0.9721
97s,call,0.0279
95s,fold,0.9991
95s,call,0.0009
93s,fold,0.9986
93s,call,0.0014
A8o,fold,0.9799
A8o,call,0.0201
K8o,fold,0.9999
K8o,call,0.0001
88,fold,0.021
88,call,0.979
A7o,fold,0.9922
A7o,call,0.0078
K7o,fold,0.9979
K7o,call,0.0021
77,fold,0.0005
77,call,0.9995
A6o,fold,0.9926
A6o,call,0.0074
66,fold,0.0161
66,call,0.9839
A5o,fold,0.9996
A5o,call,0.0004
K5o,fold,0.9964
K5o,call,0.0036
55,fold,0.7215
55,call,0.2785
A4o,fold,0.9959
A4o,call,0.0041
44,fold,0.997
44,call,0.003
33,fold,0.9327
33,call,0.0673
