# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 20bb: open 2.0bb; BU 2.0bb; SB 2.0bb; 3-bet IP all-in; 3-bet BB-vs-others all-in; 4-bet IP all-in
# App slot: lj vs3bet @ 20bb
# HRC node: id=608, seat=2, sequence=FFRRFFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 45.67%
notation,action,freq
AA,call,1.0
AKs,fold,0.0003
AKs,call,0.9997
AQs,fold,0.0019
AQs,call,0.9981
AJs,fold,0.1968
AJs,call,0.8032
ATs,fold,0.1315
ATs,call,0.8685
A9s,fold,0.9731
A9s,call,0.0269
A8s,fold,0.9918
A8s,call,0.0082
A7s,fold,0.9339
A7s,call,0.0661
A6s,fold,0.9862
A6s,call,0.0138
A5s,fold,0.9128
A5s,call,0.0872
A4s,fold,0.9916
A4s,call,0.0084
A3s,fold,0.9177
A3s,call,0.0823
A2s,fold,0.9965
A2s,call,0.0035
AKo,call,1.0
KK,call,1.0
KQs,fold,0.0412
KQs,call,0.9588
KJs,fold,0.8798
KJs,call,0.1202
KTs,fold,0.9322
KTs,call,0.0678
K9s,fold,0.7282
K9s,call,0.2718
K8s,fold,0.8809
K8s,call,0.1191
K7s,fold,0.9575
K7s,call,0.0425
K6s,fold,0.9967
K6s,call,0.0033
K5s,fold,0.9907
K5s,call,0.0093
K3s,fold,0.9955
K3s,call,0.0045
AQo,call,1.0
KQo,fold,0.8802
KQo,call,0.1198
QQ,call,1.0
QJs,fold,0.975
QJs,call,0.025
QTs,fold,0.9784
QTs,call,0.0216
Q9s,fold,0.9954
Q9s,call,0.0046
Q8s,fold,0.9953
Q8s,call,0.0047
Q5s,fold,1.0
AJo,fold,0.8639
AJo,call,0.1361
KJo,fold,0.998
KJo,call,0.002
QJo,fold,0.9982
QJo,call,0.0018
JJ,call,1.0
JTs,fold,0.9702
JTs,call,0.0298
J9s,fold,0.9838
J9s,call,0.0162
J8s,fold,0.985
J8s,call,0.015
J7s,fold,0.9932
J7s,call,0.0068
ATo,fold,0.8622
ATo,call,0.1378
KTo,fold,0.9927
KTo,call,0.0073
QTo,fold,0.9782
QTo,call,0.0218
JTo,fold,0.9995
JTo,call,0.0005
TT,call,1.0
T9s,fold,0.9901
T9s,call,0.0099
T3s,fold,0.9844
T3s,call,0.0156
A9o,fold,0.9582
A9o,call,0.0418
K9o,fold,0.999
K9o,call,0.001
J9o,fold,0.999
J9o,call,0.001
99,call,1.0
98s,fold,0.9995
98s,call,0.0005
95s,fold,0.988
95s,call,0.012
A8o,fold,0.9945
A8o,call,0.0055
Q8o,fold,0.9954
Q8o,call,0.0046
88,fold,0.0453
88,call,0.9547
A7o,fold,0.9938
A7o,call,0.0062
77,fold,0.1493
77,call,0.8507
76s,fold,0.9924
76s,call,0.0076
A6o,fold,0.9965
A6o,call,0.0035
66,fold,0.2438
66,call,0.7562
A5o,fold,0.9822
A5o,call,0.0178
55,fold,0.3452
55,call,0.6548
A4o,fold,0.9943
A4o,call,0.0057
A2o,fold,0.9977
A2o,call,0.0023
