# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.0bb', 'SIZES_OPEN_BU': '2.0bb', 'SIZES_OPEN_SB': '2.0bb', 'SIZES_OPEN_BB': '2.0bb', 'SIZES_OPEN_BB_VS_SB': '2.5bb', 'SIZES_3BET_IP': 'all-in', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': 'all-in', 'SIZES_3BET_SB_VS_BB': 'all-in', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': 'all-in', 'SIZES_4BET_OOP': 'all-in', 'SIZES_5BET_IP': 'all-in', 'SIZES_5BET_OOP': 'all-in'}
# App slot: lj vsopen @ 20bb
# HRC node: id=1550, seat=2, sequence=RF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 12.33%
notation,action,freq
AA,call,0.1081
AA,jam,0.8919
AKs,call,0.0012
AKs,jam,0.9988
AQs,call,0.0209
AQs,jam,0.9791
AJs,fold,0.0002
AJs,call,0.79
AJs,jam,0.2098
ATs,fold,0.0449
ATs,call,0.8422
ATs,jam,0.113
A9s,fold,0.7051
A9s,call,0.2926
A9s,jam,0.0023
A8s,fold,0.9267
A8s,call,0.0496
A8s,jam,0.0237
A7s,fold,0.8004
A7s,call,0.1173
A7s,jam,0.0823
A6s,fold,0.8987
A6s,call,0.0764
A6s,jam,0.0249
A5s,fold,0.6093
A5s,call,0.0311
A5s,jam,0.3595
A4s,fold,0.5872
A4s,call,0.0499
A4s,jam,0.3629
A3s,fold,0.945
A3s,call,0.0244
A3s,jam,0.0306
A2s,fold,0.9995
A2s,call,0.0002
A2s,jam,0.0003
AKo,call,0.3215
AKo,jam,0.6785
KK,call,0.4476
KK,jam,0.5524
KQs,fold,0.0053
KQs,call,0.7259
KQs,jam,0.2688
KJs,fold,0.2698
KJs,call,0.414
KJs,jam,0.3162
KTs,fold,0.528
KTs,call,0.4541
KTs,jam,0.0179
K9s,fold,0.8894
K9s,call,0.0399
K9s,jam,0.0707
K8s,fold,0.9926
K8s,call,0.0055
K8s,jam,0.0019
K7s,fold,0.9871
K7s,call,0.0021
K7s,jam,0.0108
K6s,fold,0.9991
K6s,call,0.0005
K6s,jam,0.0004
K5s,fold,0.9963
K5s,call,0.0007
K5s,jam,0.003
K4s,fold,0.9765
K4s,call,0.0234
K4s,jam,0.0001
K3s,fold,0.9839
K3s,call,0.0156
K3s,jam,0.0005
K2s,fold,0.9992
K2s,call,0.0004
K2s,jam,0.0004
AQo,call,0.8821
AQo,jam,0.1179
KQo,fold,0.5308
KQo,call,0.4587
KQo,jam,0.0105
QQ,call,0.9322
QQ,jam,0.0678
QJs,fold,0.7866
QJs,call,0.0678
QJs,jam,0.1455
QTs,fold,0.9907
QTs,call,0.008
QTs,jam,0.0013
Q9s,fold,0.7572
Q9s,call,0.1974
Q9s,jam,0.0455
Q8s,fold,0.9991
Q8s,call,0.0008
Q8s,jam,0.0001
Q7s,fold,0.9978
Q7s,call,0.0019
Q7s,jam,0.0003
Q6s,fold,0.9997
Q6s,call,0.0001
Q6s,jam,0.0002
Q5s,fold,0.9998
Q5s,call,0.0002
Q5s,jam,0.0001
Q4s,fold,0.9979
Q4s,call,0.0008
Q4s,jam,0.0013
Q3s,fold,0.9951
Q3s,call,0.0049
Q2s,fold,0.9997
Q2s,jam,0.0002
AJo,fold,0.0004
AJo,call,0.6096
AJo,jam,0.39
KJo,fold,0.986
KJo,call,0.0106
KJo,jam,0.0034
QJo,fold,0.9725
QJo,call,0.0208
QJo,jam,0.0067
JJ,call,0.5855
JJ,jam,0.4145
JTs,fold,0.914
JTs,call,0.0527
JTs,jam,0.0333
J9s,fold,0.9825
J9s,call,0.0165
J9s,jam,0.0009
J8s,fold,0.977
J8s,call,0.0006
J8s,jam,0.0224
J7s,fold,0.9989
J7s,call,0.0005
J7s,jam,0.0006
J6s,fold,0.999
J6s,call,0.0008
J6s,jam,0.0002
J5s,fold,0.9994
J5s,call,0.0002
J5s,jam,0.0005
J4s,fold,0.9971
J4s,call,0.0025
J4s,jam,0.0004
J3s,fold,0.9989
J3s,call,0.0011
J2s,fold,1.0
ATo,fold,0.4406
ATo,call,0.5401
ATo,jam,0.0192
KTo,fold,0.9958
KTo,call,0.0036
KTo,jam,0.0006
