# poker.academy CE-Symmetric — 20bb vsopen | hero LJ vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 20bb (GTO ChipEV, 1bb ante)
notation,action,freq
66,call,0.0499
66,fold,0.9501
77,call,0.1049
77,fold,0.8552
77,threeBet,0.0399
88,call,0.2239
88,jam,0.2239
88,threeBet,0.5522
99,call,0.0698
99,jam,0.8903
99,threeBet,0.0399
AA,call,0.1949
AA,threeBet,0.8051
AKs,jam,0.215
AKs,threeBet,0.785
AQs,call,0.0549
AQs,jam,0.5301
AQs,threeBet,0.415
AJs,call,0.2462
AJs,jam,0.7538
ATs,call,0.4301
ATs,jam,0.0698
ATs,threeBet,0.5001
A9s,call,0.1149
A9s,threeBet,0.8851
A8s,call,0.08
A8s,fold,0.695
A8s,threeBet,0.225
A5s,call,0.0451
A5s,fold,0.9549
AKo,jam,1.0
KK,call,0.085
KK,threeBet,0.915
KQs,jam,1.0
KJs,jam,1.0
KTs,call,0.3267
KTs,jam,0.2109
KTs,threeBet,0.4624
AQo,jam,0.91
AQo,threeBet,0.09
KQo,call,0.1909
KQo,fold,0.5729
KQo,threeBet,0.2362
QQ,call,0.1149
QQ,threeBet,0.8851
QJs,jam,1.0
QTs,call,0.1949
QTs,fold,0.8051
AJo,call,0.1749
AJo,fold,0.32
AJo,threeBet,0.5051
JJ,jam,0.92
JJ,threeBet,0.08
JTs,call,0.085
JTs,fold,0.915
ATo,fold,0.92
ATo,threeBet,0.08
TT,jam,0.925
TT,threeBet,0.075
T9s,call,0.01
T9s,fold,0.99
