# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 20bb: open 2.0bb; BU 2.0bb; SB 2.0bb; 3-bet IP all-in; 3-bet BB-vs-others all-in; 4-bet IP all-in
# App slot: sb unopened @ 20bb
# HRC node: id=6, seat=6, sequence=FFFFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 99.49%
notation,action,freq
AA,call,0.967
AA,raise,0.0329
AA,jam,0.0001
AKs,call,0.7841
AKs,raise,0.0206
AKs,jam,0.1953
AQs,call,0.6458
AQs,raise,0.0218
AQs,jam,0.3324
AJs,call,0.816
AJs,raise,0.0349
AJs,jam,0.1492
ATs,call,0.9211
ATs,raise,0.0002
ATs,jam,0.0786
A9s,call,0.3101
A9s,raise,0.0157
A9s,jam,0.6742
A8s,call,0.5378
A8s,raise,0.044
A8s,jam,0.4182
A7s,call,0.2514
A7s,raise,0.1122
A7s,jam,0.6365
A6s,fold,0.0001
A6s,call,0.019
A6s,raise,0.0243
A6s,jam,0.9567
A5s,call,0.9923
A5s,raise,0.0001
A5s,jam,0.0076
A4s,call,0.0456
A4s,jam,0.9544
A3s,call,0.0064
A3s,raise,0.0272
A3s,jam,0.9663
A2s,call,0.0324
A2s,raise,0.0001
A2s,jam,0.9675
AKo,call,0.3279
AKo,raise,0.006
AKo,jam,0.6661
KK,call,0.9932
KK,raise,0.0057
KK,jam,0.0011
KQs,call,0.5031
KQs,raise,0.1136
KQs,jam,0.3833
KJs,call,0.5394
KJs,raise,0.4044
KJs,jam,0.0563
KTs,call,0.9248
KTs,raise,0.0185
KTs,jam,0.0566
K9s,call,0.6115
K9s,raise,0.018
K9s,jam,0.3704
K8s,call,0.9343
K8s,raise,0.0117
K8s,jam,0.054
K7s,call,0.7438
K7s,raise,0.0058
K7s,jam,0.2504
K6s,fold,0.0009
K6s,call,0.0574
K6s,raise,0.0204
K6s,jam,0.9213
K5s,fold,0.0002
K5s,call,0.0243
K5s,raise,0.0326
K5s,jam,0.9429
K4s,fold,0.0001
K4s,call,0.6595
K4s,raise,0.2681
K4s,jam,0.0724
K3s,fold,0.0007
K3s,call,0.9307
K3s,raise,0.0634
K3s,jam,0.0052
K2s,fold,0.0002
K2s,call,0.831
K2s,raise,0.0176
K2s,jam,0.1512
AQo,call,0.5231
AQo,raise,0.0004
AQo,jam,0.4765
KQo,call,0.3392
KQo,raise,0.0056
KQo,jam,0.6552
QQ,call,0.9999
QQ,raise,0.0001
QJs,call,0.7699
QJs,raise,0.0002
QJs,jam,0.2299
QTs,call,0.861
QTs,raise,0.0712
QTs,jam,0.0678
Q9s,call,0.6143
Q9s,raise,0.3316
Q9s,jam,0.0541
Q8s,fold,0.0001
Q8s,call,0.1721
Q8s,raise,0.0015
Q8s,jam,0.8262
Q7s,call,0.9105
Q7s,raise,0.0405
Q7s,jam,0.049
Q6s,fold,0.0005
Q6s,call,0.9989
Q6s,raise,0.0001
Q6s,jam,0.0004
Q5s,fold,0.0001
Q5s,call,0.0452
Q5s,raise,0.0681
Q5s,jam,0.8866
Q4s,fold,0.0006
Q4s,call,0.9868
Q4s,raise,0.0064
Q4s,jam,0.0061
Q3s,fold,0.0058
Q3s,call,0.761
Q3s,raise,0.1933
Q3s,jam,0.0399
Q2s,fold,0.0001
Q2s,call,0.993
Q2s,raise,0.0008
Q2s,jam,0.0061
AJo,call,0.008
AJo,raise,0.0094
AJo,jam,0.9826
KJo,call,0.5832
KJo,raise,0.0269
KJo,jam,0.3899
QJo,call,0.262
QJo,raise,0.0009
QJo,jam,0.7371
JJ,call,0.9941
JJ,raise,0.0049
JJ,jam,0.001
JTs,call,0.2516
JTs,raise,0.0505
JTs,jam,0.6979
J9s,fold,0.0001
J9s,call,0.7979
J9s,raise,0.0071
J9s,jam,0.195
J8s,fold,0.0008
J8s,call,0.0683
J8s,raise,0.284
J8s,jam,0.6469
J7s,fold,0.0003
J7s,call,0.9329
J7s,raise,0.0029
J7s,jam,0.064
J6s,fold,0.0018
J6s,call,0.5842
J6s,raise,0.0238
J6s,jam,0.3901
J5s,fold,0.0006
J5s,call,0.9928
J5s,raise,0.0012
J5s,jam,0.0054
J4s,fold,0.0049
J4s,call,0.8687
J4s,raise,0.037
J4s,jam,0.0894
J3s,fold,0.0043
J3s,call,0.9721
J3s,raise,0.0205
J3s,jam,0.0031
J2s,fold,0.0053
J2s,call,0.9087
J2s,raise,0.0402
J2s,jam,0.0458
ATo,call,0.8385
ATo,raise,0.0003
ATo,jam,0.1613
KTo,call,0.0413
KTo,raise,0.013
KTo,jam,0.9457
QTo,call,0.1736
QTo,raise,0.0045
QTo,jam,0.8219
JTo,call,0.0243
JTo,raise,0.0011
JTo,jam,0.9746
TT,call,0.9997
TT,raise,0.0001
TT,jam,0.0001
T9s,call,0.0783
T9s,raise,0.0457
T9s,jam,0.876
T8s,fold,0.0017
T8s,call,0.2845
T8s,raise,0.0013
T8s,jam,0.7125
T7s,fold,0.0003
T7s,call,0.8585
T7s,raise,0.0096
T7s,jam,0.1316
T6s,fold,0.0003
T6s,raise,0.0008
T6s,jam,0.9989
T5s,fold,0.0114
T5s,call,0.9471
T5s,raise,0.0346
T5s,jam,0.0069
T4s,fold,0.0112
T4s,call,0.8727
T4s,raise,0.0002
T4s,jam,0.1159
T3s,fold,0.0426
T3s,call,0.7424
T3s,raise,0.0387
T3s,jam,0.1763
T2s,fold,0.0127
T2s,call,0.9744
T2s,raise,0.0113
T2s,jam,0.0017
A9o,call,0.3812
A9o,raise,0.0002
A9o,jam,0.6186
K9o,call,0.2547
K9o,raise,0.0164
K9o,jam,0.7289
Q9o,fold,0.0001
Q9o,call,0.9081
Q9o,raise,0.0779
Q9o,jam,0.0139
J9o,call,0.9744
J9o,raise,0.0243
J9o,jam,0.0013
T9o,fold,0.0011
T9o,call,0.5556
T9o,jam,0.4433
99,call,0.9964
99,raise,0.0002
99,jam,0.0034
98s,call,0.1983
98s,raise,0.0065
98s,jam,0.7952
97s,fold,0.0019
97s,call,0.2687
97s,raise,0.0366
97s,jam,0.6928
96s,fold,0.0013
96s,call,0.9604
96s,raise,0.0006
96s,jam,0.0377
95s,fold,0.0018
95s,call,0.9655
95s,raise,0.0009
95s,jam,0.0318
94s,fold,0.0003
94s,call,0.9763
94s,raise,0.0018
94s,jam,0.0215
93s,fold,0.0074
93s,call,0.9887
93s,raise,0.0027
93s,jam,0.0012
92s,fold,0.0012
92s,call,0.998
92s,raise,0.0007
92s,jam,0.0001
A8o,call,0.1862
A8o,raise,0.0001
A8o,jam,0.8138
K8o,call,0.9112
K8o,raise,0.0818
K8o,jam,0.007
Q8o,fold,0.0008
Q8o,call,0.9915
Q8o,raise,0.0065
Q8o,jam,0.0012
J8o,fold,0.0001
J8o,call,0.9978
J8o,raise,0.0019
J8o,jam,0.0002
T8o,fold,0.0005
T8o,call,0.9945
T8o,raise,0.0007
T8o,jam,0.0044
98o,fold,0.0005
98o,call,0.9984
98o,raise,0.0003
98o,jam,0.0008
88,call,0.9975
88,raise,0.0019
88,jam,0.0007
87s,fold,0.002
87s,call,0.0773
87s,raise,0.0039
87s,jam,0.9169
86s,fold,0.0048
86s,call,0.0141
86s,raise,0.0018
86s,jam,0.9792
85s,fold,0.0123
85s,call,0.474
85s,raise,0.0154
85s,jam,0.4984
84s,fold,0.0321
84s,call,0.9664
84s,raise,0.0014
83s,fold,0.013
83s,call,0.9788
83s,raise,0.002
83s,jam,0.0062
82s,fold,0.0053
82s,call,0.9935
82s,raise,0.0002
82s,jam,0.001
A7o,call,0.099
A7o,jam,0.9009
K7o,call,0.7779
K7o,raise,0.1575
K7o,jam,0.0646
Q7o,fold,0.0003
Q7o,call,0.9993
Q7o,raise,0.0004
J7o,fold,0.0001
J7o,call,0.9972
J7o,raise,0.0013
J7o,jam,0.0014
T7o,fold,0.0001
T7o,call,0.9997
T7o,raise,0.0002
97o,fold,0.0003
97o,call,0.9995
97o,raise,0.0001
97o,jam,0.0001
87o,fold,0.0016
87o,call,0.9957
87o,raise,0.001
87o,jam,0.0017
77,call,0.9708
77,raise,0.0004
77,jam,0.0289
76s,fold,0.0045
76s,call,0.0748
76s,raise,0.0006
76s,jam,0.9201
75s,fold,0.0163
75s,call,0.9715
75s,raise,0.0041
75s,jam,0.0082
74s,fold,0.0082
74s,call,0.9904
74s,raise,0.0001
74s,jam,0.0013
73s,fold,0.0129
73s,call,0.9528
73s,raise,0.0014
73s,jam,0.0329
72s,fold,0.0015
72s,call,0.9985
72s,raise,0.0001
A6o,call,0.0193
A6o,raise,0.0019
A6o,jam,0.9787
K6o,call,0.987
K6o,raise,0.0123
K6o,jam,0.0007
Q6o,call,0.9973
Q6o,raise,0.0021
Q6o,jam,0.0006
J6o,fold,0.0005
J6o,call,0.9957
J6o,raise,0.0037
J6o,jam,0.0002
T6o,fold,0.0002
T6o,call,0.9963
T6o,raise,0.0008
T6o,jam,0.0026
96o,fold,0.0002
96o,call,0.9997
96o,raise,0.0001
86o,fold,0.0006
86o,call,0.9992
86o,raise,0.0002
76o,fold,0.0007
76o,call,0.9993
66,call,0.6852
66,raise,0.0038
66,jam,0.311
65s,fold,0.007
65s,call,0.8927
65s,raise,0.0003
65s,jam,0.1
64s,fold,0.0053
64s,call,0.9743
64s,raise,0.0002
64s,jam,0.0202
63s,fold,0.0012
63s,call,0.9974
63s,raise,0.0013
62s,fold,0.0066
62s,call,0.9924
62s,jam,0.001
A5o,call,0.0357
A5o,raise,0.001
A5o,jam,0.9632
K5o,call,0.9852
K5o,raise,0.0002
K5o,jam,0.0146
Q5o,call,0.9994
Q5o,raise,0.0005
J5o,fold,0.0003
J5o,call,0.9993
J5o,raise,0.0004
T5o,fold,0.0004
T5o,call,0.9994
T5o,raise,0.0002
T5o,jam,0.0001
95o,fold,0.0011
95o,call,0.9984
95o,raise,0.0005
85o,fold,0.0008
85o,call,0.9991
85o,raise,0.0001
75o,fold,0.0005
75o,call,0.9995
65o,fold,0.0001
65o,call,0.9999
55,call,0.8203
55,raise,0.0016
55,jam,0.1782
54s,fold,0.0043
54s,call,0.7388
54s,jam,0.2568
53s,fold,0.0049
53s,call,0.8817
53s,jam,0.1134
52s,fold,0.0107
52s,call,0.9873
52s,raise,0.0015
52s,jam,0.0005
A4o,call,0.0005
A4o,raise,0.0003
A4o,jam,0.9993
K4o,call,0.9901
K4o,raise,0.0035
K4o,jam,0.0063
Q4o,fold,0.0001
Q4o,call,0.9953
Q4o,raise,0.0045
Q4o,jam,0.0001
J4o,call,0.9999
J4o,raise,0.0001
T4o,call,0.9998
T4o,jam,0.0002
94o,fold,0.0002
94o,call,0.9997
84o,fold,0.0007
84o,call,0.9993
74o,fold,0.0004
74o,call,0.9996
64o,fold,0.0014
64o,call,0.9985
64o,raise,0.0001
54o,fold,0.0024
54o,call,0.9976
44,call,0.2038
44,jam,0.7962
43s,fold,0.0082
43s,call,0.9898
43s,raise,0.0001
43s,jam,0.0019
42s,fold,0.0535
42s,call,0.9452
42s,raise,0.0004
42s,jam,0.0009
A3o,call,0.0678
A3o,raise,0.0004
A3o,jam,0.9318
K3o,fold,0.0001
K3o,call,0.9996
K3o,raise,0.0002
K3o,jam,0.0001
Q3o,call,0.9999
Q3o,raise,0.0001
J3o,fold,0.0044
J3o,call,0.9955
T3o,fold,0.0001
T3o,call,0.9998
93o,fold,0.0007
93o,call,0.9993
83o,fold,0.0004
83o,call,0.9996
73o,fold,0.0041
73o,call,0.9959
63o,fold,0.0031
63o,call,0.9969
53o,fold,0.0006
53o,call,0.9994
43o,fold,0.001
43o,call,0.999
33,call,0.0096
33,raise,0.0012
33,jam,0.9893
32s,fold,0.0659
32s,call,0.9292
32s,raise,0.0002
32s,jam,0.0047
A2o,raise,0.003
A2o,jam,0.9969
K2o,fold,0.0001
K2o,call,0.9985
K2o,raise,0.0003
K2o,jam,0.0011
Q2o,fold,0.0001
Q2o,call,0.9997
Q2o,raise,0.0001
J2o,call,1.0
T2o,fold,0.0004
T2o,call,0.9982
T2o,raise,0.0013
T2o,jam,0.0001
92o,fold,0.0002
92o,call,0.9997
82o,fold,0.0004
82o,call,0.9996
72o,fold,0.005
72o,call,0.995
62o,fold,0.0044
62o,call,0.9956
52o,fold,0.0071
52o,call,0.9929
42o,fold,0.0019
42o,call,0.9981
32o,fold,0.4105
32o,call,0.5895
22,fold,0.0001
22,jam,0.9999
