# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 20bb: open 2.0bb; BU 2.0bb; SB 2.0bb; 3-bet IP all-in; 3-bet BB-vs-others all-in; 4-bet IP all-in
# App slot: sb vs3bet @ 20bb
# HRC node: id=12, seat=6, sequence=FFFFFFRR
# Actions at node: ['fold', 'call']
# VPIP estimate: 47.25%
notation,action,freq
AA,call,1.0
AKs,call,1.0
AQs,call,1.0
AJs,fold,0.0001
AJs,call,0.9999
ATs,call,1.0
A9s,call,1.0
A8s,fold,0.0001
A8s,call,0.9999
A7s,fold,0.0022
A7s,call,0.9978
A6s,fold,0.0031
A6s,call,0.9969
A5s,fold,0.0074
A5s,call,0.9926
A3s,fold,0.0008
A3s,call,0.9992
A2s,fold,0.0857
A2s,call,0.9143
AKo,call,1.0
KK,call,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,fold,0.0334
K9s,call,0.9666
K8s,fold,0.5622
K8s,call,0.4378
K7s,fold,0.0806
K7s,call,0.9194
K6s,fold,0.5674
K6s,call,0.4326
K5s,fold,0.4063
K5s,call,0.5937
K4s,fold,0.9735
K4s,call,0.0265
K3s,fold,0.9968
K3s,call,0.0032
K2s,fold,0.9761
K2s,call,0.0239
AQo,call,1.0
KQo,fold,0.0001
KQo,call,0.9999
QQ,call,1.0
QJs,fold,0.095
QJs,call,0.905
QTs,fold,0.0099
QTs,call,0.9901
Q9s,fold,0.003
Q9s,call,0.997
Q8s,fold,0.4806
Q8s,call,0.5194
Q7s,fold,0.9966
Q7s,call,0.0034
Q6s,fold,0.991
Q6s,call,0.009
Q5s,fold,0.9806
Q5s,call,0.0194
Q4s,fold,0.9929
Q4s,call,0.0071
Q3s,fold,0.9929
Q3s,call,0.0071
Q2s,fold,0.9946
Q2s,call,0.0054
AJo,call,1.0
KJo,call,1.0
QJo,fold,0.1031
QJo,call,0.8969
JJ,call,1.0
JTs,fold,0.1058
JTs,call,0.8942
J9s,fold,0.071
J9s,call,0.929
J8s,fold,0.9611
J8s,call,0.0389
J7s,fold,0.9656
J7s,call,0.0344
J6s,fold,0.9981
J6s,call,0.0019
J5s,fold,0.9739
J5s,call,0.0261
J4s,fold,0.9991
J4s,call,0.0009
J3s,fold,0.9968
J3s,call,0.0032
J2s,fold,0.9969
J2s,call,0.0031
ATo,call,1.0
KTo,fold,0.0001
KTo,call,0.9999
QTo,fold,0.0207
QTo,call,0.9793
JTo,fold,0.8344
JTo,call,0.1656
TT,call,1.0
T9s,fold,0.7597
T9s,call,0.2403
T8s,fold,0.9959
T8s,call,0.0041
T7s,fold,0.9999
T7s,call,0.0001
T6s,fold,0.9963
T6s,call,0.0037
T5s,fold,0.9999
T5s,call,0.0001
T4s,fold,0.9954
T4s,call,0.0046
T3s,fold,0.9987
T3s,call,0.0013
T2s,fold,0.9927
T2s,call,0.0073
A9o,call,1.0
K9o,fold,0.3766
K9o,call,0.6234
Q9o,fold,0.9994
Q9o,call,0.0006
J9o,fold,0.9973
J9o,call,0.0027
99,call,1.0
98s,fold,0.9857
98s,call,0.0143
97s,fold,0.9995
97s,call,0.0005
96s,fold,0.9982
96s,call,0.0018
95s,fold,0.9879
95s,call,0.0121
94s,fold,0.9989
94s,call,0.0011
93s,fold,0.9982
93s,call,0.0018
92s,fold,0.9999
92s,call,0.0001
A8o,call,1.0
K8o,fold,0.9944
K8o,call,0.0056
Q8o,fold,0.9971
Q8o,call,0.0029
J8o,fold,0.9996
J8o,call,0.0004
T8o,fold,0.9933
T8o,call,0.0067
98o,fold,0.9997
98o,call,0.0003
88,call,1.0
87s,fold,1.0
86s,fold,0.9961
86s,call,0.0039
85s,fold,0.9994
85s,call,0.0006
84s,fold,0.9981
84s,call,0.0019
83s,fold,0.9993
83s,call,0.0007
82s,fold,0.9968
82s,call,0.0032
K7o,fold,0.9965
K7o,call,0.0035
Q7o,fold,0.9992
Q7o,call,0.0008
J7o,fold,1.0
T7o,fold,0.9996
T7o,call,0.0004
97o,fold,1.0
87o,fold,0.9996
87o,call,0.0004
77,call,1.0
76s,fold,0.988
76s,call,0.012
75s,fold,0.9997
75s,call,0.0003
74s,fold,0.9995
74s,call,0.0005
73s,fold,0.9995
73s,call,0.0005
72s,fold,1.0
A6o,fold,0.0001
A6o,call,0.9999
K6o,fold,0.9998
K6o,call,0.0002
Q6o,fold,0.9991
Q6o,call,0.0009
J6o,fold,0.9996
J6o,call,0.0004
T6o,fold,0.9999
T6o,call,0.0001
96o,fold,1.0
86o,fold,0.9997
86o,call,0.0003
66,fold,0.0001
66,call,0.9999
65s,fold,0.9984
65s,call,0.0016
64s,fold,0.9999
64s,call,0.0001
63s,fold,1.0
A5o,fold,0.0464
A5o,call,0.9536
K5o,fold,0.9983
K5o,call,0.0017
Q5o,fold,1.0
J5o,fold,0.9999
J5o,call,0.0001
T5o,fold,1.0
95o,fold,1.0
85o,fold,1.0
55,fold,0.0003
55,call,0.9997
52s,fold,1.0
A4o,call,1.0
K4o,fold,0.9987
K4o,call,0.0013
Q4o,fold,1.0
J4o,fold,0.9995
J4o,call,0.0005
64o,fold,1.0
43s,fold,0.9999
43s,call,0.0001
42s,fold,1.0
A3o,fold,0.0095
A3o,call,0.9905
K3o,fold,0.9995
K3o,call,0.0005
Q3o,fold,0.9976
Q3o,call,0.0024
33,fold,0.0003
33,call,0.9997
32s,fold,0.9989
32s,call,0.0011
A2o,fold,0.1615
A2o,call,0.8385
K2o,fold,0.9994
K2o,call,0.0006
Q2o,fold,1.0
T2o,fold,1.0
