# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.0bb', 'SIZES_OPEN_BU': '2.0bb', 'SIZES_OPEN_SB': '2.0bb', 'SIZES_OPEN_BB': '2.0bb', 'SIZES_OPEN_BB_VS_SB': '2.5bb', 'SIZES_3BET_IP': 'all-in', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': 'all-in', 'SIZES_3BET_SB_VS_BB': 'all-in', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': 'all-in', 'SIZES_4BET_OOP': 'all-in', 'SIZES_5BET_IP': 'all-in', 'SIZES_5BET_OOP': 'all-in'}
# App slot: sb vsopen @ 20bb
# HRC node: id=1554, seat=6, sequence=RFFFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 54.10%
notation,action,freq
AA,jam,1.0
AKs,jam,1.0
AQs,fold,0.0028
AQs,call,0.0241
AQs,jam,0.9731
AJs,fold,0.0019
AJs,call,0.831
AJs,jam,0.167
ATs,fold,0.0063
ATs,call,0.6767
ATs,jam,0.317
A9s,fold,0.0134
A9s,call,0.9787
A9s,jam,0.0078
A8s,fold,0.0024
A8s,call,0.6474
A8s,jam,0.3502
A7s,fold,0.0027
A7s,call,0.9969
A7s,jam,0.0004
A6s,fold,0.0093
A6s,call,0.6986
A6s,jam,0.2921
A5s,fold,0.0014
A5s,call,0.9699
A5s,jam,0.0287
A4s,fold,0.1486
A4s,call,0.6563
A4s,jam,0.1951
A3s,fold,0.0104
A3s,call,0.9381
A3s,jam,0.0516
A2s,fold,0.006
A2s,call,0.525
A2s,jam,0.4689
AKo,jam,1.0
KK,call,0.0001
KK,jam,0.9999
KQs,fold,0.0008
KQs,call,0.7957
KQs,jam,0.2035
KJs,fold,0.0037
KJs,call,0.2168
KJs,jam,0.7795
KTs,fold,0.0819
KTs,call,0.8999
KTs,jam,0.0181
K9s,fold,0.0492
K9s,call,0.8948
K9s,jam,0.056
K8s,fold,0.3163
K8s,call,0.487
K8s,jam,0.1968
K7s,fold,0.003
K7s,call,0.9967
K7s,jam,0.0003
K6s,fold,0.0781
K6s,call,0.9219
K5s,fold,0.4363
K5s,call,0.5604
K5s,jam,0.0033
K4s,fold,0.0541
K4s,call,0.5761
K4s,jam,0.3698
K3s,fold,0.0286
K3s,call,0.9714
K2s,fold,0.0451
K2s,call,0.5494
K2s,jam,0.4055
AQo,call,0.0195
AQo,jam,0.9805
KQo,fold,0.0017
KQo,call,0.5183
KQo,jam,0.4801
QQ,jam,1.0
QJs,fold,0.0275
QJs,call,0.7666
QJs,jam,0.206
QTs,fold,0.0152
QTs,call,0.9765
QTs,jam,0.0083
Q9s,fold,0.0737
Q9s,call,0.8839
Q9s,jam,0.0424
Q8s,fold,0.4743
Q8s,call,0.3699
Q8s,jam,0.1558
Q7s,fold,0.3193
Q7s,call,0.6805
Q7s,jam,0.0002
Q6s,fold,0.1186
Q6s,call,0.8814
Q5s,fold,0.3091
Q5s,call,0.4833
Q5s,jam,0.2076
Q4s,fold,0.7652
Q4s,call,0.2348
Q3s,fold,0.0953
Q3s,call,0.9047
Q2s,fold,0.2899
Q2s,call,0.7097
Q2s,jam,0.0005
AJo,call,0.9706
AJo,jam,0.0294
KJo,fold,0.0011
KJo,call,0.9984
KJo,jam,0.0005
QJo,fold,0.0083
QJo,call,0.9917
JJ,call,0.0001
JJ,jam,0.9999
JTs,fold,0.0074
JTs,call,0.9915
JTs,jam,0.0011
J9s,fold,0.0292
J9s,call,0.8143
J9s,jam,0.1566
J8s,fold,0.0867
J8s,call,0.9039
J8s,jam,0.0094
J7s,fold,0.984
J7s,call,0.0159
J7s,jam,0.0001
J6s,fold,0.2472
J6s,call,0.7148
J6s,jam,0.038
J5s,fold,0.3685
J5s,call,0.6311
J5s,jam,0.0004
J4s,fold,0.0536
J4s,call,0.946
J4s,jam,0.0004
J3s,fold,0.6684
J3s,call,0.3252
J3s,jam,0.0064
