# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs utg1 open @ 20bb
# HRC node: id=670, seat=6, sequence=FRFFFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 49.19%
notation,action,freq
AA,jam,1.0
AKs,call,0.0001
AKs,jam,0.9999
AQs,fold,0.0002
AQs,call,0.0013
AQs,jam,0.9986
AJs,fold,0.0004
AJs,call,0.3189
AJs,jam,0.6807
ATs,fold,0.0025
ATs,call,0.8474
ATs,jam,0.1501
A9s,call,0.7494
A9s,jam,0.2506
A8s,fold,0.0067
A8s,call,0.6185
A8s,jam,0.3748
A7s,fold,0.0023
A7s,call,0.9822
A7s,jam,0.0156
A6s,fold,0.2594
A6s,call,0.5682
A6s,jam,0.1724
A5s,fold,0.0469
A5s,call,0.9147
A5s,jam,0.0385
A4s,fold,0.0131
A4s,call,0.3005
A4s,jam,0.6864
A3s,fold,0.0147
A3s,call,0.5099
A3s,jam,0.4754
A2s,fold,0.2387
A2s,call,0.6273
A2s,jam,0.134
AKo,call,0.0001
AKo,jam,0.9999
KK,jam,1.0
KQs,fold,0.0255
KQs,call,0.7677
KQs,jam,0.2068
KJs,fold,0.0014
KJs,call,0.316
KJs,jam,0.6827
KTs,fold,0.0712
KTs,call,0.5764
KTs,jam,0.3524
K9s,fold,0.0032
K9s,call,0.6402
K9s,jam,0.3566
K8s,fold,0.0992
K8s,call,0.2101
K8s,jam,0.6906
K7s,fold,0.0446
K7s,call,0.9215
K7s,jam,0.0339
K6s,fold,0.0212
K6s,call,0.8816
K6s,jam,0.0972
K5s,fold,0.2354
K5s,call,0.7523
K5s,jam,0.0124
K4s,fold,0.3956
K4s,call,0.4496
K4s,jam,0.1548
K3s,fold,0.3965
K3s,call,0.5487
K3s,jam,0.0548
K2s,fold,0.6726
K2s,call,0.3084
K2s,jam,0.019
AQo,call,0.0921
AQo,jam,0.9079
KQo,fold,0.0002
KQo,call,0.7664
KQo,jam,0.2334
QQ,jam,1.0
QJs,fold,0.1602
QJs,call,0.4136
QJs,jam,0.4263
QTs,fold,0.0016
QTs,call,0.8644
QTs,jam,0.134
Q9s,fold,0.13
Q9s,call,0.5455
Q9s,jam,0.3245
Q8s,fold,0.0148
Q8s,call,0.9852
Q7s,fold,0.5762
Q7s,call,0.3858
Q7s,jam,0.038
Q6s,fold,0.2135
Q6s,call,0.7862
Q6s,jam,0.0003
Q5s,fold,0.7479
Q5s,call,0.2238
Q5s,jam,0.0283
Q4s,fold,0.5006
Q4s,call,0.4989
Q4s,jam,0.0005
Q3s,fold,0.1012
Q3s,call,0.8873
Q3s,jam,0.0115
Q2s,fold,0.2795
Q2s,call,0.7205
AJo,call,0.963
AJo,jam,0.037
KJo,fold,0.0019
KJo,call,0.9613
KJo,jam,0.0368
QJo,fold,0.0171
QJo,call,0.9827
QJo,jam,0.0003
JJ,jam,0.9999
JTs,fold,0.0076
JTs,call,0.9903
JTs,jam,0.002
J9s,fold,0.2408
J9s,call,0.7589
J9s,jam,0.0004
J8s,fold,0.2806
J8s,call,0.6891
J8s,jam,0.0304
J7s,fold,0.2475
J7s,call,0.752
J7s,jam,0.0005
J6s,fold,0.9051
J6s,call,0.0949
J5s,fold,0.1883
J5s,call,0.8057
J5s,jam,0.006
J4s,fold,0.6412
J4s,call,0.3588
J3s,fold,0.6642
J3s,call,0.3358
J3s,jam,0.0001
J2s,fold,0.9852
J2s,call,0.0144
J2s,jam,0.0004
ATo,fold,0.0017
ATo,call,0.9881
ATo,jam,0.0101
KTo,fold,0.0078
KTo,call,0.9425
KTo,jam,0.0498
QTo,fold,0.0078
QTo,call,0.9921
QTo,jam,0.0001
JTo,fold,0.0176
JTo,call,0.9818
JTo,jam,0.0006
TT,call,0.4039
TT,jam,0.596
T9s,fold,0.0042
T9s,call,0.9841
T9s,jam,0.0118
T8s,fold,0.7293
T8s,call,0.2473
T8s,jam,0.0235
T7s,fold,0.4248
T7s,call,0.5142
T7s,jam,0.061
T6s,fold,0.3698
T6s,call,0.6302
T6s,jam,0.0001
T5s,fold,0.9986
T5s,call,0.0013
T5s,jam,0.0001
T4s,fold,0.3602
T4s,call,0.6398
T3s,fold,0.9936
T3s,call,0.0064
T3s,jam,0.0001
T2s,fold,0.8288
T2s,call,0.1712
A9o,fold,0.0006
A9o,call,0.9958
A9o,jam,0.0037
K9o,fold,0.5387
K9o,call,0.4613
K9o,jam,0.0001
Q9o,fold,0.0307
Q9o,call,0.9692
Q9o,jam,0.0001
J9o,fold,0.1575
J9o,call,0.8425
T9o,fold,0.6107
T9o,call,0.3893
T9o,jam,0.0001
99,fold,0.0026
99,call,0.3893
99,jam,0.6082
98s,fold,0.0554
98s,call,0.9446
97s,fold,0.4225
97s,call,0.5772
97s,jam,0.0002
96s,fold,0.4687
96s,call,0.5271
96s,jam,0.0042
95s,fold,0.4303
95s,call,0.5697
94s,fold,0.996
94s,call,0.004
93s,fold,0.9375
93s,call,0.0587
93s,jam,0.0039
92s,fold,0.9271
92s,call,0.0729
A8o,fold,0.0005
A8o,call,0.9994
K8o,fold,0.4437
K8o,call,0.5562
K8o,jam,0.0001
