# poker.academy CE-Symmetric — 20bb vsopen | hero SB vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 20bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,jam,1.0
33,jam,1.0
44,jam,1.0
55,jam,1.0
66,jam,1.0
77,jam,1.0
88,jam,1.0
99,jam,1.0
AA,call,0.99
AA,threeBet,0.01
AKs,jam,1.0
AQs,jam,1.0
AJs,jam,1.0
ATs,jam,1.0
A9s,jam,1.0
A8s,jam,1.0
A7s,call,0.1199
A7s,jam,0.8801
A6s,call,0.08
A6s,jam,0.92
A5s,jam,1.0
A4s,jam,1.0
A3s,call,0.9701
A3s,jam,0.0299
A2s,call,1.0
AKo,jam,1.0
KK,jam,1.0
KQs,jam,1.0
KJs,call,1.0
KTs,jam,1.0
K9s,call,0.785
K9s,jam,0.215
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
AQo,jam,1.0
KQo,jam,1.0
QQ,jam,1.0
QJs,jam,1.0
QTs,jam,1.0
Q9s,call,1.0
Q8s,call,1.0
AJo,jam,1.0
KJo,call,0.465
KJo,jam,0.535
QJo,call,0.6399
QJo,jam,0.3601
JJ,jam,1.0
JTs,jam,1.0
J9s,call,0.38
J9s,jam,0.62
J8s,call,1.0
ATo,jam,1.0
KTo,call,1.0
QTo,call,1.0
JTo,call,0.5328
JTo,fold,0.2863
JTo,jam,0.1809
TT,jam,1.0
T9s,call,0.525
T9s,jam,0.475
T8s,call,1.0
A9o,call,0.4874
A9o,jam,0.5126
98s,call,1.0
A8o,call,0.9549
A8o,jam,0.0451
87s,call,1.0
A7o,call,0.2512
A7o,fold,0.7488
76s,call,0.785
76s,fold,0.215
65s,call,0.6451
65s,fold,0.3549
A5o,call,0.1305
A5o,fold,0.8695
54s,call,1.0
