# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 20bb: open 2.0bb; BU 2.0bb; SB 2.0bb; 3-bet IP all-in; 3-bet BB-vs-others all-in; 4-bet IP all-in
# App slot: utg1 vs3bet @ 20bb
# HRC node: id=1428, seat=1, sequence=FRRFFFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 41.96%
notation,action,freq
AA,call,1.0
AKs,fold,0.0001
AKs,call,0.9999
AQs,fold,0.4638
AQs,call,0.5362
AJs,fold,0.3614
AJs,call,0.6386
ATs,fold,0.8802
ATs,call,0.1198
A9s,fold,0.9952
A9s,call,0.0048
A8s,fold,0.7492
A8s,call,0.2508
A7s,fold,0.9672
A7s,call,0.0328
A6s,fold,0.9949
A6s,call,0.0051
A5s,fold,0.98
A5s,call,0.02
A4s,fold,0.8273
A4s,call,0.1727
A3s,fold,0.9945
A3s,call,0.0055
AKo,call,1.0
KK,call,1.0
KQs,fold,0.8526
KQs,call,0.1474
KJs,fold,0.9732
KJs,call,0.0268
KTs,fold,0.9766
KTs,call,0.0234
K9s,fold,0.9289
K9s,call,0.0711
K8s,fold,0.9957
K8s,call,0.0043
K7s,fold,0.9097
K7s,call,0.0903
K6s,fold,0.8386
K6s,call,0.1614
K5s,fold,0.7436
K5s,call,0.2564
K4s,fold,0.9866
K4s,call,0.0134
AQo,fold,0.0445
AQo,call,0.9555
KQo,fold,0.9939
KQo,call,0.0061
QQ,call,1.0
QJs,fold,0.9425
QJs,call,0.0575
QTs,fold,0.6131
QTs,call,0.3869
Q9s,fold,0.971
Q9s,call,0.029
Q8s,fold,0.976
Q8s,call,0.024
Q4s,fold,0.993
Q4s,call,0.007
AJo,fold,0.8787
AJo,call,0.1213
KJo,fold,0.9764
KJo,call,0.0236
QJo,fold,0.9876
QJo,call,0.0124
JJ,call,1.0
JTs,fold,0.9227
JTs,call,0.0773
J9s,fold,0.9975
J9s,call,0.0025
J8s,fold,0.8983
J8s,call,0.1017
J7s,fold,0.9867
J7s,call,0.0133
J6s,fold,0.9986
J6s,call,0.0014
ATo,fold,0.9524
ATo,call,0.0476
KTo,fold,0.9895
KTo,call,0.0105
QTo,fold,0.9963
QTo,call,0.0037
JTo,fold,0.9795
JTo,call,0.0205
TT,call,1.0
T8s,fold,0.9803
T8s,call,0.0197
T6s,fold,0.9998
T6s,call,0.0002
A9o,fold,0.9871
A9o,call,0.0129
K9o,fold,0.9956
K9o,call,0.0044
Q9o,fold,0.9985
Q9o,call,0.0015
J9o,fold,0.9848
J9o,call,0.0152
99,fold,0.012
99,call,0.988
98s,fold,0.8325
98s,call,0.1675
97s,fold,0.995
97s,call,0.005
96s,fold,0.971
96s,call,0.029
A8o,fold,0.9879
A8o,call,0.0121
J8o,fold,0.9988
J8o,call,0.0012
88,fold,0.0006
88,call,0.9994
86s,fold,0.9951
86s,call,0.0049
A7o,fold,0.9932
A7o,call,0.0068
77,fold,0.4806
77,call,0.5194
76s,fold,0.9961
76s,call,0.0039
75s,fold,0.9583
75s,call,0.0417
66,fold,0.5743
66,call,0.4257
A5o,fold,0.9937
A5o,call,0.0063
55,fold,0.8183
55,call,0.1817
54s,fold,0.9975
54s,call,0.0025
A4o,fold,0.9988
A4o,call,0.0012
44,fold,0.9091
44,call,0.0909
