# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.0bb', 'SIZES_OPEN_BU': '2.0bb', 'SIZES_OPEN_SB': '2.0bb', 'SIZES_OPEN_BB': '2.0bb', 'SIZES_OPEN_BB_VS_SB': '2.5bb', 'SIZES_3BET_IP': 'all-in', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': 'all-in', 'SIZES_3BET_SB_VS_BB': 'all-in', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': 'all-in', 'SIZES_4BET_OOP': 'all-in', 'SIZES_5BET_IP': 'all-in', 'SIZES_5BET_OOP': 'all-in'}
# App slot: utg1 vsopen @ 20bb
# HRC node: id=1549, seat=1, sequence=R
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 12.15%
notation,action,freq
AA,call,0.8407
AA,jam,0.1593
AKs,fold,0.0002
AKs,call,0.0028
AKs,jam,0.997
AQs,call,0.8093
AQs,jam,0.1907
AJs,fold,0.0001
AJs,call,0.8391
AJs,jam,0.1609
ATs,fold,0.0076
ATs,call,0.8545
ATs,jam,0.1379
A9s,fold,0.9861
A9s,call,0.0057
A9s,jam,0.0082
A8s,fold,0.9698
A8s,call,0.018
A8s,jam,0.0122
A7s,fold,0.7906
A7s,call,0.2018
A7s,jam,0.0076
A6s,fold,0.9656
A6s,call,0.0309
A6s,jam,0.0034
A5s,fold,0.6896
A5s,call,0.1866
A5s,jam,0.1239
A4s,fold,0.7358
A4s,call,0.2365
A4s,jam,0.0277
A3s,fold,0.9499
A3s,call,0.0377
A3s,jam,0.0124
A2s,fold,0.7586
A2s,call,0.2379
A2s,jam,0.0035
AKo,call,0.6532
AKo,jam,0.3468
KK,call,0.834
KK,jam,0.166
KQs,call,0.5146
KQs,jam,0.4854
KJs,fold,0.1627
KJs,call,0.6894
KJs,jam,0.1479
KTs,fold,0.2854
KTs,call,0.6363
KTs,jam,0.0783
K9s,fold,0.9705
K9s,call,0.0274
K9s,jam,0.0021
K8s,fold,0.9884
K8s,call,0.0069
K8s,jam,0.0046
K7s,fold,0.9937
K7s,call,0.0039
K7s,jam,0.0024
K6s,fold,0.9667
K6s,call,0.0313
K6s,jam,0.002
K5s,fold,0.9951
K5s,call,0.0001
K5s,jam,0.0048
K4s,fold,0.9868
K4s,call,0.009
K4s,jam,0.0042
K3s,fold,0.9718
K3s,call,0.0282
K2s,fold,0.9895
K2s,call,0.0095
K2s,jam,0.001
AQo,call,0.4548
AQo,jam,0.5451
KQo,fold,0.0997
KQo,call,0.8074
KQo,jam,0.0929
QQ,call,0.875
QQ,jam,0.125
QJs,fold,0.6781
QJs,call,0.1602
QJs,jam,0.1617
QTs,fold,0.7876
QTs,call,0.2064
QTs,jam,0.0061
Q9s,fold,0.9588
Q9s,call,0.022
Q9s,jam,0.0191
Q8s,fold,0.998
Q8s,call,0.0012
Q8s,jam,0.0008
Q7s,fold,0.9853
Q7s,call,0.0143
Q7s,jam,0.0004
Q6s,fold,0.9953
Q6s,call,0.0031
Q6s,jam,0.0016
Q5s,fold,0.99
Q5s,call,0.0091
Q5s,jam,0.0009
Q4s,fold,0.9962
Q4s,call,0.0025
Q4s,jam,0.0013
Q3s,fold,0.9875
Q3s,call,0.0124
Q3s,jam,0.0001
Q2s,fold,0.9924
Q2s,call,0.0013
Q2s,jam,0.0062
AJo,fold,0.3193
AJo,call,0.6781
AJo,jam,0.0026
KJo,fold,0.9773
KJo,call,0.0115
KJo,jam,0.0112
QJo,fold,0.9934
QJo,call,0.0023
QJo,jam,0.0042
JJ,call,0.1073
JJ,jam,0.8927
JTs,fold,0.4475
JTs,call,0.5196
JTs,jam,0.0328
J9s,fold,0.9959
J9s,call,0.0036
J9s,jam,0.0005
J8s,fold,0.9643
J8s,call,0.0305
J8s,jam,0.0052
J7s,fold,0.9903
J7s,call,0.0068
J7s,jam,0.0029
J6s,fold,0.9985
J6s,call,0.0012
J6s,jam,0.0003
J5s,fold,0.9994
J5s,call,0.0004
J5s,jam,0.0002
J4s,fold,0.9983
J4s,call,0.0016
J4s,jam,0.0001
J3s,fold,0.9506
J3s,call,0.0443
J3s,jam,0.0051
J2s,fold,0.9997
