# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb (400000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.0bb', 'SIZES_OPEN_BU': '2.0bb', 'SIZES_OPEN_SB': '2.0bb', 'SIZES_OPEN_BB': '2.0bb', 'SIZES_OPEN_BB_VS_SB': '2.5bb', 'SIZES_3BET_IP': 'all-in', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': 'all-in', 'SIZES_3BET_SB_VS_BB': 'all-in', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': 'all-in', 'SIZES_4BET_OOP': 'all-in', 'SIZES_5BET_IP': 'all-in', 'SIZES_5BET_OOP': 'all-in'}
# App slot: utg vs3bet @ 20bb
# HRC node: id=3146, seat=0, sequence=RRFFFFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 47.29%
notation,action,freq
AA,call,1.0
AKs,fold,0.001
AKs,call,0.999
AQs,fold,0.1178
AQs,call,0.8822
AJs,fold,0.0567
AJs,call,0.9433
ATs,fold,0.9683
ATs,call,0.0317
A9s,fold,0.985
A9s,call,0.015
A8s,fold,0.9485
A8s,call,0.0515
A7s,fold,0.9254
A7s,call,0.0746
A6s,fold,0.9832
A6s,call,0.0168
A5s,fold,0.7403
A5s,call,0.2597
A4s,fold,0.9907
A4s,call,0.0093
A3s,fold,0.9935
A3s,call,0.0065
A2s,fold,0.5579
A2s,call,0.4421
AKo,call,1.0
KK,call,1.0
KQs,fold,0.9472
KQs,call,0.0528
KJs,fold,0.9014
KJs,call,0.0986
KTs,fold,0.9772
KTs,call,0.0228
K9s,fold,0.949
K9s,call,0.051
K8s,fold,0.9968
K8s,call,0.0032
K7s,fold,0.9944
K7s,call,0.0056
K6s,fold,0.9945
K6s,call,0.0055
K5s,fold,0.9952
K5s,call,0.0048
K4s,fold,0.9975
K4s,call,0.0025
K3s,fold,0.9847
K3s,call,0.0153
K2s,fold,0.9809
K2s,call,0.0191
AQo,call,1.0
KQo,fold,0.9545
KQo,call,0.0455
QQ,call,1.0
QJs,fold,0.9463
QJs,call,0.0537
QTs,fold,0.9501
QTs,call,0.0499
Q9s,fold,0.9979
Q9s,call,0.0021
Q8s,fold,0.9172
Q8s,call,0.0828
Q7s,fold,0.9946
Q7s,call,0.0054
Q6s,fold,0.9963
Q6s,call,0.0037
Q5s,fold,0.9529
Q5s,call,0.0471
Q4s,fold,0.9762
Q4s,call,0.0238
AJo,fold,0.7043
AJo,call,0.2957
KJo,fold,0.9547
KJo,call,0.0453
QJo,fold,0.9734
QJo,call,0.0266
JJ,fold,0.0002
JJ,call,0.9998
JTs,fold,0.6202
JTs,call,0.3798
J9s,fold,0.9963
J9s,call,0.0037
J8s,fold,0.9968
J8s,call,0.0032
J7s,fold,0.9866
J7s,call,0.0134
J2s,fold,0.9971
J2s,call,0.0029
ATo,fold,0.9706
ATo,call,0.0294
KTo,fold,0.9936
KTo,call,0.0064
QTo,fold,0.9963
QTo,call,0.0037
JTo,fold,0.9838
JTo,call,0.0162
TT,fold,0.0001
TT,call,0.9999
T9s,fold,0.9558
T9s,call,0.0442
T8s,fold,0.9771
T8s,call,0.0229
T4s,fold,0.996
T4s,call,0.004
T2s,fold,0.9999
T2s,call,0.0001
A9o,fold,0.9615
A9o,call,0.0385
K9o,fold,0.9962
K9o,call,0.0038
Q9o,fold,0.9858
Q9o,call,0.0142
J9o,fold,0.999
J9o,call,0.001
99,fold,0.0503
99,call,0.9497
98s,fold,0.9187
98s,call,0.0813
95s,fold,0.9988
95s,call,0.0012
A8o,fold,0.9967
A8o,call,0.0033
K8o,fold,0.9986
K8o,call,0.0014
88,fold,0.4522
88,call,0.5478
85s,fold,0.9974
85s,call,0.0026
A7o,fold,0.9789
A7o,call,0.0211
77,fold,0.665
77,call,0.335
76s,fold,0.996
76s,call,0.004
74s,fold,0.9993
74s,call,0.0007
A6o,fold,0.9784
A6o,call,0.0216
66,fold,0.9527
66,call,0.0473
54s,fold,0.9998
54s,call,0.0002
A3o,fold,0.9758
A3o,call,0.0242
22,fold,0.9742
22,call,0.0258
