# poker.academy CE-Symmetric — 25bb vsopen | hero BTN vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.1898
22,fold,0.8102
33,call,0.3499
33,fold,0.6501
44,call,0.8701
44,jam,0.1299
55,call,1.0
66,call,0.85
66,threeBet,0.15
77,call,0.84
77,threeBet,0.16
88,call,0.145
88,jam,0.78
88,threeBet,0.075
99,jam,0.905
99,threeBet,0.095
AA,call,0.31
AA,threeBet,0.69
AKs,threeBet,1.0
AQs,call,0.0549
AQs,threeBet,0.9451
AJs,call,1.0
ATs,call,1.0
A9s,call,0.7401
A9s,threeBet,0.2599
A8s,call,0.7351
A8s,threeBet,0.2649
A7s,call,0.55
A7s,threeBet,0.45
A6s,call,0.5599
A6s,threeBet,0.4401
A5s,call,0.9001
A5s,jam,0.0999
A4s,jam,1.0
A3s,call,0.385
A3s,jam,0.2499
A3s,threeBet,0.3651
AKo,jam,0.9651
AKo,threeBet,0.0349
KK,call,0.1398
KK,threeBet,0.8602
KQs,call,0.785
KQs,jam,0.215
KJs,jam,1.0
KTs,call,0.5699
KTs,jam,0.4301
K9s,call,0.47
K9s,threeBet,0.53
K8s,call,0.1049
K8s,fold,0.7251
K8s,threeBet,0.17
AQo,jam,1.0
KQo,call,0.855
KQo,threeBet,0.145
QQ,call,0.2699
QQ,threeBet,0.7301
QJs,call,0.705
QJs,jam,0.295
QTs,call,1.0
Q9s,call,0.3549
Q9s,threeBet,0.6451
Q8s,fold,0.85
Q8s,threeBet,0.15
AJo,call,0.5679
AJo,jam,0.2613
AJo,threeBet,0.1708
KJo,call,0.8151
KJo,threeBet,0.1849
QJo,fold,0.915
QJo,threeBet,0.085
JJ,call,0.1849
JJ,jam,0.165
JJ,threeBet,0.6501
JTs,call,0.1899
JTs,jam,0.8101
J9s,call,0.8351
J9s,fold,0.1649
ATo,call,0.475
ATo,threeBet,0.525
TT,jam,1.0
T9s,call,1.0
T8s,call,0.2362
T8s,fold,0.7638
A9o,fold,0.99
A9o,threeBet,0.01
98s,call,0.5651
98s,fold,0.2799
98s,threeBet,0.155
87s,call,0.4099
87s,fold,0.5901
76s,call,0.1199
76s,fold,0.8801
