# poker.academy CE-Symmetric — 25bb vsopen | hero CO vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.0249
44,fold,0.9751
55,call,0.2649
55,fold,0.7351
66,call,0.78
66,threeBet,0.22
77,call,0.6351
77,jam,0.2099
77,threeBet,0.155
88,call,0.235
88,jam,0.6401
88,threeBet,0.1249
99,jam,0.8851
99,threeBet,0.1149
AA,call,0.2649
AA,threeBet,0.7351
AKs,threeBet,1.0
AQs,call,0.1199
AQs,threeBet,0.8801
AJs,call,1.0
ATs,call,1.0
A9s,call,0.8051
A9s,threeBet,0.1949
A8s,call,0.38
A8s,threeBet,0.62
A7s,call,0.46
A7s,threeBet,0.54
A6s,fold,0.6551
A6s,threeBet,0.3449
A5s,call,0.6319
A5s,jam,0.2686
A5s,threeBet,0.0995
A4s,call,0.09
A4s,fold,0.91
AKo,jam,0.9402
AKo,threeBet,0.0598
KK,call,0.1899
KK,threeBet,0.8101
KQs,call,0.2749
KQs,jam,0.7251
KJs,jam,1.0
KTs,call,0.1949
KTs,jam,0.8051
K9s,call,0.3349
K9s,threeBet,0.6651
AQo,jam,1.0
KQo,call,0.63
KQo,threeBet,0.37
QQ,call,0.1949
QQ,threeBet,0.8051
QJs,call,0.46
QJs,jam,0.54
QTs,call,1.0
Q9s,call,0.0754
Q9s,fold,0.2562
Q9s,threeBet,0.6684
AJo,call,0.2049
AJo,jam,0.43
AJo,threeBet,0.3651
KJo,call,0.4051
KJo,fold,0.4
KJo,threeBet,0.1949
JJ,call,0.2049
JJ,threeBet,0.7951
JTs,call,0.22
JTs,jam,0.78
J9s,call,0.09
J9s,fold,0.91
ATo,call,0.31
ATo,threeBet,0.69
TT,jam,0.8151
TT,threeBet,0.1849
T9s,call,0.545
T9s,fold,0.455
98s,call,0.1099
98s,fold,0.8901
