# poker.academy CE-Symmetric — 25bb vsopen | hero CO vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.085
44,fold,0.915
55,call,0.2549
55,fold,0.7451
66,call,0.6349
66,fold,0.3651
77,call,0.6852
77,jam,0.0449
77,threeBet,0.2699
88,call,0.4149
88,jam,0.3651
88,threeBet,0.22
99,call,0.0602
99,jam,0.6535
99,threeBet,0.2863
AA,call,0.2599
AA,threeBet,0.7401
AKs,threeBet,1.0
AQs,call,0.225
AQs,threeBet,0.775
AJs,call,1.0
ATs,call,0.7301
ATs,jam,0.1949
ATs,threeBet,0.075
A9s,call,0.5699
A9s,threeBet,0.4301
A8s,call,0.3449
A8s,threeBet,0.6551
A7s,call,0.225
A7s,threeBet,0.775
A5s,call,0.605
A5s,jam,0.395
AKo,jam,0.7902
AKo,threeBet,0.2098
KK,call,0.1099
KK,threeBet,0.8901
KQs,call,0.4199
KQs,jam,0.5801
KJs,jam,1.0
KTs,call,0.7151
KTs,jam,0.2849
K9s,call,0.1949
K9s,threeBet,0.8051
AQo,call,0.0399
AQo,jam,0.9601
KQo,call,0.5901
KQo,threeBet,0.4099
QQ,call,0.15
QQ,threeBet,0.85
QJs,call,0.395
QJs,jam,0.605
QTs,call,0.8101
QTs,threeBet,0.1899
Q9s,fold,0.63
Q9s,threeBet,0.37
AJo,call,0.4601
AJo,jam,0.0449
AJo,threeBet,0.495
KJo,call,0.1398
KJo,fold,0.8602
JJ,call,0.1899
JJ,threeBet,0.8101
JTs,call,0.535
JTs,jam,0.465
ATo,call,0.145
ATo,fold,0.1949
ATo,threeBet,0.6601
TT,jam,1.0
T9s,call,0.45
T9s,fold,0.55
98s,call,0.09
98s,fold,0.91
