# poker.academy CE-Symmetric — 25bb vs3bet | hero LJ vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
66,call,0.2849
66,fold,0.7151
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,1.0
AKs,call,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
AKo,call,1.0
KK,call,1.0
KQs,call,0.465
KQs,fold,0.535
KJs,call,1.0
AQo,call,1.0
QQ,call,1.0
QJs,call,0.2849
QJs,fold,0.7151
AJo,call,0.4249
AJo,fold,0.5751
JJ,call,1.0
JTs,call,0.395
JTs,fold,0.605
TT,call,1.0
