# poker.academy CE-Symmetric — 25bb unopened | MP first-in
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,fold,0.075
55,raise,0.925
66,raise,1.0
77,raise,1.0
88,raise,1.0
99,raise,1.0
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,raise,1.0
A8s,raise,1.0
A7s,raise,1.0
A6s,raise,1.0
A5s,raise,1.0
A4s,raise,1.0
A3s,raise,1.0
A2s,fold,0.6151
A2s,raise,0.3849
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,raise,1.0
KTs,raise,1.0
K9s,raise,1.0
K8s,raise,1.0
K7s,raise,1.0
K6s,fold,0.46
K6s,raise,0.54
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,raise,1.0
QTs,raise,1.0
Q9s,raise,1.0
Q8s,raise,1.0
AJo,raise,1.0
KJo,raise,1.0
QJo,fold,0.0598
QJo,raise,0.9402
JJ,raise,1.0
JTs,raise,1.0
J9s,raise,1.0
ATo,raise,1.0
KTo,fold,0.16
KTo,raise,0.84
QTo,fold,0.7902
QTo,raise,0.2098
TT,raise,1.0
T9s,raise,1.0
T8s,raise,1.0
A9o,fold,0.1099
A9o,raise,0.8901
98s,raise,1.0
87s,raise,1.0
76s,fold,0.375
76s,raise,0.625
