# poker.academy CE-Symmetric — 25bb vsopen | hero MP vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
66,call,0.09
66,fold,0.91
77,call,0.1199
77,fold,0.8801
88,call,0.3015
88,fold,0.5177
88,threeBet,0.1808
99,call,0.29
99,threeBet,0.71
AA,call,0.0698
AA,threeBet,0.9302
AKs,threeBet,1.0
AQs,call,0.7251
AQs,threeBet,0.2749
AJs,call,0.855
AJs,threeBet,0.145
ATs,call,0.1749
ATs,threeBet,0.8251
A9s,call,0.0449
A9s,threeBet,0.9551
AKo,call,0.0648
AKo,jam,0.175
AKo,threeBet,0.7602
KK,call,0.0249
KK,threeBet,0.9751
KQs,call,0.77
KQs,jam,0.23
KJs,call,0.08
KJs,threeBet,0.92
KTs,call,0.235
KTs,threeBet,0.765
AQo,call,0.1999
AQo,threeBet,0.8001
KQo,fold,0.8951
KQo,threeBet,0.1049
QQ,call,0.0698
QQ,threeBet,0.9302
QJs,call,0.0549
QJs,fold,0.4701
QJs,threeBet,0.475
QTs,call,0.17
QTs,fold,0.83
AJo,fold,0.845
AJo,threeBet,0.155
JJ,call,0.0804
JJ,jam,0.1105
JJ,threeBet,0.8091
JTs,call,0.1999
JTs,fold,0.8001
TT,call,0.2849
TT,jam,0.08
TT,threeBet,0.6351
