# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: bb vsopen @ 30bb
# HRC node: id=14012, seat=7, sequence=RFFFFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 99.95%
notation,action,freq
AA,jam,1.0
AKs,call,0.0001
AKs,jam,0.9999
AQs,call,0.8816
AQs,jam,0.1184
AJs,call,0.9068
AJs,jam,0.0932
ATs,fold,0.0001
ATs,call,0.9928
ATs,jam,0.0072
A9s,fold,0.0001
A9s,call,0.9975
A9s,jam,0.0024
A8s,fold,0.0004
A8s,call,0.9994
A8s,jam,0.0002
A7s,fold,0.0006
A7s,call,0.6174
A7s,jam,0.382
A6s,call,0.9999
A5s,fold,0.0004
A5s,call,0.9995
A5s,jam,0.0001
A4s,call,0.2286
A4s,jam,0.7714
A3s,fold,0.0006
A3s,call,0.9992
A3s,jam,0.0001
A2s,fold,0.0011
A2s,call,0.7866
A2s,jam,0.2124
AKo,jam,1.0
KK,jam,1.0
KQs,fold,0.0005
KQs,call,0.8391
KQs,jam,0.1605
KJs,fold,0.0006
KJs,call,0.768
KJs,jam,0.2314
KTs,fold,0.0006
KTs,call,0.9745
KTs,jam,0.0249
K9s,fold,0.0002
K9s,call,0.9993
K9s,jam,0.0005
K8s,fold,0.0007
K8s,call,0.9797
K8s,jam,0.0196
K7s,fold,0.0023
K7s,call,0.9969
K7s,jam,0.0008
K6s,fold,0.0004
K6s,call,0.9995
K5s,fold,0.0006
K5s,call,0.8504
K5s,jam,0.149
K4s,fold,0.003
K4s,call,0.9969
K4s,jam,0.0001
K3s,fold,0.0001
K3s,call,0.8819
K3s,jam,0.118
K2s,fold,0.0007
K2s,call,0.9969
K2s,jam,0.0024
AQo,call,0.987
AQo,jam,0.013
KQo,call,0.9999
KQo,jam,0.0001
QQ,call,0.033
QQ,jam,0.967
QJs,fold,0.0002
QJs,call,0.4724
QJs,jam,0.5274
QTs,call,0.9925
QTs,jam,0.0074
Q9s,fold,0.0004
Q9s,call,0.922
Q9s,jam,0.0776
Q8s,fold,0.0012
Q8s,call,0.9988
Q7s,fold,0.0002
Q7s,call,0.9998
Q7s,jam,0.0001
Q6s,fold,0.0002
Q6s,call,0.9995
Q6s,jam,0.0003
Q5s,fold,0.0007
Q5s,call,0.9989
Q5s,jam,0.0004
Q4s,fold,0.0001
Q4s,call,0.9386
Q4s,jam,0.0613
Q3s,fold,0.0016
Q3s,call,0.9977
Q3s,jam,0.0007
Q2s,fold,0.0008
Q2s,call,0.9284
Q2s,jam,0.0707
AJo,call,0.978
AJo,jam,0.022
KJo,call,0.9996
KJo,jam,0.0003
QJo,fold,0.0003
QJo,call,0.9997
JJ,call,0.0795
JJ,jam,0.9205
JTs,fold,0.0003
JTs,call,0.7395
JTs,jam,0.2602
J9s,fold,0.0004
J9s,call,0.9994
J9s,jam,0.0002
J8s,fold,0.0002
J8s,call,0.8828
J8s,jam,0.117
J7s,fold,0.0004
J7s,call,0.9995
J6s,fold,0.0001
J6s,call,0.9992
J6s,jam,0.0007
J5s,fold,0.0005
J5s,call,0.9995
J4s,fold,0.0006
J4s,call,0.9994
J3s,fold,0.0002
J3s,call,0.9904
J3s,jam,0.0094
J2s,fold,0.0011
J2s,call,0.9964
J2s,jam,0.0025
ATo,call,0.9998
ATo,jam,0.0002
KTo,fold,0.0001
KTo,call,0.9999
QTo,fold,0.0001
QTo,call,0.9991
QTo,jam,0.0009
JTo,call,1.0
TT,call,0.7427
TT,jam,0.2573
T9s,fold,0.0002
T9s,call,0.8687
T9s,jam,0.1311
T8s,fold,0.0006
T8s,call,0.9992
T8s,jam,0.0002
T7s,fold,0.0005
T7s,call,0.9995
T6s,fold,0.0001
T6s,call,0.9999
T5s,fold,0.0017
T5s,call,0.9983
T4s,fold,0.0002
T4s,call,0.9973
T4s,jam,0.0025
T3s,fold,0.0005
T3s,call,0.9995
T2s,fold,0.0015
T2s,call,0.9981
T2s,jam,0.0004
A9o,fold,0.0001
A9o,call,0.9996
A9o,jam,0.0003
K9o,call,1.0
Q9o,call,1.0
J9o,fold,0.0001
J9o,call,0.9999
T9o,fold,0.0001
T9o,call,0.9999
99,fold,0.0002
99,call,0.9795
99,jam,0.0203
98s,fold,0.0007
98s,call,0.9963
98s,jam,0.0029
97s,call,0.8122
97s,jam,0.1878
96s,fold,0.0009
96s,call,0.9991
95s,fold,0.0004
95s,call,0.9996
94s,fold,0.0005
94s,call,0.9995
93s,fold,0.0018
93s,call,0.9973
93s,jam,0.0009
92s,fold,0.0007
92s,call,0.9993
92s,jam,0.0001
A8o,call,1.0
K8o,fold,0.0001
K8o,call,0.9999
Q8o,fold,0.0001
Q8o,call,0.9999
J8o,fold,0.0002
J8o,call,0.9998
T8o,fold,0.0003
T8o,call,0.9996
T8o,jam,0.0001
98o,fold,0.0001
98o,call,0.9999
98o,jam,0.0001
88,fold,0.0003
