# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs sb open @ 30bb
# HRC node: id=12, seat=7, sequence=FFFFFFR
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 99.90%
notation,action,freq
AA,raise,0.5689
AA,jam,0.4311
AKs,raise,0.1449
AKs,jam,0.8551
AQs,raise,0.3024
AQs,jam,0.6976
AJs,raise,0.0007
AJs,jam,0.9993
ATs,call,0.0349
ATs,raise,0.0511
ATs,jam,0.914
A9s,fold,0.0003
A9s,call,0.4915
A9s,raise,0.3062
A9s,jam,0.202
A8s,call,0.939
A8s,raise,0.0443
A8s,jam,0.0166
A7s,fold,0.0003
A7s,call,0.6203
A7s,raise,0.081
A7s,jam,0.2983
A6s,call,0.5825
A6s,raise,0.0129
A6s,jam,0.4046
A5s,fold,0.0003
A5s,call,0.3988
A5s,jam,0.6009
A4s,call,0.3492
A4s,raise,0.0018
A4s,jam,0.649
A3s,fold,0.0007
A3s,call,0.4406
A3s,raise,0.0028
A3s,jam,0.5558
A2s,call,0.5882
A2s,raise,0.0062
A2s,jam,0.4056
AKo,raise,0.0281
AKo,jam,0.9719
KK,raise,0.3154
KK,jam,0.6845
KQs,call,0.0068
KQs,raise,0.0051
KQs,jam,0.9881
KJs,fold,0.0001
KJs,call,0.8244
KJs,raise,0.102
KJs,jam,0.0736
KTs,fold,0.0006
KTs,call,0.9375
KTs,jam,0.0619
K9s,fold,0.0008
K9s,call,0.7126
K9s,raise,0.0004
K9s,jam,0.2862
K8s,fold,0.0005
K8s,call,0.9993
K8s,raise,0.0001
K8s,jam,0.0001
K7s,fold,0.0022
K7s,call,0.7979
K7s,raise,0.0008
K7s,jam,0.1991
K6s,fold,0.0005
K6s,call,0.5731
K6s,raise,0.0002
K6s,jam,0.4262
K5s,fold,0.0014
K5s,call,0.9973
K5s,raise,0.0003
K5s,jam,0.001
K4s,fold,0.0003
K4s,call,0.7924
K4s,raise,0.0002
K4s,jam,0.2072
K3s,fold,0.0013
K3s,call,0.9815
K3s,raise,0.0014
K3s,jam,0.0158
K2s,fold,0.0007
K2s,call,0.9969
K2s,raise,0.0007
K2s,jam,0.0017
AQo,raise,0.0002
AQo,jam,0.9998
KQo,call,0.9673
KQo,raise,0.0024
KQo,jam,0.0303
QQ,raise,0.057
QQ,jam,0.943
QJs,fold,0.0003
QJs,call,0.502
QJs,raise,0.0001
