# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs utg1 open @ 30bb
# HRC node: id=3435, seat=7, sequence=FRFFFFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 99.96%
notation,action,freq
AA,jam,1.0
AKs,call,0.0039
AKs,jam,0.9961
AQs,call,0.6317
AQs,jam,0.3683
AJs,fold,0.0003
AJs,call,0.8069
AJs,jam,0.1929
ATs,call,0.9989
ATs,jam,0.0011
A9s,fold,0.0003
A9s,call,0.9874
A9s,jam,0.0123
A8s,fold,0.0003
A8s,call,0.7333
A8s,jam,0.2664
A7s,fold,0.0003
A7s,call,0.9978
A7s,jam,0.0019
A6s,fold,0.0015
A6s,call,0.9974
A6s,jam,0.0011
A5s,fold,0.0007
A5s,call,0.352
A5s,jam,0.6473
A4s,fold,0.0002
A4s,call,0.9998
A3s,fold,0.0001
A3s,call,0.9494
A3s,jam,0.0505
A2s,fold,0.0002
A2s,call,0.8497
A2s,jam,0.1501
AKo,call,0.0026
AKo,jam,0.9974
KK,call,0.0001
KK,jam,0.9999
KQs,fold,0.0008
KQs,call,0.9821
KQs,jam,0.0171
KJs,fold,0.0002
KJs,call,0.9997
KTs,fold,0.0005
KTs,call,0.7126
KTs,jam,0.287
K9s,fold,0.0004
K9s,call,0.9995
K9s,jam,0.0001
K8s,fold,0.0005
K8s,call,0.999
K8s,jam,0.0005
K7s,fold,0.002
K7s,call,0.9197
K7s,jam,0.0782
K6s,fold,0.0001
K6s,call,0.9998
K6s,jam,0.0001
K5s,fold,0.0009
K5s,call,0.9772
K5s,jam,0.0219
K4s,fold,0.002
K4s,call,0.9979
K3s,fold,0.0001
K3s,call,0.9522
K3s,jam,0.0477
K2s,fold,0.0029
K2s,call,0.9639
K2s,jam,0.0332
AQo,call,0.9384
AQo,jam,0.0616
KQo,call,0.9984
KQo,jam,0.0016
QQ,call,0.0001
QQ,jam,0.9998
QJs,fold,0.0014
QJs,call,0.9845
QJs,jam,0.0141
QTs,fold,0.002
QTs,call,0.8869
QTs,jam,0.1111
Q9s,fold,0.0005
Q9s,call,0.9993
Q9s,jam,0.0002
Q8s,fold,0.0003
Q8s,call,0.9996
Q8s,jam,0.0001
Q7s,fold,0.0001
Q7s,call,0.9999
Q6s,fold,0.0003
Q6s,call,0.9997
Q5s,fold,0.0002
Q5s,call,0.9546
Q5s,jam,0.0452
Q4s,fold,0.0004
Q4s,call,0.9987
Q4s,jam,0.0009
Q3s,fold,0.0009
Q3s,call,0.7979
Q3s,jam,0.2012
Q2s,fold,0.0009
Q2s,call,0.9984
Q2s,jam,0.0006
AJo,call,0.9945
AJo,jam,0.0055
KJo,call,0.9998
KJo,jam,0.0001
QJo,fold,0.0002
QJo,call,0.9993
QJo,jam,0.0005
JJ,call,0.1274
JJ,jam,0.8726
JTs,fold,0.0016
JTs,call,0.5937
JTs,jam,0.4047
J9s,fold,0.0037
J9s,call,0.9959
J9s,jam,0.0003
J8s,fold,0.0006
J8s,call,0.9991
J8s,jam,0.0003
J7s,fold,0.0001
J7s,call,0.9999
J7s,jam,0.0001
J6s,fold,0.0003
J6s,call,0.9997
J5s,fold,0.0001
J5s,call,0.9949
J5s,jam,0.005
J4s,fold,0.0001
J4s,call,0.9999
J3s,fold,0.0002
J3s,call,0.9998
J2s,fold,0.0017
