# poker.academy CE-Symmetric — 30bb vsopen | hero BB vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,0.4049
33,jam,0.5951
44,call,0.8201
44,jam,0.1799
55,call,0.6469
55,jam,0.1988
55,threeBet,0.1543
66,call,0.55
66,threeBet,0.45
77,jam,0.4849
77,threeBet,0.5151
88,jam,1.0
99,jam,0.8901
99,threeBet,0.1099
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,0.295
AJs,threeBet,0.705
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,1.0
A3s,call,1.0
A2s,call,1.0
AKo,jam,0.62
AKo,threeBet,0.38
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.7201
K9s,jam,0.2799
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,jam,0.8201
AQo,threeBet,0.1799
KQo,call,0.7951
KQo,threeBet,0.2049
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,0.4949
QTs,jam,0.5051
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,0.545
AJo,threeBet,0.455
KJo,call,0.9352
KJo,jam,0.0648
QJo,call,1.0
JJ,threeBet,1.0
JTs,call,1.0
J9s,call,1.0
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,1.0
KTo,call,0.9001
KTo,threeBet,0.0999
QTo,call,1.0
JTo,call,0.9302
JTo,threeBet,0.0698
TT,jam,0.5699
TT,threeBet,0.4301
T9s,call,1.0
T8s,call,1.0
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,0.9001
A9o,threeBet,0.0999
K9o,call,0.545
K9o,threeBet,0.455
Q9o,call,0.8652
Q9o,threeBet,0.1348
J9o,call,0.915
J9o,threeBet,0.085
T9o,call,0.9751
T9o,threeBet,0.0249
98s,call,1.0
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,1.0
93s,call,1.0
92s,call,1.0
A8o,call,0.5751
A8o,threeBet,0.4249
K8o,call,0.99
K8o,threeBet,0.01
Q8o,call,0.905
Q8o,threeBet,0.095
J8o,call,0.915
J8o,threeBet,0.085
T8o,call,0.925
T8o,threeBet,0.075
98o,call,1.0
87s,call,1.0
86s,call,1.0
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,1.0
A7o,call,0.5901
A7o,threeBet,0.4099
K7o,call,0.9501
K7o,threeBet,0.0499
Q7o,call,1.0
J7o,call,0.915
J7o,threeBet,0.085
T7o,call,0.9551
T7o,threeBet,0.0449
97o,call,1.0
87o,call,1.0
76s,call,1.0
75s,call,1.0
74s,call,1.0
73s,call,1.0
72s,call,1.0
A6o,call,0.8851
A6o,threeBet,0.1149
K6o,call,0.8652
K6o,threeBet,0.1348
Q6o,call,0.9751
Q6o,threeBet,0.0249
J6o,call,1.0
T6o,call,0.84
T6o,fold,0.16
96o,call,1.0
86o,call,1.0
76o,call,1.0
65s,call,1.0
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,0.7902
A5o,threeBet,0.2098
K5o,call,1.0
Q5o,call,0.9801
Q5o,threeBet,0.0199
J5o,call,0.4199
J5o,fold,0.5801
85o,call,1.0
75o,call,1.0
65o,call,1.0
54s,call,1.0
53s,call,1.0
52s,call,1.0
A4o,call,0.99
A4o,threeBet,0.01
K4o,call,0.99
K4o,threeBet,0.01
Q4o,call,0.9751
Q4o,threeBet,0.0249
64o,call,1.0
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,0.3651
A3o,jam,0.6349
K3o,call,0.845
K3o,threeBet,0.155
Q3o,call,0.9001
Q3o,threeBet,0.0999
53o,call,1.0
43o,call,1.0
32s,call,1.0
A2o,call,0.905
A2o,threeBet,0.095
K2o,call,1.0
Q2o,call,0.7351
Q2o,fold,0.245
Q2o,threeBet,0.0199
