# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: btn vs3betjam @ 30bb
# HRC node: id=26, seat=5, sequence=FFFFFRRF
# Actions at node: ['fold', 'call']
# VPIP estimate: 35.16%
notation,action,freq
AA,call,1.0
AKs,call,1.0
AQs,call,1.0
AJs,call,1.0
ATs,fold,0.0416
ATs,call,0.9584
A9s,fold,0.0281
A9s,call,0.9719
A8s,fold,0.9995
A8s,call,0.0005
A7s,fold,0.7386
A7s,call,0.2614
A6s,fold,0.5639
A6s,call,0.4361
A5s,fold,0.7494
A5s,call,0.2506
A4s,fold,0.7317
A4s,call,0.2683
A3s,fold,0.9966
A3s,call,0.0034
A2s,fold,0.9994
A2s,call,0.0006
AKo,call,1.0
KK,call,1.0
KQs,fold,0.1942
KQs,call,0.8058
KJs,fold,0.6326
KJs,call,0.3674
KTs,fold,0.7928
KTs,call,0.2072
K9s,fold,0.9995
K9s,call,0.0005
K8s,fold,0.9982
K8s,call,0.0018
K7s,fold,0.9638
K7s,call,0.0362
K6s,fold,0.9997
K6s,call,0.0003
K5s,fold,0.9999
K5s,call,0.0001
K4s,fold,0.9998
K4s,call,0.0002
K3s,fold,0.9988
K3s,call,0.0012
K2s,fold,0.9828
K2s,call,0.0172
AQo,call,1.0
KQo,fold,0.7835
KQo,call,0.2165
QQ,call,1.0
QJs,fold,0.7605
QJs,call,0.2395
QTs,fold,0.9912
QTs,call,0.0088
Q9s,fold,0.9936
Q9s,call,0.0064
Q8s,fold,0.9994
Q8s,call,0.0006
Q7s,fold,0.9968
Q7s,call,0.0032
Q6s,fold,0.9999
Q6s,call,0.0001
Q5s,fold,0.9981
Q5s,call,0.0019
Q4s,fold,1.0
Q3s,fold,0.9997
Q3s,call,0.0003
AJo,fold,0.0022
AJo,call,0.9978
KJo,fold,0.9641
KJo,call,0.0359
QJo,fold,0.9996
QJo,call,0.0004
JJ,call,1.0
JTs,fold,0.9902
JTs,call,0.0098
J9s,fold,1.0
J8s,fold,0.9993
J8s,call,0.0007
J7s,fold,1.0
J3s,fold,0.9981
J3s,call,0.0019
ATo,fold,0.653
ATo,call,0.347
KTo,fold,0.9889
KTo,call,0.0111
QTo,fold,0.9987
QTo,call,0.0013
JTo,fold,0.9995
JTo,call,0.0005
TT,call,1.0
T9s,fold,0.9931
T9s,call,0.0069
T8s,fold,0.9953
T8s,call,0.0047
T7s,fold,0.9931
T7s,call,0.0069
T4s,fold,0.9999
T4s,call,0.0001
T3s,fold,0.9989
T3s,call,0.0011
A9o,fold,0.6581
A9o,call,0.3419
K9o,fold,1.0
Q9o,fold,1.0
99,fold,0.0015
99,call,0.9985
98s,fold,0.9994
98s,call,0.0006
96s,fold,0.9969
96s,call,0.0031
A8o,fold,0.9992
A8o,call,0.0008
K8o,fold,0.9994
K8o,call,0.0006
Q8o,fold,0.9983
Q8o,call,0.0017
J8o,fold,0.9995
J8o,call,0.0005
T8o,fold,1.0
98o,fold,0.999
98o,call,0.001
88,fold,0.0002
88,call,0.9998
83s,fold,1.0
A7o,fold,0.998
A7o,call,0.002
K7o,fold,0.9998
K7o,call,0.0002
Q7o,fold,1.0
J7o,fold,0.9992
J7o,call,0.0008
77,fold,0.0028
77,call,0.9972
A6o,fold,0.9938
A6o,call,0.0062
K6o,fold,0.9998
K6o,call,0.0002
Q6o,fold,0.9997
Q6o,call,0.0003
66,fold,0.1745
66,call,0.8255
65s,fold,0.9987
65s,call,0.0013
64s,fold,1.0
A5o,fold,0.9997
A5o,call,0.0003
K5o,fold,0.9999
K5o,call,0.0001
95o,fold,0.9997
95o,call,0.0003
55,fold,0.7395
55,call,0.2605
54s,fold,0.9921
54s,call,0.0079
A4o,fold,0.9993
A4o,call,0.0007
K4o,fold,1.0
44,fold,0.708
44,call,0.292
A3o,fold,0.9995
A3o,call,0.0005
33,fold,0.8502
33,call,0.1498
A2o,fold,0.9953
A2o,call,0.0047
22,fold,0.9309
22,call,0.0691
