# poker.academy CE-Symmetric — 30bb vsopen | hero BTN vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.335
22,fold,0.665
33,call,0.545
33,fold,0.455
44,call,1.0
55,call,1.0
66,call,0.8701
66,threeBet,0.1299
77,call,0.7152
77,jam,0.15
77,threeBet,0.1348
88,call,0.1691
88,jam,0.5872
88,threeBet,0.2437
99,call,0.245
99,jam,0.085
99,threeBet,0.67
AA,call,0.4351
AA,threeBet,0.5649
AKs,threeBet,1.0
AQs,call,0.0199
AQs,threeBet,0.9801
AJs,call,0.3601
AJs,threeBet,0.6399
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.84
A7s,threeBet,0.16
A6s,call,0.77
A6s,threeBet,0.23
A5s,call,1.0
A4s,call,0.8551
A4s,jam,0.0499
A4s,threeBet,0.095
A3s,call,0.7101
A3s,jam,0.02
A3s,threeBet,0.2699
A2s,call,0.1048
A2s,threeBet,0.8952
AKo,jam,0.0349
AKo,threeBet,0.9651
KK,call,0.0349
KK,threeBet,0.9651
KQs,call,0.6451
KQs,threeBet,0.3549
KJs,call,0.3499
KJs,jam,0.6501
KTs,jam,1.0
K9s,call,1.0
K8s,call,0.6651
K8s,threeBet,0.3349
K7s,call,0.475
K7s,threeBet,0.525
AQo,jam,0.9801
AQo,threeBet,0.0199
KQo,call,0.7152
KQo,jam,0.1799
KQo,threeBet,0.1049
QQ,call,0.15
QQ,threeBet,0.85
QJs,call,1.0
QTs,call,1.0
Q9s,call,0.8901
Q9s,threeBet,0.1099
Q8s,call,0.145
Q8s,threeBet,0.855
AJo,call,0.9352
AJo,threeBet,0.0648
KJo,call,0.5599
KJo,threeBet,0.4401
QJo,call,0.48
QJo,threeBet,0.52
JJ,call,0.1799
JJ,threeBet,0.8201
JTs,call,0.6399
JTs,jam,0.3601
J9s,call,0.685
J9s,threeBet,0.315
ATo,call,0.6349
ATo,threeBet,0.3651
KTo,call,0.77
KTo,threeBet,0.23
QTo,call,0.1199
QTo,fold,0.5901
QTo,threeBet,0.29
TT,threeBet,1.0
T9s,call,1.0
T8s,call,0.8602
T8s,threeBet,0.1398
A9o,call,0.0698
A9o,fold,0.2201
A9o,threeBet,0.7101
98s,call,0.9601
98s,threeBet,0.0399
A8o,fold,0.7251
A8o,threeBet,0.2749
87s,call,0.593
87s,fold,0.407
