# poker.academy CE-Symmetric — 30bb vsopen | hero BTN vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.9651
77,threeBet,0.0349
88,call,0.76
88,threeBet,0.24
99,call,0.6331
99,threeBet,0.3669
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.4199
AQs,threeBet,0.5801
AJs,call,1.0
ATs,call,1.0
A9s,call,0.6349
A9s,threeBet,0.3651
A8s,call,0.9001
A8s,threeBet,0.0999
A7s,call,0.53
A7s,threeBet,0.47
A6s,call,0.555
A6s,threeBet,0.445
A5s,call,0.675
A5s,threeBet,0.325
A4s,call,0.8201
A4s,threeBet,0.1799
A3s,call,0.77
A3s,threeBet,0.23
AKo,jam,0.01
AKo,threeBet,0.99
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.295
K9s,threeBet,0.705
K8s,call,0.0199
K8s,fold,0.9801
AQo,call,0.7451
AQo,threeBet,0.2549
KQo,call,0.765
KQo,threeBet,0.235
QQ,threeBet,1.0
QJs,call,0.9701
QJs,jam,0.0299
QTs,call,1.0
Q9s,call,0.4199
Q9s,threeBet,0.5801
Q8s,fold,0.7951
Q8s,threeBet,0.2049
AJo,call,0.5801
AJo,threeBet,0.4199
KJo,call,0.6701
KJo,threeBet,0.3299
QJo,fold,0.85
QJo,threeBet,0.15
JJ,call,0.0249
JJ,threeBet,0.9751
JTs,call,0.8951
JTs,threeBet,0.1049
J9s,call,0.7
J9s,threeBet,0.3
ATo,call,0.215
ATo,threeBet,0.785
KTo,fold,0.9451
KTo,threeBet,0.0549
QTo,fold,0.915
QTo,threeBet,0.085
TT,call,0.2437
TT,jam,0.01
TT,threeBet,0.7463
T9s,call,0.8801
T9s,threeBet,0.1199
T8s,call,0.37
T8s,threeBet,0.63
98s,call,0.8851
98s,threeBet,0.1149
87s,call,0.6701
87s,fold,0.2549
87s,threeBet,0.075
76s,call,0.46
76s,fold,0.54
