# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.1bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: co unopened @ 30bb
# HRC node: id=4, seat=4, sequence=FFFF
# Actions at node: ['fold', 'raise']
# VPIP estimate: 26.88%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,fold,0.0001
A9s,raise,0.9999
A8s,raise,1.0
A7s,fold,0.0006
A7s,raise,0.9994
A6s,fold,0.0913
A6s,raise,0.9087
A5s,fold,0.161
A5s,raise,0.839
A4s,fold,0.4528
A4s,raise,0.5472
A3s,fold,0.593
A3s,raise,0.407
A2s,fold,0.0245
A2s,raise,0.9755
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,fold,0.0001
KJs,raise,0.9999
KTs,fold,0.0041
KTs,raise,0.9959
K9s,fold,0.0293
K9s,raise,0.9707
K8s,fold,0.8436
K8s,raise,0.1564
K7s,fold,0.1714
K7s,raise,0.8286
K6s,fold,0.9864
K6s,raise,0.0136
K5s,fold,0.9662
K5s,raise,0.0338
K4s,fold,0.9993
K4s,raise,0.0007
K3s,fold,0.9999
K3s,raise,0.0001
K2s,fold,0.9991
K2s,raise,0.0009
AQo,raise,1.0
KQo,fold,0.0003
KQo,raise,0.9997
QQ,raise,1.0
QJs,raise,1.0
QTs,fold,0.1357
QTs,raise,0.8643
Q9s,fold,0.9999
Q9s,raise,0.0001
Q8s,fold,0.9182
Q8s,raise,0.0818
Q7s,fold,1.0
Q6s,fold,1.0
Q5s,fold,1.0
Q4s,fold,0.9995
Q4s,raise,0.0005
Q3s,fold,0.9998
Q3s,raise,0.0002
Q2s,fold,1.0
AJo,raise,1.0
KJo,raise,1.0
QJo,fold,0.0003
QJo,raise,0.9997
JJ,raise,1.0
JTs,fold,0.2217
JTs,raise,0.7783
J9s,fold,0.9987
J9s,raise,0.0013
J8s,fold,0.9996
J8s,raise,0.0004
J7s,fold,0.9367
J7s,raise,0.0633
J6s,fold,0.9997
J6s,raise,0.0003
J5s,fold,1.0
J4s,fold,0.9985
J4s,raise,0.0015
J3s,fold,1.0
J2s,fold,0.9999
J2s,raise,0.0001
ATo,raise,1.0
KTo,fold,0.0001
KTo,raise,0.9999
QTo,fold,0.025
QTo,raise,0.975
JTo,fold,0.9691
JTo,raise,0.0309
TT,raise,1.0
T9s,fold,0.9902
T9s,raise,0.0098
T8s,fold,0.9979
T8s,raise,0.0021
T7s,fold,1.0
T6s,fold,0.9987
T6s,raise,0.0013
T5s,fold,0.9998
T5s,raise,0.0002
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,1.0
A9o,raise,1.0
K9o,fold,0.0113
K9o,raise,0.9887
Q9o,fold,0.9997
Q9o,raise,0.0003
J9o,fold,1.0
T9o,fold,1.0
99,raise,1.0
98s,fold,0.9971
98s,raise,0.0029
97s,fold,1.0
96s,fold,0.9999
96s,raise,0.0001
95s,fold,1.0
94s,fold,1.0
93s,fold,1.0
92s,fold,1.0
A8o,raise,1.0
K8o,fold,1.0
Q8o,fold,0.983
Q8o,raise,0.017
J8o,fold,1.0
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,0.9997
87s,raise,0.0003
86s,fold,0.9991
86s,raise,0.0009
85s,fold,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,0.9999
82s,raise,0.0001
A7o,fold,0.0003
A7o,raise,0.9997
K7o,fold,0.9984
K7o,raise,0.0016
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,fold,0.0013
77,raise,0.9987
76s,fold,0.9997
76s,raise,0.0003
75s,fold,1.0
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,0.0083
A6o,raise,0.9917
K6o,fold,0.9998
K6o,raise,0.0002
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
