# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.1bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: co vs3bet @ 30bb
# HRC node: id=77, seat=4, sequence=FFFFRRFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 98.70%
notation,action,freq
AA,jam,1.0
AKs,fold,0.0003
AKs,call,0.0096
AKs,jam,0.9901
AQs,call,0.4895
AQs,jam,0.5105
AJs,fold,0.0013
AJs,call,0.1513
AJs,jam,0.8474
ATs,fold,0.0043
ATs,call,0.9916
ATs,jam,0.0041
A9s,fold,0.0004
A9s,call,0.6604
A9s,jam,0.3392
A8s,fold,0.0489
A8s,call,0.9344
A8s,jam,0.0167
A7s,fold,0.0024
A7s,call,0.9914
A7s,jam,0.0062
A6s,fold,0.0043
A6s,call,0.5423
A6s,jam,0.4534
A5s,fold,0.0366
A5s,call,0.9568
A5s,jam,0.0066
A4s,fold,0.0413
A4s,call,0.9568
A4s,jam,0.0019
A3s,fold,0.0077
A3s,call,0.2878
A3s,jam,0.7046
A2s,fold,0.0131
A2s,call,0.9868
A2s,jam,0.0001
AKo,call,0.2072
AKo,jam,0.7928
KK,call,0.1518
KK,jam,0.8482
KQs,fold,0.019
KQs,call,0.9755
KQs,jam,0.0055
KJs,fold,0.0245
KJs,call,0.6644
KJs,jam,0.3111
KTs,fold,0.015
KTs,call,0.8318
KTs,jam,0.1533
K9s,fold,0.0278
K9s,call,0.9716
K9s,jam,0.0006
K8s,fold,0.0794
K8s,call,0.9189
K8s,jam,0.0018
K7s,fold,0.0068
K7s,call,0.9859
K7s,jam,0.0073
K6s,fold,0.0439
K6s,call,0.8186
K6s,jam,0.1375
K5s,fold,0.092
K5s,call,0.9061
K5s,jam,0.0019
K4s,fold,0.031
K4s,call,0.4115
K4s,jam,0.5576
K3s,fold,0.1117
K3s,call,0.4562
K3s,jam,0.4322
K2s,fold,0.0281
K2s,call,0.0844
K2s,jam,0.8875
AQo,call,0.5557
AQo,jam,0.4443
KQo,fold,0.0001
KQo,call,0.9965
KQo,jam,0.0035
QQ,call,0.464
QQ,jam,0.5359
QJs,fold,0.0054
QJs,call,0.7163
QJs,jam,0.2783
QTs,fold,0.0182
QTs,call,0.9676
QTs,jam,0.0143
Q9s,fold,0.3349
Q9s,call,0.6257
Q9s,jam,0.0393
Q8s,fold,0.2048
Q8s,call,0.4378
Q8s,jam,0.3574
Q4s,fold,0.3911
Q4s,call,0.599
Q4s,jam,0.01
Q3s,fold,0.82
Q3s,call,0.1798
Q3s,jam,0.0001
AJo,fold,0.0001
AJo,call,0.9991
AJo,jam,0.0008
KJo,fold,0.1774
KJo,call,0.8205
KJo,jam,0.0022
QJo,fold,0.0011
QJo,call,0.9947
QJo,jam,0.0043
JJ,call,0.4833
JJ,jam,0.5167
JTs,fold,0.0044
JTs,call,0.357
JTs,jam,0.6386
J9s,fold,0.3431
J9s,call,0.6326
J9s,jam,0.0243
J8s,fold,0.2283
J8s,call,0.6681
J8s,jam,0.1036
J7s,fold,0.2554
J7s,call,0.7443
J7s,jam,0.0003
J6s,fold,0.3384
J6s,call,0.6147
J6s,jam,0.0469
J4s,fold,0.2487
J4s,call,0.746
J4s,jam,0.0053
J2s,fold,0.7457
J2s,call,0.2528
J2s,jam,0.0015
ATo,fold,0.0001
ATo,call,0.9875
ATo,jam,0.0124
KTo,fold,0.0024
KTo,call,0.9967
KTo,jam,0.0009
QTo,fold,0.0028
QTo,call,0.997
QTo,jam,0.0003
JTo,fold,0.0506
JTo,call,0.9472
JTo,jam,0.0022
TT,fold,0.0022
TT,call,0.4043
TT,jam,0.5934
T9s,fold,0.0389
T9s,call,0.959
T9s,jam,0.0021
T8s,fold,0.0426
T8s,call,0.8709
T8s,jam,0.0865
T6s,fold,0.0758
T6s,call,0.9162
T6s,jam,0.0081
T5s,fold,0.4952
T5s,call,0.5028
T5s,jam,0.002
A9o,call,0.9966
A9o,jam,0.0033
K9o,fold,0.0177
K9o,call,0.9807
K9o,jam,0.0016
Q9o,fold,0.0007
Q9o,call,0.9942
Q9o,jam,0.0051
99,fold,0.0002
99,call,0.4029
99,jam,0.5969
98s,fold,0.1286
98s,call,0.8297
98s,jam,0.0417
96s,fold,0.0312
96s,call,0.185
96s,jam,0.7838
A8o,fold,0.0003
A8o,call,0.9485
A8o,jam,0.0513
Q8o,fold,0.0539
Q8o,call,0.9421
Q8o,jam,0.004
88,fold,0.0043
88,call,0.8595
88,jam,0.1362
87s,fold,0.0442
87s,call,0.9529
87s,jam,0.003
86s,fold,0.011
86s,call,0.8895
86s,jam,0.0995
82s,fold,0.6847
82s,call,0.3118
82s,jam,0.0035
A7o,call,0.9987
A7o,jam,0.0013
K7o,fold,0.0765
K7o,call,0.9154
K7o,jam,0.0081
77,call,0.7688
77,jam,0.2312
76s,fold,0.1114
76s,call,0.8875
76s,jam,0.0011
A6o,fold,0.003
A6o,call,0.9966
A6o,jam,0.0005
K6o,fold,0.009
K6o,call,0.9894
K6o,jam,0.0016
66,fold,0.0008
66,call,0.6331
66,jam,0.3661
63s,fold,0.0094
63s,call,0.7152
63s,jam,0.2753
A5o,call,0.9609
A5o,jam,0.0391
55,fold,0.0236
55,call,0.9717
55,jam,0.0047
A4o,fold,0.0131
A4o,call,0.9866
A4o,jam,0.0003
44,fold,0.0296
44,call,0.9566
44,jam,0.0138
43s,fold,0.1496
43s,call,0.85
43s,jam,0.0003
A3o,fold,0.0457
A3o,call,0.9514
A3o,jam,0.0029
33,fold,0.0336
33,call,0.5335
33,jam,0.4329
A2o,fold,0.0029
A2o,call,0.9967
A2o,jam,0.0004
