# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: co vsopen @ 30bb
# HRC node: id=14009, seat=4, sequence=RFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 12.02%
notation,action,freq
AA,raise,0.8416
AA,jam,0.1584
AKs,call,0.0983
AKs,raise,0.4653
AKs,jam,0.4364
AQs,call,0.6215
AQs,raise,0.0275
AQs,jam,0.351
AJs,fold,0.1277
AJs,call,0.7016
AJs,raise,0.0429
AJs,jam,0.1278
ATs,fold,0.0462
ATs,call,0.63
ATs,raise,0.0149
ATs,jam,0.3089
A9s,fold,0.5234
A9s,call,0.1521
A9s,raise,0.0032
A9s,jam,0.3212
A8s,fold,0.7024
A8s,call,0.285
A8s,raise,0.0014
A8s,jam,0.0112
A7s,fold,0.6975
A7s,call,0.296
A7s,jam,0.0065
A6s,fold,0.9396
A6s,call,0.045
A6s,raise,0.0003
A6s,jam,0.0151
A5s,fold,0.9887
A5s,call,0.0003
A5s,raise,0.0107
A5s,jam,0.0003
A4s,fold,0.9876
A4s,call,0.0107
A4s,raise,0.0014
A4s,jam,0.0003
A3s,fold,0.9988
A3s,call,0.0002
A3s,jam,0.001
A2s,fold,0.9993
A2s,raise,0.0006
AKo,call,0.0101
AKo,raise,0.2913
AKo,jam,0.6986
KK,call,0.0636
KK,raise,0.6904
KK,jam,0.2459
KQs,fold,0.0014
KQs,call,0.2897
KQs,raise,0.0175
KQs,jam,0.6914
KJs,fold,0.4856
KJs,call,0.4047
KJs,raise,0.0002
KJs,jam,0.1095
KTs,fold,0.5946
KTs,call,0.3881
KTs,raise,0.0147
KTs,jam,0.0027
K9s,fold,0.7273
K9s,call,0.2659
K9s,raise,0.006
K9s,jam,0.0009
K8s,fold,0.9975
K8s,call,0.0014
K8s,jam,0.0011
K7s,fold,0.9834
K7s,call,0.0151
K7s,jam,0.0016
K6s,fold,0.9718
K6s,call,0.0241
K6s,raise,0.0014
K6s,jam,0.0027
K5s,fold,0.9915
K5s,call,0.0043
K5s,raise,0.0036
K5s,jam,0.0006
K4s,fold,0.9929
K4s,call,0.0055
K4s,raise,0.0008
K4s,jam,0.0008
K3s,fold,0.9959
K3s,call,0.0012
K3s,raise,0.0029
K2s,fold,0.997
K2s,call,0.0029
K2s,jam,0.0001
AQo,call,0.1049
AQo,raise,0.8375
AQo,jam,0.0575
KQo,fold,0.8776
KQo,call,0.1162
KQo,raise,0.0002
KQo,jam,0.0061
QQ,call,0.2959
QQ,raise,0.0113
QQ,jam,0.6928
QJs,fold,0.4229
QJs,call,0.0644
QJs,raise,0.0001
QJs,jam,0.5127
QTs,fold,0.6519
QTs,call,0.3451
