# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: hj unopened @ 30bb
# HRC node: id=3, seat=3, sequence=FFF
# Actions at node: ['fold', 'raise']
# VPIP estimate: 23.09%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,fold,0.001
A9s,raise,0.999
A8s,fold,0.0004
A8s,raise,0.9996
A7s,fold,0.0022
A7s,raise,0.9978
A6s,fold,0.238
A6s,raise,0.762
A5s,fold,0.9963
A5s,raise,0.0037
A4s,fold,0.5753
A4s,raise,0.4247
A3s,fold,0.4936
A3s,raise,0.5064
A2s,fold,0.5331
A2s,raise,0.4669
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,fold,0.0022
KJs,raise,0.9978
KTs,fold,0.0107
KTs,raise,0.9893
K9s,fold,0.0017
K9s,raise,0.9983
K8s,fold,0.5196
K8s,raise,0.4804
K7s,fold,0.9022
K7s,raise,0.0978
K6s,fold,0.9599
K6s,raise,0.0401
K5s,fold,0.9998
K5s,raise,0.0002
K4s,fold,0.9826
K4s,raise,0.0174
K3s,fold,1.0
K2s,fold,1.0
AQo,raise,1.0
KQo,fold,0.0003
KQo,raise,0.9997
QQ,raise,1.0
QJs,raise,1.0
QTs,fold,0.003
QTs,raise,0.997
Q9s,fold,0.9995
Q9s,raise,0.0005
Q8s,fold,0.9966
Q8s,raise,0.0034
Q7s,fold,0.9999
Q7s,raise,0.0001
Q6s,fold,0.9999
Q6s,raise,0.0001
Q5s,fold,1.0
Q4s,fold,1.0
Q3s,fold,0.9999
Q3s,raise,0.0001
Q2s,fold,1.0
AJo,raise,1.0
KJo,fold,0.0067
KJo,raise,0.9933
QJo,fold,0.0489
QJo,raise,0.9511
JJ,raise,1.0
JTs,fold,0.2638
JTs,raise,0.7362
J9s,fold,0.9873
J9s,raise,0.0127
J8s,fold,0.9991
J8s,raise,0.0009
J7s,fold,1.0
J6s,fold,1.0
J5s,fold,1.0
J4s,fold,1.0
J3s,fold,0.9999
J3s,raise,0.0001
J2s,fold,0.9999
J2s,raise,0.0001
ATo,raise,1.0
KTo,fold,0.0347
KTo,raise,0.9653
QTo,fold,0.1283
QTo,raise,0.8717
JTo,fold,0.9999
JTo,raise,0.0001
TT,raise,1.0
T9s,fold,0.9785
T9s,raise,0.0215
T8s,fold,0.9976
T8s,raise,0.0024
T7s,fold,1.0
T6s,fold,1.0
T5s,fold,0.9999
T5s,raise,0.0001
T4s,fold,0.9999
T4s,raise,0.0001
T3s,fold,1.0
T2s,fold,1.0
A9o,fold,0.0428
A9o,raise,0.9572
K9o,fold,0.6144
K9o,raise,0.3856
Q9o,fold,0.9998
Q9o,raise,0.0002
J9o,fold,1.0
T9o,fold,1.0
99,raise,1.0
98s,fold,0.9999
98s,raise,0.0001
97s,fold,1.0
96s,fold,1.0
95s,fold,1.0
94s,fold,1.0
93s,fold,1.0
92s,fold,1.0
A8o,fold,0.0251
A8o,raise,0.9749
K8o,fold,0.9997
K8o,raise,0.0003
Q8o,fold,1.0
J8o,fold,1.0
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,1.0
86s,fold,1.0
85s,fold,1.0
84s,fold,1.0
83s,fold,0.9999
83s,raise,0.0001
82s,fold,1.0
A7o,fold,0.0382
A7o,raise,0.9618
K7o,fold,0.9999
K7o,raise,0.0001
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,raise,1.0
76s,fold,1.0
75s,fold,1.0
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,0.8728
A6o,raise,0.1272
K6o,fold,0.9999
K6o,raise,0.0001
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.0023
66,raise,0.9977
65s,fold,0.9992
65s,raise,0.0008
64s,fold,0.9997
64s,raise,0.0003
63s,fold,1.0
62s,fold,1.0
A5o,fold,0.4115
A5o,raise,0.5885
K5o,fold,1.0
Q5o,fold,1.0
J5o,fold,1.0
T5o,fold,1.0
95o,fold,1.0
85o,fold,1.0
75o,fold,1.0
65o,fold,1.0
55,fold,0.3038
55,raise,0.6962
54s,fold,1.0
53s,fold,1.0
52s,fold,1.0
A4o,fold,0.9998
A4o,raise,0.0002
K4o,fold,0.9995
K4o,raise,0.0005
