# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.1bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: hj vs3bet @ 30bb
# HRC node: id=548, seat=3, sequence=FFFRRFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 98.49%
notation,action,freq
AA,jam,1.0
AKs,fold,0.0001
AKs,call,0.2023
AKs,jam,0.7976
AQs,fold,0.0003
AQs,call,0.7773
AQs,jam,0.2224
AJs,fold,0.0001
AJs,call,0.9045
AJs,jam,0.0954
ATs,fold,0.0212
ATs,call,0.7422
ATs,jam,0.2366
A9s,fold,0.0006
A9s,call,0.9299
A9s,jam,0.0695
A8s,fold,0.0001
A8s,call,0.8885
A8s,jam,0.1115
A7s,fold,0.0043
A7s,call,0.9925
A7s,jam,0.0033
A6s,fold,0.1434
A6s,call,0.5727
A6s,jam,0.284
A5s,fold,0.1532
A5s,call,0.8391
A5s,jam,0.0077
A4s,fold,0.0611
A4s,call,0.9311
A4s,jam,0.0077
A3s,fold,0.0183
A3s,call,0.9465
A3s,jam,0.0352
A2s,fold,0.0068
A2s,call,0.1009
A2s,jam,0.8923
AKo,call,0.5604
AKo,jam,0.4396
KK,call,0.0263
KK,jam,0.9737
KQs,fold,0.0023
KQs,call,0.9431
KQs,jam,0.0546
KJs,fold,0.1391
KJs,call,0.5127
KJs,jam,0.3482
KTs,fold,0.012
KTs,call,0.7803
KTs,jam,0.2077
K9s,fold,0.002
K9s,call,0.9777
K9s,jam,0.0202
K8s,fold,0.0176
K8s,call,0.6683
K8s,jam,0.314
K7s,fold,0.0801
K7s,call,0.4191
K7s,jam,0.5008
K6s,fold,0.0435
K6s,call,0.953
K6s,jam,0.0036
K5s,fold,0.1382
K5s,call,0.6122
K5s,jam,0.2496
K4s,fold,0.2177
K4s,call,0.7402
K4s,jam,0.0421
AQo,call,0.8315
AQo,jam,0.1685
KQo,fold,0.0018
KQo,call,0.998
KQo,jam,0.0002
QQ,call,0.5164
QQ,jam,0.4836
QJs,fold,0.0021
QJs,call,0.9877
QJs,jam,0.0102
QTs,fold,0.0023
QTs,call,0.9442
QTs,jam,0.0535
Q9s,fold,0.2296
Q9s,call,0.5907
Q9s,jam,0.1798
Q8s,fold,0.2165
Q8s,call,0.7009
Q8s,jam,0.0827
Q7s,fold,0.2661
Q7s,call,0.7084
Q7s,jam,0.0255
Q6s,fold,0.2445
Q6s,call,0.7145
Q6s,jam,0.041
Q3s,fold,0.1982
Q3s,call,0.797
Q3s,jam,0.0048
AJo,fold,0.0001
AJo,call,0.9963
AJo,jam,0.0036
KJo,fold,0.0003
KJo,call,0.9994
KJo,jam,0.0003
QJo,fold,0.0001
QJo,call,0.9677
QJo,jam,0.0322
JJ,fold,0.0002
JJ,call,0.9516
JJ,jam,0.0482
JTs,fold,0.0269
JTs,call,0.952
JTs,jam,0.0211
J9s,fold,0.0236
J9s,call,0.4319
J9s,jam,0.5445
J8s,fold,0.1861
J8s,call,0.8109
J8s,jam,0.0029
J3s,fold,0.5835
J3s,call,0.4144
J3s,jam,0.0021
J2s,fold,0.0903
J2s,call,0.9066
J2s,jam,0.0032
ATo,call,0.9943
ATo,jam,0.0057
KTo,fold,0.0012
KTo,call,0.9976
KTo,jam,0.0012
QTo,fold,0.184
QTo,call,0.8091
QTo,jam,0.007
JTo,fold,0.0046
JTo,call,0.995
JTo,jam,0.0004
TT,call,0.8787
TT,jam,0.1213
T9s,fold,0.0094
T9s,call,0.9863
T9s,jam,0.0043
T8s,fold,0.1239
T8s,call,0.8107
T8s,jam,0.0654
T5s,fold,0.1676
T5s,call,0.8211
T5s,jam,0.0112
T4s,fold,0.5896
T4s,call,0.3058
T4s,jam,0.1047
A9o,fold,0.0051
A9o,call,0.9272
A9o,jam,0.0677
K9o,fold,0.0308
K9o,call,0.9647
K9o,jam,0.0046
Q9o,fold,0.0025
Q9o,call,0.9902
Q9o,jam,0.0072
99,call,0.9086
99,jam,0.0914
98s,fold,0.224
98s,call,0.771
98s,jam,0.005
A8o,fold,0.0001
A8o,call,0.9812
A8o,jam,0.0187
K8o,fold,0.0293
K8o,call,0.9704
K8o,jam,0.0003
88,call,0.9534
88,jam,0.0466
83s,fold,0.7324
83s,call,0.2669
83s,jam,0.0008
A7o,fold,0.0252
A7o,call,0.796
A7o,jam,0.1788
K7o,fold,0.1065
K7o,call,0.8865
K7o,jam,0.007
77,fold,0.0009
77,call,0.9155
77,jam,0.0837
A6o,fold,0.0003
A6o,call,0.5363
A6o,jam,0.4635
K6o,fold,0.011
K6o,call,0.989
K6o,jam,0.0001
66,fold,0.0013
66,call,0.9948
66,jam,0.0038
65s,fold,0.0335
65s,call,0.5273
65s,jam,0.4392
64s,fold,0.027
64s,call,0.9728
64s,jam,0.0002
A5o,fold,0.0069
A5o,call,0.8965
A5o,jam,0.0965
55,fold,0.0024
55,call,0.9686
55,jam,0.0291
A4o,fold,0.0179
A4o,call,0.8698
A4o,jam,0.1123
K4o,fold,0.1554
K4o,call,0.8425
K4o,jam,0.0022
44,fold,0.0039
44,call,0.9766
44,jam,0.0195
A3o,call,0.7651
A3o,jam,0.2349
33,fold,0.0041
33,call,0.9944
33,jam,0.0015
