# poker.academy CE-Symmetric — 30bb vs3bet | hero LJ vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.7206
44,jam,0.2794
55,call,0.375
55,jam,0.625
66,call,1.0
77,call,1.0
88,call,0.39
88,jam,0.61
99,call,0.1149
99,jam,0.8851
AA,call,0.76
AA,jam,0.24
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.0549
A7s,fold,0.9451
A5s,call,0.68
A5s,jam,0.32
A4s,call,1.0
A3s,call,0.5751
A3s,fold,0.4249
AKo,jam,1.0
KK,jam,1.0
KQs,call,0.1999
KQs,jam,0.8001
KJs,jam,1.0
KTs,call,1.0
K9s,call,1.0
K7s,call,0.2749
K7s,fold,0.7251
K6s,call,1.0
K5s,call,0.3343
K5s,fold,0.6657
AQo,call,0.295
AQo,jam,0.705
KQo,call,1.0
QQ,jam,1.0
QJs,call,0.5951
QJs,jam,0.4049
QTs,call,1.0
Q9s,call,1.0
Q8s,call,0.0999
Q8s,fold,0.9001
AJo,call,1.0
KJo,call,0.0999
KJo,fold,0.9001
JJ,jam,1.0
JTs,call,1.0
J9s,call,1.0
TT,jam,1.0
T9s,call,1.0
T8s,call,0.8851
T8s,fold,0.1149
98s,call,0.4301
98s,fold,0.5699
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
